REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,17V,3,13,38,51,10,13,0,1,24,1,3,3,13,7,6,4,4,8,27,18,26,9,18,1,3,3,153,376,-1,-1,2,14,39,44,11,2,18,23,48,105,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,1.0,-1.0,-1.0,7.0,-1.0,-1.0,-5.0,1.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,18V,4,13,42,41,12,15,0,1,20,1,1,1,8,12,6,4,2,10,13,29,24,7,21,1,9,0,148,376,-1,-1,2,13,38,43,10,2,17,23,44,104,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,2.0,0.0,4.0,-2.0,2.0,-1.0,-2.0,-3.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,19V,3,15,32,37,7,15,0,3,32,3,4,0,6,8,4,5,2,21,17,25,19,3,24,1,5,0,144,376,-1,-1,2,13,38,42,10,2,16,21,50,94,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,1.0,2.0,-6.0,-5.0,-3.0,1.0,-1.0,11.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,208,7,22,104,40,10,21,2,1,12,3,3,5,46,43,46,50,12,13,1,0,0,0,0,0,0,0,219,376,-1,-1,4,34,80,56,9,2,20,14,218,1,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,3.0,-12.0,24.0,-16.0,1.0,1.0,1.0,-2.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,209,7,26,97,44,9,16,0,1,11,1,5,4,31,45,49,49,9,19,0,0,0,0,0,0,0,0,211,376,-1,-1,4,33,78,54,8,2,19,13,211,0,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,3.0,-7.0,19.0,-10.0,1.0,-1.0,-3.0,-2.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,20V,3,9,39,30,5,16,0,3,30,3,0,1,13,4,4,5,4,18,28,10,26,2,16,0,4,0,135,376,-1,-1,2,13,36,39,9,2,15,19,49,86,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,1.0,-4.0,3.0,-9.0,-4.0,1.0,1.0,11.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,21V,3,17,37,53,16,17,0,1,20,1,0,0,6,8,4,3,3,28,32,14,30,4,25,1,5,1,164,376,-1,-1,2,15,42,47,12,2,19,25,52,112,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,1.0,2.0,-5.0,6.0,4.0,-1.0,-2.0,-5.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,22V,3,8,26,37,13,10,1,1,24,2,1,1,8,7,2,5,2,3,33,9,30,2,12,1,7,1,123,376,-1,-1,1,10,30,36,9,2,15,20,29,95,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,2.0,-2.0,-4.0,1.0,4.0,0.0,-5.0,4.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,38V,3,25,39,53,15,17,1,2,21,3,2,4,9,13,3,4,5,55,35,1,22,4,10,0,9,0,176,376,-1,-1,2,20,52,49,11,2,19,21,95,81,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,1.0,5.0,-13.0,4.0,4.0,1.0,-2.0,0.0
DE LOS RIOS,VALDIVIA,CENTRO EDUCADULTOS LUIS MOLL BRIONES,39V,3,24,52,34,12,15,0,1,24,1,1,5,5,11,3,4,2,65,24,5,22,2,13,1,1,0,165,376,-1,-1,2,19,50,46,10,2,17,19,96,68,0.01894155346713852,0.15666167876299764,0.3676457115654477,0.2562158077914509,0.04024219474605838,0.007202286343402471,0.08988770923562553,0.06320305808787856,0.009663829600202789,0.058624306569397086,0.20854618954642626,0.3053435230276479,0.08448025323075425,0.015328104181396294,0.1261757094160467,0.19183808442812822,1.0,5.0,2.0,-12.0,2.0,-1.0,-2.0,5.0
