REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,221V,4,17,44,52,8,9,2,1,15,3,1,4,5,9,36,3,39,4,27,2,14,2,5,1,0,0,152,400,-1,-1,1,21,47,42,14,2,13,12,101,51,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,3.0,-4.0,-3.0,10.0,-6.0,1.0,-4.0,3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,222V,0,25,54,47,14,12,0,4,15,4,3,6,9,8,54,5,47,1,20,2,9,3,2,0,1,0,171,400,-1,-1,2,25,53,48,15,2,14,12,133,37,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,-2.0,0.0,1.0,-1.0,-1.0,2.0,-2.0,3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,223V,3,16,37,51,12,10,0,1,10,1,4,3,11,11,33,7,29,4,19,3,8,1,5,1,1,0,140,400,-1,-1,1,20,43,39,12,2,12,11,102,38,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,2.0,-4.0,-6.0,12.0,0.0,-1.0,-2.0,-1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,224V,0,17,34,54,10,10,0,1,9,1,2,6,12,18,17,5,28,9,18,5,9,1,4,0,0,1,135,400,-1,-1,1,19,42,38,12,2,11,10,97,38,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,-1.0,-2.0,-8.0,16.0,-2.0,-1.0,-1.0,-1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,225V,1,21,39,50,8,9,0,0,8,0,4,6,8,16,25,6,28,9,16,5,10,0,3,0,0,0,136,400,-1,-1,1,20,42,38,12,2,11,10,102,34,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,0.0,1.0,-3.0,12.0,-4.0,-2.0,-2.0,-2.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,226V,1,19,39,52,9,12,0,1,3,1,6,3,17,10,23,9,17,3,29,0,13,2,3,0,1,0,136,400,-1,-1,1,18,42,38,13,2,11,11,88,48,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,0.0,1.0,-3.0,14.0,-4.0,-1.0,1.0,-8.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,227V,0,19,33,79,4,6,0,2,10,2,3,6,9,15,35,14,31,2,17,1,13,2,4,0,1,0,153,400,-1,-1,2,22,47,43,13,2,13,11,115,38,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,-2.0,-3.0,-14.0,36.0,-9.0,0.0,-7.0,-1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,228V,2,23,42,63,9,14,0,4,17,4,4,2,11,12,46,4,35,6,32,1,15,3,0,0,3,0,174,400,-1,-1,2,24,54,48,16,2,14,14,120,54,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,0.0,-1.0,-12.0,15.0,-7.0,2.0,0.0,3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,229V,1,18,55,51,11,17,0,1,11,1,4,4,14,16,39,5,40,7,12,5,7,0,10,0,2,0,165,400,-1,-1,2,25,51,46,14,2,13,12,129,36,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,-1.0,-7.0,4.0,5.0,-3.0,-1.0,4.0,-1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,230V,4,16,57,71,17,18,0,1,16,1,2,2,7,9,46,4,62,17,17,3,17,3,9,1,1,0,200,400,-1,-1,2,29,62,56,18,2,16,15,149,51,0.01242550217727043,0.1709149488737045,0.31004274783596975,0.2804257857110062,0.07620944637582548,0.012003047874695888,0.07988884354768205,0.058089677603845105,0.005275575623712747,0.0709401812738816,0.3033122696620625,0.26930803808545356,0.12306137550047194,0.011512865418124766,0.09034433145629363,0.12624536297999903,2.0,-13.0,-5.0,15.0,-1.0,-1.0,2.0,1.0
