REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,1M,1,8,18,45,5,19,1,0,15,1,2,0,5,13,2,2,0,2,3,14,1,29,2,24,2,11,112,60,-1,-1,1,11,14,41,6,2,17,20,26,86,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,0.0,-3.0,4.0,4.0,-1.0,-1.0,2.0,-5.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,22V,0,16,16,53,9,15,3,1,14,4,1,7,8,14,0,3,41,8,20,3,12,1,6,0,3,0,127,60,-1,-1,1,15,21,43,6,3,18,20,82,45,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,-1.0,1.0,-5.0,10.0,3.0,1.0,-3.0,-6.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,23V,1,17,13,39,4,25,1,3,16,4,0,2,17,10,0,2,50,1,19,3,8,1,4,0,2,0,119,60,-1,-1,1,15,20,40,6,2,17,18,82,37,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,0.0,2.0,-7.0,-1.0,-2.0,2.0,8.0,-2.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,24V,1,16,25,55,8,19,3,3,12,6,1,1,15,16,6,3,59,3,17,2,11,3,4,0,1,0,142,60,-1,-1,1,18,24,47,7,3,20,22,104,38,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,0.0,-2.0,1.0,8.0,1.0,3.0,-1.0,-10.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,25V,1,13,21,47,5,16,1,1,18,2,2,2,6,12,1,1,49,2,17,3,12,1,10,2,3,0,123,60,-1,-1,1,15,19,42,6,2,18,20,75,48,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,0.0,-2.0,2.0,5.0,-1.0,0.0,-2.0,-2.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,26V,3,19,22,47,5,10,2,1,16,3,3,1,9,18,7,3,43,1,22,0,9,4,3,1,0,0,125,60,-1,-1,1,15,21,42,6,3,18,19,85,39,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,2.0,4.0,1.0,5.0,-1.0,0.0,-8.0,-3.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,27V,3,17,25,33,2,13,1,0,16,1,1,1,13,5,20,0,23,1,11,1,14,2,15,1,2,0,110,60,-1,-1,1,13,17,38,6,2,16,17,64,46,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,2.0,4.0,8.0,-5.0,-4.0,-1.0,-3.0,-1.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,28V,5,24,24,54,6,18,2,0,29,2,3,0,14,5,46,1,30,6,21,1,13,0,19,0,3,0,162,60,-1,-1,2,20,26,55,8,3,23,25,105,57,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,3.0,4.0,-2.0,-1.0,-2.0,-1.0,-5.0,4.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,29V,2,17,29,44,8,15,1,1,22,2,4,4,7,8,23,5,20,1,21,2,14,5,20,0,4,0,139,60,-1,-1,1,16,21,48,7,3,20,23,72,66,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,1.0,1.0,8.0,-4.0,1.0,-1.0,-5.0,-1.0
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,2M,1,7,13,38,10,16,0,0,22,0,0,1,5,6,0,2,2,2,2,19,6,27,5,24,0,6,107,60,-1,-1,1,10,13,40,6,2,16,19,18,89,0.01331306259764345,0.14265500846521884,0.19081597853019858,0.312073109566577,0.043753628687073075,0.021175866633077675,0.13413699601963375,0.1420763495005776,0.005010606862493605,0.08017779017527825,0.1083639176671748,0.38651880364270996,0.06083533677087091,0.01772513909488246,0.15663270244102118,0.18473570334556866,0.0,-3.0,0.0,-2.0,4.0,-2.0,0.0,3.0
