REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,23,1,16,11,46,3,15,1,1,6,2,0,1,3,5,79,1,1,2,1,1,4,1,0,0,1,0,100,54,-1,-1,1,15,13,44,5,1,12,9,92,8,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,0.0,1.0,-2.0,2.0,-2.0,1.0,3.0,-3.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,24,3,20,13,47,6,10,0,0,6,0,2,1,2,3,78,4,2,2,0,6,1,0,0,4,0,0,105,54,-1,-1,1,15,14,46,5,1,13,10,94,11,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,2.0,5.0,-1.0,1.0,1.0,-1.0,-3.0,-4.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,25,3,27,9,47,5,9,0,1,5,1,4,2,46,4,34,5,1,2,1,1,0,1,1,3,0,0,106,54,-1,-1,1,16,14,46,5,1,13,10,98,7,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,2.0,11.0,-5.0,1.0,0.0,0.0,-4.0,-5.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,26,2,28,11,45,6,12,0,2,5,2,3,0,64,25,6,5,0,2,1,2,1,3,0,0,0,0,111,54,-1,-1,1,17,15,48,5,1,14,10,105,7,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,1.0,11.0,-4.0,-3.0,1.0,1.0,-2.0,-5.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,27,0,24,20,38,8,11,2,0,8,2,7,2,34,49,3,4,1,2,3,0,2,3,1,0,0,0,111,54,-1,-1,1,17,14,48,5,1,14,11,102,9,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,-1.0,7.0,6.0,-10.0,3.0,1.0,-3.0,-3.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,28,0,19,13,47,6,10,1,2,23,3,4,3,13,15,9,13,6,12,16,10,7,4,2,6,1,0,121,54,-1,-1,1,14,14,54,6,2,15,15,75,46,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,-1.0,5.0,-1.0,-7.0,0.0,1.0,-5.0,8.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,29,1,17,17,46,2,12,0,0,13,0,3,2,30,36,5,6,3,6,3,4,3,4,1,1,0,0,108,54,-1,-1,1,15,14,48,5,1,13,11,91,16,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,0.0,2.0,3.0,-2.0,-3.0,-1.0,-1.0,2.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,30,0,18,19,46,6,13,1,1,10,2,3,2,36,48,2,3,3,2,1,0,4,5,2,3,0,0,114,54,-1,-1,1,16,15,50,5,1,14,12,99,15,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,-1.0,2.0,4.0,-4.0,1.0,1.0,-1.0,-2.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,31,4,18,14,48,8,19,1,1,5,2,3,3,33,38,6,5,7,4,4,6,5,0,3,1,0,0,118,54,-1,-1,1,16,15,52,6,2,14,12,99,19,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,3.0,2.0,-1.0,-4.0,2.0,0.0,5.0,-7.0
DE NUBLE,COIHUECO,COLEGIO LORENZO MONDANELLI,32,3,19,22,46,5,16,0,3,18,3,0,4,11,21,5,13,14,10,11,12,8,8,1,11,1,2,132,54,-1,-1,1,15,15,59,6,2,17,17,78,54,0.01089125737440041,0.1571142325285836,0.1339453064403062,0.4329670910463464,0.048616316181212635,0.009730724137192443,0.11980835906790153,0.08692671322405673,0.004397290271203755,0.047960060698746816,0.07824186997423103,0.47041825484189304,0.041403849060994195,0.027090110689005624,0.13659111172235802,0.1938974527415675,2.0,4.0,7.0,-13.0,-1.0,1.0,-1.0,1.0
