REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,20M,1,59,22,36,18,12,1,1,15,2,1,3,8,10,2,13,16,28,3,40,2,21,2,13,0,2,165,179,-1,-1,2,59,21,40,13,2,9,19,81,83,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,-1.0,0.0,1.0,-4.0,5.0,0.0,3.0,-4.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,21M,2,61,22,34,20,4,0,0,23,0,3,0,3,5,3,22,7,40,8,36,1,22,0,14,0,1,166,179,-1,-1,2,59,21,41,13,2,9,19,83,82,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,0.0,2.0,1.0,-7.0,7.0,-2.0,-5.0,4.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,22M,1,53,21,22,21,9,0,8,17,8,0,2,5,7,1,19,7,26,5,43,1,24,1,9,0,3,152,179,-1,-1,1,52,19,38,13,2,9,18,67,86,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,0.0,1.0,2.0,-16.0,8.0,6.0,0.0,-1.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,23M,2,58,20,25,17,18,0,2,18,2,1,3,3,7,3,20,8,27,2,43,1,28,1,10,0,2,160,179,-1,-1,1,55,21,40,13,2,9,19,72,87,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,1.0,3.0,-1.0,-15.0,4.0,0.0,9.0,-1.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,24M,2,56,25,41,20,7,0,2,15,2,2,4,8,7,3,19,10,36,2,39,1,23,1,11,0,2,168,179,-1,-1,2,61,22,41,13,2,9,18,89,79,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,0.0,-5.0,3.0,0.0,7.0,0.0,-2.0,-3.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,25M,3,64,15,41,17,11,0,10,11,10,0,2,7,7,2,19,14,39,7,37,6,22,2,8,0,1,172,179,-1,-1,2,63,22,42,13,2,9,19,90,83,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,1.0,1.0,-7.0,-1.0,4.0,8.0,2.0,-8.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,26M,2,46,21,37,13,18,0,2,15,2,1,2,5,7,1,16,10,27,6,38,1,29,0,7,0,3,154,179,-1,-1,1,53,20,38,13,2,9,18,69,84,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,1.0,-7.0,1.0,-1.0,0.0,0.0,9.0,-3.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,27M,3,55,16,32,18,7,0,1,21,1,2,2,3,2,1,19,16,32,2,39,4,19,1,10,0,1,153,179,-1,-1,1,55,20,37,12,2,9,17,77,76,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,2.0,0.0,-4.0,-5.0,6.0,-1.0,-2.0,4.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,28M,1,57,20,43,10,14,0,2,14,2,3,1,4,9,5,19,11,31,3,35,1,22,0,12,0,5,161,179,-1,-1,1,58,21,39,13,2,9,18,83,78,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,0.0,-1.0,-1.0,4.0,-3.0,0.0,5.0,-4.0
DE TARAPACA,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,29M,0,53,26,51,21,10,0,0,18,0,1,2,3,7,7,18,17,31,5,39,5,30,0,11,0,3,179,179,-1,-1,2,63,23,44,14,2,10,21,86,93,0.013366587058838558,0.49879110573673463,0.1312252643952637,0.2238279950547909,0.048652183809486244,0.0078149911613952,0.03486617290723566,0.041455699876255234,0.0055929614991032505,0.21690894719760917,0.12641804129561013,0.2666872562328687,0.11012305922458089,0.013892273369867465,0.07702850127360454,0.1833489599067558,-2.0,-10.0,3.0,7.0,7.0,-2.0,0.0,-3.0
