REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,114,0,37,30,53,15,20,0,0,13,0,1,2,14,16,17,30,16,19,9,15,11,7,3,6,2,1,168,141,-1,-1,2,31,37,58,10,1,17,12,115,54,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,-2.0,6.0,-7.0,-5.0,5.0,-1.0,3.0,1.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,115,2,32,46,58,10,15,0,0,11,0,2,3,18,19,17,18,14,19,15,13,13,11,5,5,1,1,174,141,-1,-1,2,32,37,60,10,2,18,13,110,64,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,0.0,0.0,9.0,-2.0,0.0,-2.0,-3.0,-2.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,116,5,28,35,63,10,18,1,0,10,1,2,1,21,16,13,17,13,23,13,14,14,13,2,4,2,2,170,141,-1,-1,2,31,36,59,10,2,18,12,106,64,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,3.0,-3.0,-1.0,4.0,0.0,-1.0,0.0,-2.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,117,2,30,22,56,8,24,2,0,10,2,4,1,15,13,12,18,17,16,12,11,6,16,4,5,0,4,154,141,-1,-1,2,29,33,53,9,1,16,11,96,58,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,0.0,1.0,-11.0,3.0,-1.0,1.0,8.0,-1.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,118,3,31,35,41,5,19,0,1,14,1,2,1,12,14,15,19,20,20,12,9,5,12,4,4,0,0,149,141,-1,-1,2,27,33,52,8,1,15,11,103,46,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,1.0,4.0,2.0,-11.0,-3.0,0.0,4.0,3.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,119,0,33,49,43,7,22,0,1,12,1,0,2,19,14,24,23,16,20,10,6,8,12,1,7,1,4,167,141,-1,-1,2,31,37,58,9,1,17,12,118,49,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,-2.0,2.0,12.0,-15.0,-2.0,0.0,5.0,0.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,120,4,28,38,70,9,17,0,4,5,4,3,3,9,21,19,19,14,24,18,14,9,13,4,4,1,0,175,141,-1,-1,2,32,38,60,10,2,18,13,112,63,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,2.0,-4.0,0.0,10.0,-1.0,2.0,-1.0,-8.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,121,2,34,38,58,15,22,0,1,13,1,2,3,15,19,14,30,15,14,13,20,12,14,2,5,3,1,183,141,-1,-1,2,34,39,63,10,2,19,14,112,70,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,0.0,0.0,-1.0,-5.0,5.0,-1.0,3.0,-1.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,122,3,32,33,64,12,14,0,2,10,2,1,2,12,12,18,20,18,16,18,13,16,10,6,3,3,2,170,141,-1,-1,2,31,36,58,10,2,18,13,99,71,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,1.0,1.0,-3.0,6.0,2.0,0.0,-4.0,-3.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,123,2,34,36,67,12,17,0,1,13,1,2,0,11,17,19,28,18,24,16,10,11,12,5,8,1,0,182,141,-1,-1,2,34,39,63,10,2,19,13,119,63,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,0.0,0.0,-3.0,4.0,2.0,-1.0,-2.0,0.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,124,3,26,41,67,6,14,0,5,13,5,1,1,11,16,20,16,21,18,16,18,9,12,5,4,5,2,175,141,-1,-1,2,32,37,60,10,2,19,13,104,71,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,1.0,-6.0,4.0,7.0,-4.0,3.0,-5.0,0.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,125,1,33,38,64,7,17,0,1,16,1,2,1,8,20,20,17,18,20,19,16,11,16,3,4,2,0,177,141,-1,-1,2,33,37,61,10,2,19,13,106,71,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,-1.0,0.0,1.0,3.0,-3.0,-1.0,-2.0,3.0
DE TARAPACA,IQUIQUE SUR,COLEGIO ANTAMARA,126,1,36,33,62,7,14,0,1,12,1,2,2,13,14,18,26,13,12,20,10,10,14,4,5,2,1,166,141,-1,-1,2,31,35,57,9,2,18,12,100,66,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,-1.0,5.0,-2.0,5.0,-2.0,-1.0,-4.0,0.0
DE TARAPACA,IQUIQUE SUR,COLEGIO BAJO MOLLE,74,0,28,34,49,5,17,0,0,8,0,2,2,11,17,12,18,18,12,7,11,12,13,3,3,0,0,141,141,-1,-1,2,26,30,49,8,1,15,10,92,49,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,-2.0,2.0,4.0,0.0,-3.0,-1.0,2.0,-2.0
DE TARAPACA,IQUIQUE SUR,COLEGIO BAJO MOLLE,75,0,31,11,58,10,10,1,0,11,1,1,2,9,10,13,13,18,19,12,9,5,10,5,4,0,2,132,141,-1,-1,2,24,28,46,7,1,14,10,85,47,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,-2.0,7.0,-17.0,12.0,3.0,0.0,-4.0,1.0
DE TARAPACA,IQUIQUE SUR,COLEGIO BAJO MOLLE,76,4,27,25,52,10,21,0,0,17,0,4,0,15,12,17,14,13,21,12,21,14,9,0,2,0,2,156,141,-1,-1,2,29,33,54,9,1,16,12,96,60,0.014176303680579217,0.18195848315312274,0.24314222299173707,0.3540510268880539,0.055451253474386744,0.0059007373350515365,0.08700973297930525,0.058310239497763566,0.007662113638622811,0.18953406314045793,0.16539073311130034,0.32974583418494957,0.06005320096822664,0.014985231201614919,0.13423738075365657,0.09839144300117109,2.0,-2.0,-8.0,-2.0,1.0,-1.0,5.0,5.0
