REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,193V,3,32,14,33,4,8,0,0,3,0,1,3,3,9,19,8,23,4,8,1,9,2,4,2,1,0,97,472,-1,-1,2,24,20,30,6,1,7,7,70,27,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,1.0,8.0,-6.0,3.0,-2.0,-1.0,1.0,-4.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,194V,2,22,21,51,10,10,0,2,15,2,3,1,8,7,16,14,29,3,21,5,17,0,6,0,2,1,133,472,-1,-1,2,31,28,42,8,1,10,11,81,52,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,0.0,-9.0,-7.0,9.0,2.0,1.0,0.0,4.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,195V,0,25,15,36,9,11,0,2,7,2,1,4,4,5,22,10,24,4,16,1,8,1,4,0,1,0,105,472,-1,-1,1,26,22,33,6,1,8,8,74,31,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,-1.0,-1.0,-7.0,3.0,3.0,1.0,3.0,-1.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,196V,2,30,28,37,9,3,0,0,3,0,1,0,11,22,9,6,28,4,9,1,15,0,4,1,1,0,112,472,-1,-1,2,28,23,35,7,1,8,8,81,31,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,0.0,2.0,5.0,2.0,2.0,-1.0,-5.0,-5.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,197V,1,28,31,28,3,9,1,0,9,1,3,3,14,22,6,5,17,4,22,1,5,1,3,1,3,0,110,472,-1,-1,2,27,23,34,7,1,8,8,74,36,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,-1.0,1.0,8.0,-6.0,-4.0,0.0,1.0,1.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,198V,2,18,25,33,3,7,0,0,11,0,1,0,15,15,10,4,25,3,12,1,11,0,2,0,0,0,99,472,-1,-1,1,25,21,31,6,1,7,7,73,26,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,1.0,-7.0,4.0,2.0,-3.0,-1.0,0.0,4.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,199V,1,29,24,33,6,12,1,0,6,1,0,1,21,22,16,0,17,3,13,1,10,1,5,1,1,0,112,472,-1,-1,2,28,23,35,7,1,8,8,80,32,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,-1.0,1.0,1.0,-2.0,-1.0,0.0,4.0,-2.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,200V,2,32,16,21,2,5,0,2,1,2,0,3,14,21,8,3,15,0,6,0,6,1,3,1,0,0,81,472,-1,-1,1,21,17,25,5,1,6,5,64,17,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,1.0,11.0,-1.0,-4.0,-3.0,1.0,-1.0,-4.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,201V,1,30,31,35,4,8,1,0,6,1,3,1,11,21,15,0,25,3,21,0,8,0,7,0,1,0,116,472,-1,-1,2,28,24,36,7,1,9,9,79,37,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,-1.0,2.0,7.0,-1.0,-3.0,0.0,-1.0,-3.0
DE TARAPACA,IQUIQUE,COLEGIO ACADEMIA TARAPACA,202V,2,23,28,32,3,9,0,2,5,2,1,1,21,21,7,5,20,5,7,1,8,1,5,0,1,0,104,472,-1,-1,2,27,22,32,6,1,7,7,81,23,0.01767901908476126,0.28322961027158505,0.2195287346459339,0.3054327532429596,0.05373985610866376,0.010024232660983625,0.05989942882606556,0.05046636515904683,0.008815500493401674,0.15445364888330923,0.1884139747057875,0.3240681446059575,0.07939746484657462,0.012636244181921401,0.10724346292036589,0.12497155936268216,0.0,-4.0,6.0,0.0,-3.0,1.0,2.0,-2.0
