REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,14V,3,25,8,26,6,2,0,2,13,2,0,4,8,11,3,5,13,5,16,4,9,2,4,0,0,0,85,40,-1,-1,1,35,8,22,4,1,4,10,49,35,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,2.0,-10.0,0.0,4.0,2.0,1.0,-2.0,3.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,15V,0,36,7,16,3,5,0,0,10,0,0,2,13,17,6,7,9,2,5,1,5,4,3,2,1,0,77,40,-1,-1,1,35,7,19,3,1,3,8,56,21,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,-1.0,1.0,0.0,-3.0,0.0,-1.0,2.0,2.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,16V,1,37,13,23,5,4,0,0,11,0,0,0,10,16,2,8,18,4,10,2,12,5,7,0,1,0,94,40,-1,-1,1,40,8,24,5,1,4,11,58,37,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,0.0,-3.0,5.0,-1.0,0.0,-1.0,0.0,0.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,17V,1,61,15,31,12,3,3,0,18,3,2,2,20,18,18,14,30,9,11,5,4,3,6,1,0,1,144,40,-1,-1,1,67,12,35,6,2,5,16,113,31,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,0.0,-6.0,3.0,-4.0,6.0,1.0,-2.0,2.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,18V,0,32,7,13,1,3,1,0,8,1,5,2,7,10,6,1,12,4,3,6,3,1,4,0,1,0,65,40,-1,-1,1,29,6,16,3,1,2,7,47,18,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,-1.0,3.0,1.0,-3.0,-2.0,0.0,1.0,1.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,19V,0,22,9,14,4,4,2,1,8,3,0,0,9,12,6,7,6,2,9,4,5,2,0,1,1,0,64,40,-1,-1,0,28,6,16,3,1,3,7,42,22,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,0.0,-6.0,3.0,-2.0,1.0,2.0,1.0,1.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,20V,0,25,0,24,3,1,0,0,2,0,1,0,7,10,8,5,7,6,3,1,3,2,0,1,1,0,55,40,-1,-1,0,26,5,13,2,1,2,6,44,11,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,0.0,-1.0,-5.0,11.0,1.0,-1.0,-1.0,-4.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,21V,2,29,13,23,4,3,0,0,11,0,0,1,8,9,11,3,9,9,11,3,14,2,3,2,0,0,85,40,-1,-1,1,35,8,22,4,1,4,10,50,35,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,1.0,-6.0,5.0,1.0,0.0,-1.0,-1.0,1.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,22V,2,35,9,17,3,5,0,0,10,0,3,2,6,13,6,7,13,3,12,1,8,2,5,0,0,0,81,40,-1,-1,1,35,7,21,4,1,3,9,53,28,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,1.0,0.0,2.0,-4.0,-1.0,-1.0,2.0,1.0
DE TARAPACA,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,23V,0,45,7,22,4,4,0,1,20,1,2,3,13,7,16,5,19,5,18,3,7,1,3,1,0,0,103,40,-1,-1,1,45,9,26,5,1,4,12,70,33,0.005107355512998074,0.5191502036008787,0.08102332546821907,0.2313894056107217,0.033615535451756245,0.009549872689617413,0.027478832597769433,0.09268546906803937,0.015675871079187876,0.26302032717076734,0.1019104835400245,0.29692657557882396,0.07504254322148945,0.0219725241262298,0.06584652197631626,0.1596051533071608,-1.0,0.0,-2.0,-4.0,-1.0,0.0,0.0,8.0
