REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,CALERA,COLEGIO BECARB II,16V,1,36,46,25,21,13,1,0,22,1,1,1,3,10,3,4,0,42,43,2,33,0,16,0,7,0,165,132,-1,-1,2,34,41,31,20,2,17,18,64,101,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,-1.0,2.0,5.0,-6.0,1.0,-1.0,-4.0,4.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,17V,3,32,46,32,14,20,0,4,15,4,0,3,4,1,1,6,1,51,30,1,39,0,17,0,12,0,166,132,-1,-1,2,35,41,31,20,2,17,18,67,99,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,1.0,-3.0,5.0,1.0,-6.0,2.0,3.0,-3.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,18V,0,39,35,41,20,13,2,2,15,4,0,1,7,8,2,4,2,56,27,3,34,1,15,2,4,1,167,132,-1,-1,2,37,43,31,19,2,16,17,80,87,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,-2.0,2.0,-8.0,10.0,1.0,2.0,-3.0,-2.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,19V,1,34,36,34,19,17,0,2,22,2,1,2,6,1,3,2,1,45,31,7,39,1,22,0,2,1,165,132,-1,-1,2,34,40,32,20,2,17,18,61,103,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,-1.0,0.0,-4.0,2.0,-1.0,0.0,0.0,4.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,20V,1,43,40,29,16,17,1,0,13,1,0,2,12,10,1,36,5,8,33,0,31,1,15,0,6,0,160,132,-1,-1,2,35,40,30,19,2,16,16,74,86,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,-1.0,8.0,0.0,-1.0,-3.0,-1.0,1.0,-3.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,21V,2,34,37,39,19,15,0,4,16,4,2,1,14,10,5,36,3,5,31,0,33,0,26,0,0,0,166,132,-1,-1,2,36,42,31,20,2,16,17,76,90,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,0.0,-2.0,-5.0,8.0,-1.0,2.0,-1.0,-1.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,22V,1,37,47,19,25,16,0,1,26,1,0,3,12,8,3,51,2,2,37,1,34,0,17,0,3,0,172,132,-1,-1,2,38,44,32,20,2,17,17,81,92,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,-1.0,-1.0,3.0,-13.0,5.0,-1.0,-1.0,9.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,23V,2,35,34,32,16,16,1,3,20,4,1,0,9,10,2,32,1,11,40,1,34,1,13,1,4,0,159,132,-1,-1,2,34,39,30,19,2,16,17,66,94,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,0.0,1.0,-5.0,2.0,-3.0,2.0,0.0,3.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,24V,0,25,44,30,12,19,2,2,28,4,1,3,6,5,3,47,3,4,27,1,31,0,25,1,5,0,162,132,-1,-1,2,35,41,30,19,2,16,17,72,90,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,-2.0,-10.0,3.0,0.0,-7.0,2.0,3.0,11.0
DE VALPARAISO,CALERA,COLEGIO BECARB II,25V,1,41,39,27,23,17,1,0,25,1,2,1,6,8,3,54,0,1,35,2,34,0,24,0,4,0,174,132,-1,-1,2,37,44,33,21,2,17,18,75,99,0.01730784652050622,0.3067933683382844,0.30482563229533394,0.16862233860886794,0.07881777616570879,0.008306751951324859,0.07455482325733749,0.04077146286263654,0.0077491710441549835,0.14452015255660908,0.20856165372829838,0.2031471393233,0.14961032747442876,0.017568794438414827,0.1180162494096504,0.15082651202514352,-1.0,4.0,-5.0,-6.0,2.0,-1.0,0.0,7.0
