REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,10,1,61,33,23,8,9,0,2,6,2,0,1,68,9,44,2,1,2,4,5,3,1,2,1,0,0,143,20,-1,-1,1,38,35,39,8,1,13,8,127,16,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,0.0,23.0,-2.0,-16.0,0.0,1.0,-4.0,-2.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,11,3,36,33,55,12,17,2,0,10,2,8,4,25,26,15,20,16,14,13,7,6,4,1,6,2,0,168,20,-1,-1,1,41,39,45,11,2,16,13,128,39,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,2.0,-5.0,-6.0,10.0,1.0,0.0,1.0,-3.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,12,0,20,24,33,6,9,1,1,10,2,0,3,6,12,9,15,7,10,11,10,7,8,2,4,0,0,104,20,-1,-1,1,23,23,27,7,2,10,11,62,42,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,-1.0,-3.0,1.0,6.0,-1.0,0.0,-1.0,-1.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,1M,1,33,26,40,6,16,0,2,31,2,1,1,7,10,3,2,5,0,10,42,8,32,2,25,0,7,155,20,-1,-1,1,26,29,38,12,4,17,28,29,126,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,0.0,7.0,-3.0,2.0,-6.0,-2.0,-1.0,3.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,1V,2,27,38,39,11,16,3,3,28,6,1,1,6,13,2,4,2,19,24,12,44,2,29,2,6,0,167,20,-1,-1,1,30,32,42,13,4,18,27,48,119,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,1.0,-3.0,6.0,-3.0,-2.0,2.0,-2.0,1.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,2M,2,24,26,47,14,23,2,3,29,5,3,5,6,6,4,0,25,2,0,40,0,51,1,20,0,6,170,20,-1,-1,1,31,33,43,13,4,18,27,51,118,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,1.0,-7.0,-7.0,4.0,1.0,1.0,5.0,2.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,2V,1,33,35,38,19,14,2,2,25,4,2,0,3,3,1,6,1,50,35,4,35,2,22,0,5,0,169,20,-1,-1,1,33,34,43,12,4,18,24,66,103,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,0.0,0.0,1.0,-5.0,7.0,0.0,-4.0,1.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,3M,1,38,37,30,19,16,5,0,24,5,5,2,11,9,3,0,34,0,1,42,0,38,0,20,0,5,170,20,-1,-1,1,33,34,43,12,4,18,25,64,106,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,0.0,5.0,3.0,-13.0,7.0,1.0,-2.0,-1.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,3V,2,40,38,33,11,16,1,0,23,1,2,3,8,8,2,33,1,7,29,1,39,0,27,0,4,0,164,20,-1,-1,1,32,33,42,12,4,17,23,64,100,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,1.0,8.0,5.0,-9.0,-1.0,-3.0,-1.0,0.0
DE VALPARAISO,PANQUEHUE,LICEO BICENTENARIO COLEGIO PANQUEHUE,4M,1,33,19,42,15,30,4,1,22,5,0,0,5,5,4,2,25,2,2,53,1,40,0,21,0,7,167,20,-1,-1,1,29,32,42,13,4,18,28,43,124,0.007956974604702167,0.27814816621142796,0.2553820368149158,0.28030184458740093,0.05611823752789729,0.003971417929968868,0.08580911219080811,0.032312210132878896,0.008924363786908307,0.1390728366902828,0.1671747488392622,0.23923564442607137,0.08330405659386476,0.03282987966933817,0.11501008674643846,0.21444838324783397,0.0,4.0,-13.0,0.0,2.0,1.0,12.0,-6.0
