REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,10M,1,20,39,24,14,14,0,0,29,0,3,1,5,6,28,4,2,1,1,46,1,26,1,12,1,3,141,42,-1,-1,2,18,38,29,12,2,14,26,50,91,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,-1.0,2.0,1.0,-5.0,2.0,-2.0,0.0,3.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,11M,4,18,43,33,13,17,1,4,34,5,3,0,6,3,28,1,1,14,0,65,0,27,1,13,0,5,167,42,-1,-1,2,20,45,35,14,3,17,31,56,111,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,2.0,-2.0,-2.0,-2.0,-1.0,2.0,0.0,3.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,12M,1,20,47,28,12,21,2,2,32,4,0,1,5,1,19,2,1,80,0,32,1,13,2,6,1,1,165,42,-1,-1,4,27,47,35,13,2,15,22,109,56,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,-3.0,-7.0,0.0,-7.0,-1.0,2.0,6.0,10.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,13M,1,32,43,40,17,18,0,2,28,2,0,0,4,8,27,1,1,84,1,23,2,19,0,9,0,1,181,42,-1,-1,4,30,51,39,14,2,17,24,125,55,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,-3.0,2.0,-8.0,1.0,3.0,0.0,1.0,4.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,14M,1,27,44,36,20,23,3,2,31,5,1,1,3,6,28,5,1,69,0,25,2,27,2,12,0,4,187,42,-1,-1,4,29,52,40,15,3,17,27,114,72,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,-3.0,-2.0,-8.0,-4.0,5.0,2.0,6.0,4.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,15M,3,30,43,46,17,21,1,0,20,1,1,0,11,8,23,45,2,28,2,15,4,25,0,12,0,5,181,42,-1,-1,4,29,51,39,14,2,17,25,118,63,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,-1.0,1.0,-8.0,7.0,3.0,-1.0,4.0,-5.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,16M,2,19,58,45,19,22,0,2,25,2,2,2,8,6,10,50,1,38,2,30,5,20,0,12,0,6,192,42,-1,-1,4,30,54,41,15,2,18,28,117,75,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,-2.0,-11.0,4.0,4.0,4.0,0.0,4.0,-3.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,17M,9,28,57,40,14,22,1,1,25,2,1,3,3,10,28,74,3,33,4,16,1,8,2,10,0,1,197,42,-1,-1,5,35,57,42,15,2,18,23,155,42,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,4.0,-7.0,0.0,-2.0,-1.0,0.0,4.0,2.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,1M,3,8,40,33,8,18,2,1,21,3,2,1,12,13,3,4,2,3,1,20,1,32,0,31,0,9,134,42,-1,-1,2,16,35,28,12,2,13,26,40,94,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,1.0,-8.0,5.0,5.0,-4.0,1.0,5.0,-5.0
DE VALPARAISO,PUTAENDO,ESCUELA MARIE POUSSEPIN,22,3,13,55,46,10,17,2,0,22,2,1,0,20,25,11,15,14,14,17,8,19,9,10,4,0,0,168,42,-1,-1,3,26,47,36,14,2,16,24,100,67,0.0315029896931321,0.20023739255568931,0.30078362583816215,0.21899230384498206,0.07139613103378738,0.00733957719265511,0.08541006064080005,0.08433791920079191,0.003605441570947752,0.08311048419808223,0.24905119936834444,0.2025260206358503,0.09335824897852098,0.023852762670147035,0.10741554443899676,0.23708029813911055,0.0,-13.0,8.0,10.0,-4.0,0.0,1.0,-2.0
