REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,50V,1,29,35,34,15,18,0,4,25,4,0,0,9,8,1,69,3,2,22,0,29,0,17,0,1,0,161,210,-1,-1,3,25,41,43,13,2,19,15,92,69,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,-2.0,4.0,-6.0,-9.0,2.0,2.0,-1.0,10.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,51V,4,29,40,30,11,18,1,2,6,3,3,0,4,9,0,70,1,0,25,2,16,1,8,1,0,0,141,210,-1,-1,2,23,38,37,11,2,16,12,87,53,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,2.0,6.0,2.0,-7.0,0.0,1.0,2.0,-6.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,52V,4,27,41,44,11,22,0,0,8,0,2,1,6,8,2,63,3,3,27,0,19,1,17,3,2,0,157,210,-1,-1,2,24,40,42,13,2,19,15,88,69,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,2.0,3.0,1.0,2.0,-2.0,-2.0,3.0,-7.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,53V,3,27,35,32,17,18,2,1,13,3,2,4,6,7,2,56,2,1,20,0,35,0,9,1,3,0,148,210,-1,-1,2,23,37,40,12,2,18,14,80,68,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,1.0,4.0,-2.0,-8.0,5.0,1.0,0.0,-1.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,54V,4,30,45,37,17,17,1,1,20,2,2,6,4,46,1,19,3,3,32,2,34,1,13,1,5,0,172,210,-1,-1,3,25,42,47,14,2,22,17,84,88,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,1.0,5.0,3.0,-10.0,3.0,0.0,-5.0,3.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,55V,4,27,37,44,16,23,1,2,20,3,2,4,9,13,7,54,4,3,24,1,27,1,20,1,2,1,174,210,-1,-1,3,27,44,47,14,2,21,16,96,77,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,1.0,0.0,-7.0,-3.0,2.0,1.0,2.0,4.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,56V,2,26,52,33,19,18,0,2,14,2,1,3,4,7,2,66,2,4,30,1,24,0,21,0,1,0,166,210,-1,-1,3,25,42,45,13,2,20,16,89,77,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,-1.0,1.0,10.0,-12.0,6.0,0.0,-2.0,-2.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,57V,2,38,33,37,17,21,1,0,12,1,1,1,6,2,4,64,3,5,49,0,13,0,13,0,0,0,161,210,-1,-1,2,25,40,44,13,2,20,15,86,75,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,0.0,13.0,-7.0,-7.0,4.0,-1.0,1.0,-3.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,58V,2,23,49,37,23,22,0,1,12,1,2,2,6,7,4,76,5,3,40,2,14,2,5,0,1,0,169,210,-1,-1,3,27,45,44,13,2,20,15,105,64,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,-1.0,-4.0,4.0,-7.0,10.0,-1.0,2.0,-3.0
DE VALPARAISO,QUILLOTA,COLEGIO ARAUCO,59V,4,36,61,61,11,18,0,1,14,1,2,3,8,14,4,48,33,7,37,3,23,1,11,3,8,1,206,210,-1,-1,3,32,54,55,16,2,25,19,119,87,0.023316690663737892,0.20546103811367233,0.33441908689865274,0.229410998254775,0.06170074680176997,0.007671133063478835,0.0851622977034775,0.052858008500435726,0.006657756161727927,0.09167187156450855,0.15704710528445792,0.3178826226763216,0.10267336650269263,0.015267182019764385,0.16589837766048185,0.14290171813004487,1.0,4.0,7.0,6.0,-5.0,-1.0,-7.0,-5.0
