REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,151M,4,19,69,59,17,22,2,0,29,2,1,5,5,11,4,61,12,38,4,36,4,23,2,11,0,4,221,312,-1,-1,3,25,67,64,16,2,26,18,137,84,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,1.0,-6.0,2.0,-5.0,1.0,0.0,-4.0,11.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,152M,5,18,68,65,18,26,0,1,17,1,2,3,8,14,4,64,11,49,4,23,2,19,0,14,0,1,218,312,-1,-1,3,25,69,62,15,2,25,17,155,63,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,2.0,-7.0,-1.0,3.0,3.0,-1.0,1.0,0.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,153M,2,26,77,63,8,25,2,2,23,4,3,4,9,14,4,67,9,36,4,36,6,14,1,17,0,4,228,312,-1,-1,3,26,70,65,16,2,27,19,146,82,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,0.0,7.0,-2.0,-8.0,2.0,-2.0,4.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,154M,1,10,75,68,6,34,0,1,25,1,7,4,9,9,7,65,7,40,3,26,3,25,1,8,0,6,220,312,-1,-1,3,25,69,63,15,2,25,18,148,72,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-2.0,-15.0,6.0,5.0,-9.0,-1.0,9.0,7.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,155M,3,15,68,59,17,34,0,2,18,2,2,9,4,13,3,79,8,40,3,32,1,12,1,6,0,3,216,312,-1,-1,4,25,69,62,14,2,24,16,158,58,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,-10.0,-1.0,-3.0,3.0,0.0,10.0,2.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,156M,4,19,84,48,16,30,0,1,16,1,3,4,7,11,5,70,12,39,8,21,2,20,1,11,1,3,218,312,-1,-1,3,25,69,62,15,2,25,17,151,67,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,1.0,-6.0,15.0,-14.0,1.0,-1.0,5.0,-1.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,157M,3,13,93,46,16,31,1,0,23,1,3,2,10,62,6,52,2,18,1,19,2,18,2,22,0,6,226,312,-1,-1,3,26,71,65,15,2,26,18,155,70,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,0.0,-13.0,22.0,-19.0,1.0,-1.0,5.0,5.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,158M,3,25,53,41,14,27,0,3,13,3,0,1,7,12,40,57,6,13,4,14,0,6,1,14,0,3,179,312,-1,-1,3,21,58,51,12,1,20,13,136,42,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,0.0,4.0,-5.0,-10.0,2.0,2.0,7.0,0.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,86M,4,31,42,40,15,25,0,0,6,0,3,1,9,6,47,4,2,3,1,31,1,29,0,19,0,7,163,312,-1,-1,2,17,46,47,13,2,21,15,75,88,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,2.0,14.0,-4.0,-7.0,2.0,-2.0,4.0,-9.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,87M,1,26,41,36,19,15,0,1,23,1,1,4,7,3,36,4,2,4,2,34,4,31,1,27,0,2,162,312,-1,-1,2,17,44,46,14,2,21,16,61,101,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,9.0,-3.0,-10.0,5.0,-1.0,-6.0,7.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,88M,1,14,42,34,21,14,1,2,14,3,1,0,7,3,33,6,0,2,4,33,1,35,1,17,0,0,143,312,-1,-1,2,15,39,41,12,1,19,14,52,91,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,-1.0,3.0,-7.0,9.0,2.0,-5.0,0.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,89M,5,28,47,41,7,13,0,1,19,1,2,3,11,7,35,2,5,4,3,27,0,41,0,14,1,5,161,312,-1,-1,2,17,45,46,13,2,20,16,69,91,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,3.0,11.0,2.0,-5.0,-6.0,-1.0,-7.0,3.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,90M,1,11,62,38,13,24,1,0,14,1,3,1,10,9,39,8,4,5,0,29,1,27,0,24,1,3,164,312,-1,-1,2,18,47,47,13,2,20,15,79,85,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,-7.0,15.0,-9.0,0.0,-1.0,4.0,-1.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,91M,2,19,54,39,11,20,1,1,16,2,3,5,6,6,39,4,2,4,0,31,4,34,0,17,2,6,163,312,-1,-1,2,17,45,47,13,2,21,16,69,94,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,0.0,2.0,9.0,-8.0,-2.0,0.0,-1.0,0.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,92M,1,16,42,36,12,25,2,0,12,2,3,0,11,5,30,5,0,2,1,40,1,27,1,11,0,9,146,312,-1,-1,2,15,40,42,12,1,19,15,56,90,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,1.0,2.0,-6.0,0.0,1.0,6.0,-3.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,93M,5,23,39,43,15,12,1,0,9,1,5,1,10,7,45,4,1,2,3,21,1,26,2,12,1,7,147,312,-1,-1,2,16,43,42,12,1,18,13,75,73,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,3.0,7.0,-4.0,1.0,3.0,0.0,-6.0,-4.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,94M,3,20,30,39,14,18,0,1,10,1,1,0,9,2,34,3,2,6,1,33,1,20,0,15,2,6,135,312,-1,-1,2,14,38,39,11,1,17,13,57,78,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,1.0,6.0,-8.0,0.0,3.0,0.0,1.0,-3.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,95M,1,24,39,37,15,21,0,1,12,1,3,4,5,6,45,0,1,5,4,28,1,34,2,13,0,0,150,312,-1,-1,2,16,42,43,12,2,19,14,69,82,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,8.0,-3.0,-6.0,3.0,-1.0,2.0,-2.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,96M,1,26,30,41,15,16,0,0,20,0,1,0,15,6,29,1,3,6,0,45,1,24,0,13,1,4,149,312,-1,-1,2,16,41,43,12,1,19,15,61,88,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,-1.0,10.0,-11.0,-2.0,3.0,-1.0,-3.0,5.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,97M,3,19,62,49,12,27,2,1,16,3,4,5,8,5,46,5,1,1,2,73,3,18,2,14,0,3,191,312,-1,-1,2,20,52,55,16,2,25,19,75,115,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,1.0,-1.0,10.0,-6.0,-4.0,1.0,2.0,-3.0
DE VALPARAISO,QUILPUE,COLEGIO ACONCAGUA,98M,4,29,35,35,7,20,0,1,10,1,2,6,3,4,38,1,2,5,2,47,1,16,1,11,0,2,141,312,-1,-1,2,15,39,40,12,1,18,14,61,80,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,2.0,14.0,-4.0,-5.0,-5.0,0.0,2.0,-4.0
DE VALPARAISO,QUILPUE,COLEGIO CAPITAN IGNACIO CARRERA PINTO,119V,3,16,50,81,14,24,0,1,18,1,2,2,17,30,13,2,32,4,37,8,38,3,13,1,5,0,207,312,-1,-1,3,22,60,59,16,2,26,19,102,105,0.017587491888609613,0.12346037814270108,0.3569765230609363,0.28788893268552207,0.051594879101951874,0.006800634823951433,0.09894609668321482,0.056745063613112795,0.010009766222190589,0.09135088101217972,0.2197558473363175,0.2857696824819281,0.10528990458679788,0.01269006342736987,0.14858089381303977,0.12655296112017633,0.0,-6.0,-10.0,22.0,-2.0,-1.0,-2.0,-1.0
