REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,117M,1,9,29,84,5,31,1,0,7,1,3,3,12,11,12,31,5,18,1,27,4,19,1,14,0,6,167,328,-1,-1,2,15,42,60,9,2,24,13,95,72,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-1.0,-6.0,-13.0,24.0,-4.0,-1.0,7.0,-6.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,118M,4,6,52,70,5,25,0,2,10,2,0,1,16,14,12,36,3,20,3,17,0,23,3,18,1,7,174,328,-1,-1,3,16,44,62,10,1,25,13,102,72,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,1.0,-10.0,8.0,8.0,-5.0,1.0,0.0,-3.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,119M,1,5,33,81,6,36,1,1,10,2,0,1,12,16,7,47,0,17,5,22,1,18,4,18,0,6,174,328,-1,-1,2,16,44,63,9,1,25,14,100,74,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-1.0,-11.0,-11.0,18.0,-3.0,1.0,11.0,-4.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,120M,1,12,27,59,9,31,0,0,13,0,3,3,14,13,5,37,5,19,2,12,1,15,1,18,0,3,152,328,-1,-1,2,15,40,54,8,1,21,11,99,52,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-1.0,-3.0,-13.0,5.0,1.0,-1.0,10.0,2.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,121M,0,12,46,64,7,22,3,1,9,4,2,2,7,15,8,39,8,20,5,26,4,15,5,6,0,2,164,328,-1,-1,2,16,42,59,9,1,23,12,101,63,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-2.0,-4.0,4.0,5.0,-2.0,3.0,-1.0,-3.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,122M,1,12,46,63,7,33,0,1,7,1,1,1,13,16,11,53,0,23,1,16,1,19,3,11,0,1,170,328,-1,-1,3,18,45,60,9,1,23,11,118,52,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-2.0,-6.0,1.0,3.0,-2.0,0.0,10.0,-4.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,123M,0,7,42,76,3,27,1,2,9,3,0,3,8,11,10,48,7,23,7,16,0,15,3,10,0,6,167,328,-1,-1,2,17,44,59,9,1,23,12,110,57,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-2.0,-10.0,-2.0,17.0,-6.0,2.0,4.0,-3.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,124M,1,7,45,55,8,33,0,0,11,0,1,1,10,7,3,63,6,22,4,18,2,14,0,5,1,3,160,328,-1,-1,2,17,43,56,8,1,22,11,113,47,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-1.0,-10.0,2.0,-1.0,0.0,-1.0,11.0,0.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,125M,0,13,35,69,6,45,1,1,13,2,4,2,13,15,9,50,8,36,2,11,3,17,3,8,0,1,183,328,-1,-1,3,20,50,63,10,1,25,11,137,45,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,-3.0,-7.0,-15.0,6.0,-4.0,1.0,20.0,2.0
DE VALPARAISO,SAUSALITO,CEIA LOS CASTANOS,126M,2,9,45,48,8,31,0,1,16,1,0,3,8,21,29,21,4,14,9,13,2,16,3,14,1,2,160,328,-1,-1,2,15,41,57,9,1,23,12,100,60,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,0.0,-6.0,4.0,-9.0,-1.0,0.0,8.0,4.0
DE VALPARAISO,SAUSALITO,COLEGIO ARABE,86M,2,16,24,48,9,22,0,0,10,0,2,0,4,9,5,7,21,33,4,19,1,18,2,3,0,3,131,328,-1,-1,2,12,34,47,7,1,18,10,81,50,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,0.0,4.0,-10.0,1.0,2.0,-1.0,4.0,0.0
DE VALPARAISO,SAUSALITO,COLEGIO ARABE,87M,2,9,23,46,5,19,1,0,9,1,2,1,10,7,5,2,5,33,6,19,3,14,0,4,0,3,114,328,-1,-1,2,10,29,41,6,1,16,9,65,49,0.01856293659063616,0.13477885572513507,0.2987576906209361,0.3290041447269091,0.04922880412626485,0.00730171078805066,0.12199780703866822,0.0403680503834001,0.006835431468873452,0.03323914081854471,0.19036033976964775,0.39966756570883144,0.06060684037575751,0.007844238467352053,0.1741726952424685,0.12727374814852466,0.0,-1.0,-6.0,5.0,-1.0,0.0,3.0,0.0
