REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,1M,2,8,11,22,5,5,2,9,17,11,0,2,0,2,1,0,0,0,5,18,2,37,1,11,0,2,81,11,-1,-1,4,6,12,19,5,13,6,16,5,76,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,-2.0,2.0,-1.0,3.0,0.0,-2.0,-1.0,1.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,1V-10,11,16,21,38,7,10,5,10,21,15,1,0,9,10,16,6,2,6,16,4,31,2,19,1,7,0,139,11,-1,-1,4,15,24,38,8,14,10,26,50,80,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,7.0,1.0,-3.0,0.0,-1.0,1.0,0.0,-5.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,2M-3V,2,13,32,23,4,14,4,4,24,8,0,0,11,8,10,16,16,6,12,11,9,6,10,2,2,1,120,11,-1,-1,3,14,22,35,7,9,8,22,67,53,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,-1.0,-1.0,10.0,-12.0,-3.0,-1.0,6.0,2.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,2V-7V,2,18,15,39,5,6,7,8,26,15,2,7,1,18,17,9,9,19,16,0,14,3,9,0,2,0,126,11,-1,-1,2,16,23,38,8,8,9,22,82,44,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,0.0,2.0,-8.0,1.0,-3.0,7.0,-3.0,4.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,3M-6M,2,12,15,23,9,7,2,1,18,3,0,4,5,6,31,4,6,5,0,15,2,8,1,2,0,0,89,11,-1,-1,1,12,17,27,5,5,6,16,61,28,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,1.0,0.0,-2.0,-4.0,4.0,-2.0,1.0,2.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,4M,1,8,27,43,12,6,6,0,21,6,0,0,3,3,6,5,1,57,0,33,1,11,0,2,0,2,124,11,-1,-1,3,15,23,37,8,8,8,22,75,49,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,-2.0,-7.0,4.0,6.0,4.0,-2.0,-2.0,-1.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,5M-4V,1,23,29,44,10,11,5,3,26,8,0,1,8,6,3,61,4,24,13,12,4,7,4,4,1,0,152,11,-1,-1,2,20,28,47,10,8,10,27,107,45,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,-1.0,3.0,1.0,-3.0,0.0,0.0,1.0,-1.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,5V,2,10,15,34,5,6,3,1,18,4,0,1,4,5,4,17,34,2,16,0,5,0,4,0,2,0,94,11,-1,-1,1,12,18,29,6,5,6,17,67,27,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,1.0,-2.0,-3.0,5.0,-1.0,-1.0,0.0,1.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,6V,1,14,28,38,8,9,4,4,24,8,1,2,5,11,20,7,37,3,18,1,14,1,5,0,3,0,130,11,-1,-1,2,17,24,39,8,8,9,23,86,42,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,-1.0,-3.0,4.0,-1.0,0.0,0.0,0.0,1.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,8-11,0,16,14,36,8,4,3,0,12,3,1,3,20,14,15,12,8,6,5,2,2,1,1,2,0,1,93,11,-1,-1,1,13,18,30,6,3,6,16,79,14,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,-1.0,3.0,-4.0,6.0,2.0,0.0,-2.0,-4.0
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,9,1,11,12,16,1,4,0,0,9,0,0,0,7,25,4,9,1,3,0,1,1,3,0,0,0,0,54,11,-1,-1,0,8,11,18,3,1,4,9,49,5,0.0003354201543163013,0.15752741783494933,0.2030101715067824,0.33900169766551136,0.06463705810738576,0.003987207009056369,0.06304020666395577,0.16846082105804278,0.05198940534110832,0.07215501702724005,0.1497240971200912,0.22959478145099838,0.056858317866632806,0.1658902003199004,0.07615585606222805,0.19763232481180082,1.0,3.0,1.0,-2.0,-2.0,-1.0,0.0,0.0
