REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,1M,0,14,15,30,8,12,0,1,22,1,1,0,4,11,0,1,2,1,1,18,2,29,2,19,2,9,102,15,-1,-1,1,17,13,29,6,3,11,22,20,82,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,-1.0,-3.0,2.0,1.0,2.0,-2.0,1.0,0.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,1V,1,15,17,22,3,10,0,3,22,3,1,0,6,8,2,1,1,11,11,6,26,4,10,1,4,1,93,15,-1,-1,1,18,12,27,5,2,10,18,30,63,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,-3.0,5.0,-5.0,-2.0,1.0,0.0,4.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,2M,1,17,13,31,5,8,1,4,14,5,2,0,3,5,1,1,3,0,2,25,2,34,0,12,0,4,94,15,-1,-1,1,16,11,27,5,3,10,21,15,79,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,1.0,2.0,4.0,0.0,2.0,-2.0,-7.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,2V,0,29,20,37,5,13,1,4,18,5,0,0,4,6,0,23,3,17,32,1,26,0,10,0,5,0,127,15,-1,-1,1,26,16,37,6,3,14,24,53,74,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,-1.0,3.0,4.0,0.0,-1.0,2.0,-1.0,-6.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,3M,1,28,7,28,4,13,1,1,25,2,2,0,3,3,9,1,13,0,2,23,1,28,0,18,0,5,108,15,-1,-1,1,20,13,31,6,3,12,22,31,77,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,8.0,-6.0,-3.0,-2.0,-1.0,1.0,3.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,3V,1,22,12,42,9,12,1,4,32,5,0,0,1,5,3,30,3,0,28,3,31,0,25,0,6,0,135,15,-1,-1,1,25,17,39,7,4,15,27,42,93,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,-3.0,-5.0,3.0,2.0,1.0,-3.0,5.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,4M,2,25,8,42,5,11,1,0,17,1,2,1,8,3,33,1,2,3,0,26,1,17,1,11,0,2,111,15,-1,-1,1,24,15,32,5,2,12,20,53,58,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,1.0,1.0,-7.0,10.0,0.0,-1.0,-1.0,-3.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,4V,1,24,21,31,7,18,1,1,29,2,2,2,6,43,2,3,0,3,34,2,22,6,4,1,3,0,133,15,-1,-1,1,28,17,39,6,3,15,24,61,72,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,0.0,-4.0,4.0,-8.0,1.0,-1.0,3.0,5.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,5M,2,35,21,40,5,17,0,2,25,2,0,2,29,3,3,4,4,51,1,31,0,14,0,1,0,4,147,15,-1,-1,1,35,20,43,7,2,17,22,96,51,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,1.0,0.0,1.0,-3.0,-2.0,0.0,0.0,3.0
DEL BIOBIO,ANTUCO,LICEO DOCTOR VICTOR RIOS RUIZ,5V,2,32,12,34,5,12,0,1,22,1,0,2,16,21,4,4,13,5,25,2,12,3,9,1,3,0,120,15,-1,-1,1,27,16,35,6,2,13,20,65,55,0.013128542939088607,0.28698637309583097,0.14349005974064136,0.2948562939192236,0.03632874754439908,0.0035347235695938756,0.11774757718873964,0.10392768200248283,0.005194185619494252,0.1429899852632027,0.11791394796433988,0.28718043840712565,0.0597492117171205,0.03597572676091507,0.1059804601266635,0.24501604414113845,1.0,5.0,-4.0,-1.0,-1.0,-1.0,-1.0,2.0
