REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,1,1,15,17,36,4,16,2,1,13,3,3,4,8,7,7,2,3,3,6,8,2,3,15,13,12,9,105,16,-1,-1,1,19,14,39,7,1,8,16,37,68,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,0.0,-4.0,3.0,-3.0,-3.0,2.0,8.0,-3.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,10,1,14,17,49,12,11,1,2,34,3,0,1,1,3,0,2,2,4,2,6,61,47,3,8,0,1,141,16,-1,-1,1,17,20,52,10,2,12,27,13,128,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,0.0,-3.0,-3.0,-3.0,2.0,1.0,-1.0,7.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,11,0,20,20,73,15,14,2,1,26,3,4,3,3,3,2,3,4,2,64,49,12,19,0,1,0,1,171,16,-1,-1,1,23,24,63,12,3,14,31,24,146,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,-1.0,-3.0,-4.0,10.0,3.0,0.0,0.0,-5.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,12,1,35,18,47,8,8,1,0,15,1,0,4,2,4,3,1,4,11,34,65,2,3,1,0,0,0,133,16,-1,-1,1,20,18,49,9,2,11,23,29,105,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,0.0,15.0,0.0,-2.0,-1.0,-1.0,-3.0,-8.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,13,0,31,13,59,6,10,1,2,19,3,0,0,0,4,3,1,35,43,25,30,0,0,0,0,0,0,141,16,-1,-1,1,32,17,54,8,2,11,16,86,55,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,-1.0,-1.0,-4.0,5.0,-2.0,1.0,-1.0,3.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,14,0,42,10,44,7,6,1,3,5,4,0,0,3,7,36,31,14,21,2,2,1,0,0,1,0,0,118,16,-1,-1,1,35,13,47,5,1,8,8,112,6,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,-1.0,7.0,-3.0,-3.0,2.0,3.0,-2.0,-3.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,15,1,37,13,39,4,3,0,0,6,0,2,2,1,1,35,58,2,0,0,0,1,1,0,0,0,0,103,16,-1,-1,1,32,11,41,4,1,7,6,101,2,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,0.0,5.0,2.0,-2.0,0.0,-1.0,-4.0,0.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,16,1,21,6,33,5,7,0,0,3,0,1,1,2,4,14,34,4,3,1,5,4,0,1,1,1,0,76,16,-1,-1,0,21,9,30,3,1,6,6,63,13,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,1.0,0.0,-3.0,3.0,2.0,-1.0,1.0,-3.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,2,3,15,16,65,17,14,2,1,29,3,2,3,6,3,1,6,3,0,2,1,48,36,22,25,2,1,162,16,-1,-1,1,22,22,60,12,2,14,29,24,137,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,2.0,-7.0,-6.0,5.0,5.0,1.0,0.0,0.0
DEL BIOBIO,CARAMPANGUE,LICEO POLITECNICO CARAMPANGUE,3,1,28,24,45,14,10,0,0,26,0,3,1,0,9,0,2,1,0,26,23,35,46,1,1,0,0,148,16,-1,-1,1,19,21,54,11,2,12,28,16,132,0.0046483900213866,0.3103712839616471,0.10976476524296978,0.4014424855507532,0.03817177306415831,0.010540928384127478,0.06887441735848847,0.05618595641646913,0.008017088297855789,0.10442933182952224,0.1425304961380958,0.3620562661169099,0.07862789370427933,0.015767039172432884,0.08558687951644166,0.20298500522446242,0.0,9.0,3.0,-9.0,3.0,-2.0,-2.0,-2.0
