REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,100,2,33,9,18,5,0,0,0,2,0,0,0,6,3,53,4,0,1,0,1,0,0,1,0,0,0,69,228,-1,-1,1,24,13,19,4,1,3,4,67,2,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,1.0,9.0,-4.0,-1.0,1.0,-1.0,-3.0,-2.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,101,0,30,14,11,3,3,0,0,1,0,2,1,0,1,57,0,0,0,0,1,0,0,0,0,0,0,62,228,-1,-1,1,22,12,17,3,1,3,3,61,1,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,-1.0,8.0,2.0,-6.0,0.0,-1.0,0.0,-2.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,102,0,30,5,16,3,3,0,0,3,0,3,2,1,2,47,3,1,0,0,0,0,1,0,0,0,0,60,228,-1,-1,1,21,11,17,3,1,3,3,59,1,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,-1.0,9.0,-6.0,-1.0,0.0,-1.0,0.0,0.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,103-123,6,52,24,42,9,6,0,1,4,1,2,1,39,32,61,3,2,1,0,1,0,0,0,1,0,0,144,228,-1,-1,2,50,28,41,8,1,6,8,141,2,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,4.0,2.0,-4.0,1.0,1.0,0.0,0.0,-4.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,104,1,32,6,13,3,2,0,1,2,1,0,2,1,3,50,3,0,0,0,0,0,0,1,0,0,0,60,228,-1,-1,1,21,11,17,3,1,3,3,59,1,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,0.0,11.0,-5.0,-4.0,0.0,0.0,-1.0,-1.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,105,1,28,10,26,2,1,0,0,1,0,0,0,2,3,61,0,0,0,1,1,0,0,0,1,0,0,69,228,-1,-1,1,24,13,19,4,1,3,4,66,3,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,0.0,4.0,-3.0,7.0,-2.0,-1.0,-2.0,-3.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,106-110,0,54,28,33,6,3,0,1,4,1,3,1,31,31,51,6,0,0,1,2,3,0,0,0,0,0,129,228,-1,-1,2,44,25,36,8,1,6,7,123,6,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,-2.0,10.0,3.0,-3.0,-2.0,0.0,-3.0,-3.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,107,0,44,12,20,3,1,0,1,1,1,0,0,3,2,71,2,1,2,0,0,1,0,0,0,0,0,82,228,-1,-1,1,29,16,23,5,1,3,4,81,1,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,-1.0,15.0,-4.0,-3.0,-2.0,0.0,-2.0,-3.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,108,1,28,6,25,4,2,0,1,4,1,0,1,3,1,49,14,0,0,1,2,0,0,0,0,0,0,71,228,-1,-1,1,24,14,20,4,1,3,4,68,3,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,0.0,4.0,-8.0,5.0,0.0,0.0,-1.0,0.0
DEL BIOBIO,CORONEL,COLEGIO ANIBAL ESQUIVEL TAPIA,109,1,29,15,24,2,2,0,0,3,0,2,0,13,16,22,18,2,2,0,0,1,0,0,0,0,0,76,228,-1,-1,1,27,15,21,4,1,3,4,75,1,0.013020605459869106,0.3533272056435571,0.19208263551770144,0.2822466441585076,0.05620299440408623,0.008480186386120813,0.042991652839066107,0.05164807559109146,0.0076674314888745725,0.1405588540835909,0.17210236083098243,0.28361211075291815,0.09638865865404914,0.02358418895479799,0.08852947985925601,0.18755691537553096,0.0,2.0,0.0,3.0,-2.0,-1.0,-1.0,-1.0
