REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,1M,2,8,11,22,5,5,2,9,17,11,0,2,0,2,1,0,0,0,5,18,2,37,1,11,0,2,81,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,1V-10,11,16,21,38,7,10,5,10,21,15,1,0,9,10,16,6,2,6,16,4,31,2,19,1,7,0,139,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,2M-3V,2,13,32,23,4,14,4,4,24,8,0,0,11,8,10,16,16,6,12,11,9,6,10,2,2,1,120,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,2V-7V,2,18,15,39,5,6,7,8,26,15,2,7,1,18,17,9,9,19,16,0,14,3,9,0,2,0,126,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,3M-6M,2,12,15,23,9,7,2,1,18,3,0,4,5,6,31,4,6,5,0,15,2,8,1,2,0,0,89,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,4M,1,8,27,43,12,6,6,0,21,6,0,0,3,3,6,5,1,57,0,33,1,11,0,2,0,2,124,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,5M-4V,1,23,29,44,10,11,5,3,26,8,0,1,8,6,3,61,4,24,13,12,4,7,4,4,1,0,152,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,5V,2,10,15,34,5,6,3,1,18,4,0,1,4,5,4,17,34,2,16,0,5,0,4,0,2,0,94,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,6V,1,14,28,38,8,9,4,4,24,8,1,2,5,11,20,7,37,3,18,1,14,1,5,0,3,0,130,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,8-11,0,16,14,36,8,4,3,0,12,3,1,3,20,14,15,12,8,6,5,2,2,1,1,2,0,1,93,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,9,1,11,12,16,1,4,0,0,9,0,0,0,7,25,4,9,1,3,0,1,1,3,0,0,0,0,54,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,64M,2,23,46,41,23,18,1,0,13,1,4,4,20,29,2,7,2,3,2,34,1,37,1,21,0,0,167,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,65M,1,13,28,31,11,19,0,1,17,1,0,1,6,2,2,3,4,5,0,59,0,24,1,10,0,4,121,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
