REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,10M,0,14,11,66,13,11,2,2,21,4,3,1,2,4,0,1,28,0,0,36,2,48,0,15,0,0,140,63,-1,-1,2,14,22,55,11,3,9,24,39,101,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,-2.0,0.0,-11.0,11.0,2.0,1.0,2.0,-3.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,11M,1,14,15,46,9,8,2,2,18,4,1,1,4,5,0,2,18,0,2,33,2,28,1,13,0,5,115,63,-1,-1,1,12,18,45,9,2,8,20,31,84,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,0.0,2.0,-3.0,1.0,0.0,2.0,0.0,-2.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,12M,2,18,16,48,15,6,1,0,21,1,1,3,4,11,4,0,12,2,0,32,0,38,1,13,0,6,127,63,-1,-1,2,13,20,50,9,3,8,22,37,90,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,0.0,5.0,-4.0,-2.0,6.0,-2.0,-2.0,-1.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,13M,4,12,17,53,12,5,0,1,21,1,1,1,2,6,11,3,3,2,2,39,2,33,0,15,0,5,125,63,-1,-1,1,12,19,49,10,3,9,22,29,96,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,3.0,0.0,-2.0,4.0,2.0,-2.0,-4.0,-1.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,14M,1,16,26,60,5,12,1,1,22,2,0,0,7,10,22,1,3,1,1,37,3,38,0,18,0,4,144,63,-1,-1,2,15,23,56,11,3,10,24,44,101,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,-1.0,1.0,3.0,4.0,-6.0,-1.0,2.0,-2.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,15M,2,16,17,53,15,12,1,5,11,6,1,2,4,6,23,0,2,0,1,46,1,22,0,20,0,4,132,63,-1,-1,1,14,21,52,10,3,9,22,38,94,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,1.0,2.0,-4.0,1.0,5.0,3.0,3.0,-11.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,16M,0,20,19,51,9,13,1,2,19,3,1,3,2,8,21,2,2,3,0,43,2,31,1,11,0,3,134,63,-1,-1,2,14,22,52,10,3,9,22,42,91,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,-2.0,6.0,-3.0,-1.0,-1.0,0.0,4.0,-3.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,17M,1,14,21,43,14,11,0,4,28,4,1,2,7,8,18,1,1,0,1,38,1,39,0,16,1,2,136,63,-1,-1,2,14,22,53,10,3,9,23,38,98,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,-1.0,0.0,-1.0,-10.0,4.0,1.0,2.0,5.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,18M,3,20,22,43,12,6,3,0,23,3,2,2,3,2,17,1,1,1,2,55,0,31,1,13,0,1,132,63,-1,-1,2,12,20,52,10,3,9,24,29,103,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,1.0,8.0,2.0,-9.0,2.0,0.0,-3.0,-1.0
DEL BIOBIO,LEBU,ESCUELA FRESIA GRACIELA MULLER RUIZ,19M,0,20,28,63,10,12,3,2,15,5,1,0,3,2,22,2,2,42,5,51,0,15,0,7,0,1,153,63,-1,-1,2,20,26,59,11,3,9,23,74,79,0.008266981111364523,0.21105398934471012,0.21248493351712575,0.3683043068966538,0.05540446658649891,0.012890990388157747,0.03834046188009516,0.09325387027539397,0.013344738161162342,0.06050879850261177,0.13684112437098694,0.4000323925776451,0.08252839455290133,0.02645384533607987,0.07791965444846288,0.20237105205014957,-2.0,0.0,2.0,4.0,-1.0,2.0,3.0,-8.0
