REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,1M,2,41,23,37,23,12,0,2,39,2,4,2,4,6,3,10,1,28,3,40,0,48,2,24,0,4,179,10,-1,-1,3,42,30,39,14,3,12,36,58,121,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,-1.0,-1.0,-7.0,-2.0,9.0,-1.0,0.0,3.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,1V,4,46,41,29,12,10,2,5,40,7,4,2,2,10,6,9,11,6,48,2,43,0,28,1,16,0,189,10,-1,-1,3,43,31,40,15,4,12,41,50,138,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,1.0,3.0,10.0,-11.0,-3.0,3.0,-2.0,-1.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,2M,5,37,28,39,15,10,1,0,38,1,2,2,4,2,0,14,1,19,2,50,0,51,0,21,0,6,173,10,-1,-1,3,39,28,36,14,4,11,38,44,130,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,2.0,-2.0,0.0,3.0,1.0,-3.0,-1.0,0.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,2V,3,43,32,44,13,11,2,4,41,6,1,2,5,11,14,7,17,2,58,3,47,0,19,0,8,0,193,10,-1,-1,3,45,32,41,16,4,12,40,59,135,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,0.0,-2.0,0.0,3.0,-3.0,2.0,-1.0,1.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,3M,2,49,23,47,12,15,1,5,34,6,2,2,2,1,4,21,0,35,2,45,1,38,1,32,0,2,188,10,-1,-1,3,45,32,41,15,3,12,37,67,121,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,-1.0,4.0,-9.0,6.0,-3.0,3.0,3.0,-3.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,3V,2,41,38,45,13,15,0,0,26,0,2,3,5,7,38,13,18,4,29,0,28,3,19,0,9,1,180,10,-1,-1,3,46,32,41,15,3,12,28,90,89,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,-1.0,-5.0,6.0,4.0,-2.0,-3.0,3.0,-2.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,4M,0,42,23,43,15,18,0,0,14,0,5,4,0,11,18,25,21,41,5,10,3,7,1,4,0,0,155,10,-1,-1,3,46,30,38,13,1,11,13,125,30,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,-3.0,-4.0,-7.0,5.0,2.0,-1.0,7.0,1.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,5,6,55,39,36,11,9,0,1,17,1,12,17,33,51,8,8,8,8,10,3,5,4,5,2,0,0,174,10,-1,-1,4,52,34,42,15,1,13,13,145,29,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,2.0,3.0,5.0,-6.0,-4.0,0.0,-4.0,4.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,6,6,56,35,43,14,10,0,0,8,0,14,18,36,43,12,11,7,7,6,2,4,7,1,1,2,1,172,10,-1,-1,4,52,34,42,14,1,13,12,148,24,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,2.0,4.0,1.0,1.0,0.0,-1.0,-3.0,-4.0
DEL BIOBIO,LIRQUEN,ESCUELA ALMIRANTE PATRICIO LYNCH,7,2,20,15,15,9,4,0,1,8,1,1,1,9,11,10,6,7,8,2,4,4,8,0,3,0,0,74,10,-1,-1,2,21,14,17,6,1,5,8,53,21,0.02430186417012935,0.3223801961248697,0.20541599325030563,0.25311036816165644,0.08360730339291682,6.65771938347522e-07,0.07708605430593839,0.03409755482224541,0.013855524561548285,0.19019342933537736,0.14847897339905244,0.19750973195385396,0.07973854579519458,0.02857965159621303,0.058766223157152894,0.28287792020160746,0.0,-1.0,1.0,-2.0,3.0,0.0,-1.0,0.0
