REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,199,0,35,18,41,5,10,0,0,6,0,0,4,3,4,41,52,3,1,1,2,3,0,0,0,1,0,115,448,-1,-1,1,25,19,45,4,1,14,6,108,7,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,-1.0,10.0,-1.0,-4.0,1.0,-1.0,-4.0,0.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,200,1,25,15,30,3,10,0,0,3,0,5,3,0,2,35,36,1,1,1,1,1,0,0,0,0,1,87,448,-1,-1,1,19,15,34,3,1,10,4,83,4,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,0.0,6.0,0.0,-4.0,0.0,-1.0,0.0,-1.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,201,1,34,21,23,2,6,1,1,4,2,3,2,0,1,32,48,1,1,2,2,0,0,0,0,0,1,93,448,-1,-1,1,20,16,36,3,1,11,5,88,5,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,0.0,14.0,5.0,-13.0,-1.0,1.0,-5.0,-1.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,202,1,32,22,34,3,12,0,0,3,0,3,3,13,17,27,34,1,5,0,2,1,1,0,0,0,0,107,448,-1,-1,1,24,18,42,4,1,12,5,103,4,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,0.0,8.0,4.0,-8.0,-1.0,-1.0,0.0,-2.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,203,2,23,23,48,9,18,1,0,7,1,1,2,38,36,16,29,2,3,1,1,1,0,0,1,0,0,131,448,-1,-1,1,29,22,51,5,1,15,7,127,4,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,1.0,-6.0,1.0,-3.0,4.0,0.0,3.0,0.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,204,1,24,21,47,7,16,1,0,4,1,2,3,15,30,21,34,1,1,3,2,5,1,1,1,0,1,121,448,-1,-1,1,25,20,48,4,1,15,7,107,14,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,0.0,-1.0,1.0,-1.0,3.0,0.0,1.0,-3.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,205,3,24,14,40,3,6,0,0,5,0,3,3,15,13,17,33,4,1,1,4,1,1,0,0,0,0,95,448,-1,-1,1,21,16,37,3,1,11,5,89,7,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,2.0,3.0,-2.0,3.0,0.0,-1.0,-5.0,0.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,206,1,33,12,40,3,8,0,0,7,0,4,3,30,38,11,9,1,1,1,2,4,0,0,0,0,0,104,448,-1,-1,1,23,17,41,4,1,12,5,97,7,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,0.0,10.0,-5.0,-1.0,-1.0,-1.0,-4.0,2.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,207,2,34,24,29,5,1,0,2,2,2,3,2,38,33,4,14,1,2,1,1,0,1,0,0,0,0,99,448,-1,-1,1,22,17,38,3,1,12,5,97,3,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,1.0,12.0,7.0,-9.0,2.0,1.0,-11.0,-3.0
DEL BIOBIO,LOS ANGELES,COLEGIO DON ORIONE,208,1,36,15,32,2,7,0,0,5,0,0,8,42,34,2,9,2,1,1,0,0,0,0,0,0,0,98,448,-1,-1,1,22,17,38,3,1,11,5,98,1,0.009572945854728765,0.22748204384993806,0.17245967728209916,0.38699849459621494,0.03462645763458287,0.006946820949593739,0.11597128174280286,0.04594227809004007,0.005105898907163997,0.06806625740868627,0.10177400702652228,0.4638236912227682,0.05335982580703292,0.015408932596182888,0.15069795942214145,0.14176342760950222,0.0,14.0,-2.0,-6.0,-1.0,-1.0,-4.0,0.0
