REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,10,4,29,14,26,7,5,0,0,12,0,0,5,0,3,1,0,36,40,5,1,4,0,1,1,0,0,97,51,-1,-1,2,39,15,22,8,1,5,5,85,12,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,2.0,-10.0,-1.0,4.0,-1.0,-1.0,0.0,7.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,11,2,57,11,32,10,7,1,0,7,1,0,3,11,6,2,1,33,63,2,3,1,1,1,0,0,0,127,51,-1,-1,2,53,19,30,10,1,6,6,119,8,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,0.0,4.0,-8.0,2.0,0.0,0.0,1.0,1.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,12,1,41,14,26,12,7,3,1,10,4,2,2,0,5,1,6,46,46,2,1,0,1,2,1,0,0,115,51,-1,-1,2,48,17,27,9,1,6,5,108,7,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,-1.0,-7.0,-3.0,-1.0,3.0,3.0,1.0,5.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,13,4,45,12,31,12,12,0,0,9,0,3,2,2,3,0,0,39,66,2,2,1,3,2,0,0,0,125,51,-1,-1,2,52,19,29,10,1,6,6,115,10,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,2.0,-7.0,-7.0,2.0,2.0,-1.0,6.0,3.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,1M,1,36,17,24,17,14,0,2,24,2,0,1,3,4,1,6,2,14,1,33,2,41,0,16,1,10,135,51,-1,-1,2,29,24,29,17,2,9,23,31,104,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,-1.0,7.0,-7.0,-5.0,0.0,0.0,5.0,1.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,1V,0,36,23,22,19,10,1,2,24,3,2,1,5,9,1,1,9,1,18,1,34,2,38,1,13,0,137,51,-1,-1,2,29,24,29,17,3,10,23,29,107,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,-2.0,7.0,-1.0,-7.0,2.0,0.0,0.0,1.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,2M,0,39,24,34,20,12,0,6,33,6,1,1,6,12,2,7,1,16,0,48,0,54,0,18,2,0,168,51,-1,-1,2,38,30,36,20,3,12,27,46,122,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,-2.0,1.0,-6.0,-2.0,0.0,3.0,0.0,6.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,2V,5,33,35,32,12,11,2,1,29,3,2,1,12,11,3,1,10,0,38,1,37,2,37,1,4,0,160,51,-1,-1,2,36,28,35,19,3,11,26,40,120,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,3.0,-3.0,7.0,-3.0,-7.0,0.0,0.0,3.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,3M,2,44,33,34,26,14,0,5,22,5,1,3,9,6,3,19,1,35,0,42,1,27,2,28,0,2,180,51,-1,-1,2,49,31,40,19,3,12,24,77,102,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,0.0,-5.0,2.0,-6.0,7.0,2.0,2.0,-2.0
DEL BIOBIO,LOS CERROS,COLEGIO BASICO NUEVA LOS LOBOS,3V,3,41,24,32,14,9,2,2,32,4,1,2,2,6,24,8,19,0,31,0,37,4,19,5,1,0,159,51,-1,-1,2,42,27,35,18,3,10,22,62,97,0.016474921552072624,0.438699350556582,0.15014037562009702,0.23445205444030726,0.07001414771488997,0.006470426511515787,0.04832531371779315,0.03542340988674206,0.01021117588054147,0.149690374898768,0.18612529089310925,0.2092541339445005,0.13802447936599335,0.021783668840494323,0.07716416571966263,0.2077467104569305,1.0,-1.0,-3.0,-3.0,-4.0,1.0,-1.0,10.0
