REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,1V,2,2,14,40,5,8,2,0,23,2,3,3,14,20,2,3,3,3,15,0,19,2,21,1,10,0,96,72,-1,-1,1,23,12,33,4,2,8,13,51,68,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,1.0,-21.0,2.0,7.0,1.0,0.0,0.0,10.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,21M,1,46,23,62,9,16,2,1,18,3,3,0,3,5,27,0,1,61,2,52,0,13,0,10,0,1,178,72,-1,-1,1,48,23,61,8,3,14,20,100,78,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,0.0,-2.0,0.0,1.0,1.0,0.0,2.0,-2.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,22M,1,35,22,62,10,13,2,3,20,5,2,1,4,4,30,2,2,55,2,49,3,10,2,2,0,0,168,72,-1,-1,1,46,22,58,7,2,13,19,100,68,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,0.0,-11.0,0.0,4.0,3.0,3.0,0.0,1.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,23M,1,55,10,61,8,14,0,2,17,2,1,2,3,4,32,0,1,83,2,28,1,9,0,2,0,0,168,72,-1,-1,1,52,23,57,7,2,11,15,126,42,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,0.0,3.0,-13.0,4.0,1.0,0.0,3.0,2.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,24M,1,55,25,51,6,18,1,2,18,3,1,2,9,5,19,1,1,84,0,29,2,13,1,8,0,2,177,72,-1,-1,2,52,24,60,8,2,12,17,122,55,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,-1.0,3.0,1.0,-9.0,-2.0,1.0,6.0,1.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,25M,3,50,13,76,10,8,1,2,27,3,2,0,4,5,26,1,0,116,1,21,0,13,0,1,0,1,190,72,-1,-1,2,61,27,64,7,2,12,15,154,37,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,1.0,-11.0,-14.0,12.0,3.0,1.0,-4.0,12.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,26M,2,47,22,51,13,16,1,1,23,2,1,2,5,3,26,9,0,82,1,27,0,13,0,4,0,2,176,72,-1,-1,2,53,24,60,7,2,12,16,128,47,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,0.0,-6.0,-2.0,-9.0,6.0,0.0,4.0,7.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,27M,2,45,22,52,11,14,0,4,20,4,3,3,4,6,16,31,1,55,4,32,0,10,0,4,0,1,170,72,-1,-1,1,51,23,58,7,2,12,16,119,51,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,1.0,-6.0,-1.0,-6.0,4.0,2.0,2.0,4.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,28M,2,47,24,60,6,19,0,1,17,1,2,2,2,6,13,55,2,45,6,24,0,10,0,6,0,3,176,72,-1,-1,2,53,24,60,7,2,12,16,127,49,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,0.0,-6.0,0.0,0.0,-1.0,-1.0,7.0,1.0
DEL BIOBIO,NACIMIENTO,ESCUELA EL SABER,29M,2,53,42,49,5,22,0,0,16,0,2,4,4,4,9,71,5,47,0,25,2,10,0,6,0,0,189,72,-1,-1,2,59,27,64,7,2,12,16,146,43,0.008755287159600623,0.35961544555141567,0.1556120425526197,0.33222274104632366,0.034610326104073295,0.0076303089077796775,0.05111901331055114,0.05043483536763635,0.00822736923889762,0.15211692262763768,0.09383401536333674,0.3588833066625995,0.056186418389229185,0.022774762619392874,0.10983329148673937,0.19814391361216718,0.0,-6.0,15.0,-15.0,-2.0,-2.0,10.0,0.0
