REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,19,1,21,10,65,5,13,1,1,17,2,0,1,4,3,0,5,32,41,22,25,0,0,0,0,0,0,134,59,-1,-1,1,34,15,50,8,2,13,11,86,47,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,0.0,-13.0,-5.0,15.0,-3.0,0.0,0.0,6.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,20,2,30,12,35,10,9,0,0,9,0,0,0,9,8,11,15,14,19,18,13,0,0,0,0,0,0,107,59,-1,-1,1,29,12,40,6,1,10,8,76,31,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,1.0,1.0,0.0,-5.0,4.0,-1.0,-1.0,1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,21,1,35,13,46,4,14,0,0,5,0,0,0,0,4,34,40,16,15,6,2,0,1,0,0,0,0,118,59,-1,-1,1,37,15,42,6,1,10,6,109,9,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,0.0,-2.0,-2.0,4.0,-2.0,-1.0,4.0,-1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,22,0,37,15,43,8,5,0,1,7,1,1,2,2,4,21,25,20,41,0,1,0,0,0,0,0,0,116,59,-1,-1,1,39,15,41,6,0,9,5,116,1,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,-1.0,-2.0,0.0,2.0,2.0,1.0,-4.0,2.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,23,1,32,15,39,8,14,2,1,6,3,0,0,9,9,26,20,19,12,10,12,0,0,0,0,0,0,118,59,-1,-1,1,35,14,43,7,1,10,7,95,22,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,0.0,-3.0,1.0,-4.0,1.0,2.0,4.0,-1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,24,1,32,17,56,13,13,0,0,7,0,1,2,10,8,13,15,27,34,16,13,0,0,0,0,0,0,139,59,-1,-1,1,40,17,51,8,1,12,9,110,29,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,0.0,-8.0,0.0,5.0,5.0,-1.0,1.0,-2.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,25,1,22,14,55,7,7,1,0,9,1,0,2,1,0,9,12,23,37,16,10,0,0,3,3,0,0,116,59,-1,-1,1,32,13,43,7,1,11,8,84,32,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,0.0,-10.0,1.0,12.0,0.0,0.0,-4.0,1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,26,0,39,8,49,5,10,0,1,5,1,1,0,1,1,34,43,13,19,1,4,0,0,0,0,0,0,117,59,-1,-1,1,38,15,41,6,1,10,5,112,5,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,-1.0,1.0,-7.0,8.0,-1.0,0.0,0.0,0.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,27,1,40,16,43,6,10,0,1,6,1,0,0,8,14,16,17,27,29,4,4,0,2,0,0,1,0,123,59,-1,-1,1,39,16,44,6,1,10,6,111,11,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,28,0,25,14,35,6,11,1,0,3,1,3,4,14,11,23,20,3,2,3,12,0,0,0,0,0,0,95,59,-1,-1,1,29,12,34,5,1,8,5,80,15,0.011260289940185516,0.3359075221499064,0.13008857759857428,0.35047000154195457,0.04802740110405345,0.004746599750265893,0.0802827637795578,0.03921684413550214,0.008190944123851572,0.10881652039048283,0.07643223704467424,0.42193837775138243,0.08621009621782354,0.022875083144653852,0.12196954684302538,0.15356719448410613,-1.0,-4.0,2.0,1.0,1.0,0.0,3.0,-2.0
