REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,31V,3,44,43,35,9,18,2,4,19,6,3,4,4,7,2,51,1,1,53,1,37,1,10,0,3,0,177,115,-1,-1,2,33,36,41,14,3,16,32,73,105,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,1.0,11.0,7.0,-6.0,-5.0,3.0,2.0,-13.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,32V,2,34,42,36,15,14,0,0,32,0,1,2,7,10,2,48,0,1,45,0,44,0,11,0,4,0,175,115,-1,-1,2,33,35,40,14,3,16,32,71,104,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,0.0,1.0,7.0,-4.0,1.0,-3.0,-2.0,0.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,33V,3,35,38,35,11,8,0,4,31,4,1,2,7,14,3,51,2,1,34,1,37,0,9,0,3,0,165,115,-1,-1,2,33,34,38,13,2,15,28,81,84,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,1.0,2.0,4.0,-3.0,-2.0,2.0,-7.0,3.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,34V,3,49,39,33,12,15,1,0,23,1,1,1,8,58,2,17,2,1,31,2,35,0,15,0,2,0,175,115,-1,-1,2,36,37,40,14,2,15,29,90,85,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,1.0,13.0,2.0,-7.0,-2.0,-1.0,0.0,-6.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,35V,3,36,47,37,13,6,1,2,21,3,3,1,6,72,3,23,1,1,43,0,8,0,5,0,0,0,166,115,-1,-1,2,38,37,38,12,2,14,23,110,56,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,1.0,-2.0,10.0,-1.0,1.0,1.0,-8.0,-2.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,36V,6,39,40,38,13,13,1,0,25,1,3,2,3,64,4,5,20,1,49,1,13,1,7,0,2,0,175,115,-1,-1,2,38,38,40,13,2,15,27,102,73,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,4.0,1.0,2.0,-2.0,0.0,-1.0,-2.0,-2.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,37V,3,35,53,43,12,21,0,0,26,0,1,6,8,63,4,3,60,0,21,0,15,1,8,1,2,0,193,115,-1,-1,3,46,44,44,14,2,16,24,145,48,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,0.0,-11.0,9.0,-1.0,-2.0,-2.0,5.0,2.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,38V,5,51,41,47,10,16,0,2,23,2,2,1,8,79,1,3,41,0,37,4,10,2,5,2,1,0,195,115,-1,-1,3,45,44,44,14,2,16,27,135,61,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,2.0,6.0,-3.0,3.0,-4.0,0.0,0.0,-4.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,39V,1,47,35,53,13,10,1,3,16,4,2,1,3,60,6,5,53,0,32,2,11,1,3,0,0,0,179,115,-1,-1,3,42,41,40,13,2,15,23,130,49,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,-2.0,5.0,-6.0,13.0,0.0,2.0,-5.0,-7.0
DEL BIOBIO,PENCO,COLEGIO EL REFUGIO,40V,1,43,43,44,8,10,0,3,17,3,1,0,6,70,4,1,50,1,21,0,9,1,4,0,1,0,169,115,-1,-1,3,41,39,38,12,2,14,20,133,36,0.017338177850628883,0.2787659187511747,0.2499774845843572,0.22325444161956534,0.06222153259015098,0.009163559689478743,0.07615839848835287,0.08312048642629122,0.00976730550627025,0.12533794411698157,0.1666563292626414,0.23435123605533928,0.09492288518421767,0.018152682458732746,0.09793171096302211,0.25287990645279496,-2.0,2.0,4.0,6.0,-4.0,1.0,-4.0,-3.0
