REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,10V,3,7,29,78,7,7,1,4,27,5,1,1,7,9,6,6,59,3,27,13,15,7,7,2,0,0,163,27,-1,-1,2,14,25,82,6,4,10,20,92,71,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,1.0,-7.0,4.0,-4.0,1.0,1.0,-3.0,7.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,11V,6,13,33,77,5,10,1,1,20,2,1,0,6,9,23,13,61,8,25,4,11,1,4,0,0,0,166,27,-1,-1,3,16,28,79,6,3,10,21,121,45,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,3.0,-3.0,5.0,-2.0,-1.0,-1.0,0.0,-1.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,12V,1,13,29,75,1,5,3,4,14,7,2,0,13,16,38,5,32,0,19,1,10,0,5,1,3,0,145,27,-1,-1,3,14,25,68,5,3,9,18,106,39,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,-2.0,-1.0,4.0,7.0,-4.0,4.0,-4.0,-4.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,13V,4,16,25,68,6,6,1,0,17,1,0,1,18,17,28,5,24,2,20,3,9,2,11,0,2,0,143,27,-1,-1,2,13,24,69,5,3,9,18,95,47,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,2.0,3.0,1.0,-1.0,1.0,-2.0,-3.0,-1.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,14,2,18,21,39,3,4,1,0,9,1,0,1,62,17,10,0,1,2,0,0,0,3,0,0,0,0,97,27,-1,-1,2,11,19,42,4,1,6,12,93,3,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,0.0,7.0,2.0,-3.0,-1.0,0.0,-2.0,-3.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,15,3,18,18,42,6,6,0,2,10,2,2,2,30,39,4,5,6,5,5,4,1,1,1,0,0,0,105,27,-1,-1,2,11,20,47,4,2,6,13,93,12,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,1.0,7.0,-2.0,-5.0,2.0,0.0,0.0,-3.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,16,3,11,32,45,2,6,1,1,8,2,20,27,3,11,15,11,4,2,2,5,4,2,1,1,0,1,109,27,-1,-1,3,11,20,49,4,2,7,13,93,16,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,0.0,0.0,12.0,-4.0,-2.0,0.0,-1.0,-5.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,1V,1,6,22,85,5,10,4,3,13,7,1,0,8,12,5,6,0,2,17,7,39,8,27,3,14,0,149,27,-1,-1,1,10,17,83,5,5,9,19,34,115,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,0.0,-4.0,5.0,2.0,0.0,2.0,1.0,-6.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,2V,0,9,17,86,5,13,3,2,18,5,2,0,4,8,1,4,0,48,13,5,38,0,18,1,10,0,153,27,-1,-1,2,12,21,80,5,4,10,19,67,85,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,-2.0,-3.0,-4.0,6.0,0.0,1.0,3.0,-1.0
DEL BIOBIO,TIRUA,ESCUELA ELOISA GONZALEZ,3V,0,13,24,78,9,7,1,2,20,3,1,0,11,4,3,9,0,17,36,9,45,0,13,0,6,0,154,27,-1,-1,1,10,19,84,5,5,10,20,45,109,0.026124280447431432,0.11174492724869291,0.20260324755322054,0.4287229225335097,0.040943133403275545,0.011514711637794113,0.05735031742891228,0.1209964597471635,0.0012219060465855263,0.05002007696047693,0.08935578075640674,0.5937411657510385,0.030980836684328723,0.038234735807919626,0.06512128336517381,0.13132421462807017,-1.0,3.0,5.0,-6.0,4.0,-2.0,-3.0,0.0
