REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,10M,0,23,17,39,5,13,0,0,22,0,1,1,5,7,2,1,2,43,2,31,1,17,1,3,0,2,119,27,-1,-1,1,24,17,39,6,2,12,18,62,57,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-1.0,-1.0,0.0,0.0,-1.0,-2.0,1.0,4.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,11M,0,24,15,38,5,15,0,0,18,0,0,4,1,3,5,2,1,53,4,27,2,12,0,2,0,0,115,27,-1,-1,1,24,17,39,5,2,11,16,69,47,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-1.0,0.0,-2.0,-1.0,0.0,-2.0,4.0,2.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,12M,1,23,14,41,5,19,0,1,12,1,0,2,6,7,3,26,4,24,2,19,0,9,1,10,0,3,116,27,-1,-1,1,24,18,39,5,2,11,16,72,44,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,-1.0,-4.0,2.0,0.0,-1.0,8.0,-4.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,13M,1,25,16,46,7,14,2,3,21,5,0,2,3,4,1,43,1,30,2,18,1,16,1,9,2,2,135,27,-1,-1,1,28,21,46,6,2,13,18,84,51,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,-3.0,-5.0,0.0,1.0,3.0,1.0,3.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,14M-7V,2,38,33,48,13,18,2,1,32,3,2,8,5,11,5,30,2,22,23,14,35,16,7,4,2,1,187,27,-1,-1,2,37,26,60,9,3,19,31,85,102,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,1.0,7.0,-12.0,4.0,0.0,-1.0,1.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,1M,2,12,17,18,9,9,0,0,12,0,2,1,4,5,2,0,0,3,0,12,3,24,2,15,1,5,79,27,-1,-1,1,14,9,23,5,2,8,17,17,62,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,1.0,-2.0,8.0,-5.0,4.0,-2.0,1.0,-5.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,2M,2,12,7,28,3,14,1,2,26,3,0,3,0,3,1,0,5,5,8,14,5,30,3,14,0,4,95,27,-1,-1,1,17,11,27,6,2,10,21,17,78,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,1.0,-5.0,-4.0,1.0,-3.0,1.0,4.0,5.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,3M,0,23,12,46,9,14,3,1,18,4,1,2,2,6,2,5,16,5,1,30,2,27,2,18,0,6,126,27,-1,-1,2,24,16,38,7,2,13,24,39,86,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-2.0,-1.0,-4.0,8.0,2.0,2.0,1.0,-6.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,4M,0,31,15,29,1,11,2,1,14,3,6,1,2,3,20,2,2,1,1,23,0,23,0,12,0,8,104,27,-1,-1,1,20,13,32,6,2,11,19,37,67,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-1.0,11.0,2.0,-3.0,-5.0,1.0,0.0,-5.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,5M,1,23,8,46,4,13,2,0,17,2,4,2,2,2,30,2,1,4,0,26,0,21,1,14,0,5,114,27,-1,-1,1,22,15,36,6,2,12,20,47,67,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,1.0,-7.0,10.0,-2.0,0.0,1.0,-3.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,6M,2,27,19,32,6,11,1,0,17,1,2,0,4,4,21,1,1,1,1,32,0,29,0,14,0,5,115,27,-1,-1,1,22,14,35,7,2,12,22,34,81,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,1.0,5.0,5.0,-3.0,-1.0,-1.0,-1.0,-5.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,7M,2,27,10,33,6,6,1,0,10,1,2,1,30,4,2,2,0,0,0,17,0,23,0,11,0,4,95,27,-1,-1,1,19,13,30,5,1,10,16,41,55,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,1.0,8.0,-3.0,3.0,1.0,0.0,-4.0,-6.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,8M,0,21,13,25,10,9,0,1,25,1,4,1,10,3,4,4,4,3,3,31,2,18,5,9,0,3,104,27,-1,-1,1,20,13,31,6,2,11,20,33,71,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-1.0,1.0,0.0,-6.0,4.0,-1.0,-2.0,5.0
DEL BIOBIO,TUCAPEL (HUEPIL),ESCUELA LUIS MARTINEZ GONZALEZ,9M-15V,1,39,35,52,11,17,1,1,34,2,5,2,14,6,15,6,11,34,7,40,8,19,14,5,3,1,191,27,-1,-1,2,38,27,62,9,3,19,31,93,97,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-1.0,1.0,8.0,-10.0,2.0,-1.0,-2.0,3.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,10V,1,32,31,40,6,10,0,0,25,0,1,2,6,18,7,17,23,11,33,5,11,1,7,1,0,2,145,27,-1,-1,1,30,22,48,7,2,14,21,85,60,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,2.0,9.0,-8.0,-1.0,-2.0,-4.0,4.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,11V,2,21,6,32,7,9,1,1,8,2,2,3,5,7,2,2,40,1,15,0,5,1,0,1,2,1,87,27,-1,-1,1,19,14,30,4,1,8,10,62,25,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,1.0,2.0,-8.0,2.0,3.0,1.0,1.0,-2.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,12V,1,21,12,39,6,7,2,0,11,2,5,3,4,7,7,1,31,1,15,3,10,3,6,1,2,0,99,27,-1,-1,1,20,15,33,5,1,10,14,59,40,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,1.0,-3.0,6.0,1.0,1.0,-3.0,-3.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,13V,3,16,23,43,5,13,0,1,17,1,2,2,8,6,21,1,23,3,21,1,22,2,6,0,3,0,121,27,-1,-1,1,24,18,40,6,2,12,18,66,55,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,2.0,-8.0,5.0,3.0,-1.0,-1.0,1.0,-1.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,14V,0,31,33,59,3,13,1,0,19,1,3,2,6,16,46,4,34,4,16,2,12,2,10,1,2,0,159,27,-1,-1,1,34,26,56,6,2,15,19,115,45,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-1.0,-3.0,7.0,3.0,-3.0,-1.0,-2.0,0.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,1V,1,9,6,21,6,13,0,2,20,2,0,2,3,1,1,2,1,1,26,3,16,3,12,0,7,0,78,27,-1,-1,1,14,9,22,5,2,8,17,11,67,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,-5.0,-3.0,-1.0,1.0,0.0,5.0,3.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,2V,0,21,10,30,6,16,1,1,26,2,2,0,2,5,1,0,0,36,20,2,18,0,16,1,8,0,111,27,-1,-1,1,22,15,35,6,2,11,19,46,65,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,-1.0,-1.0,-5.0,-5.0,0.0,0.0,5.0,7.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,3V,1,22,13,48,4,8,5,1,29,6,1,1,3,2,2,22,1,16,24,3,29,2,14,1,10,0,131,27,-1,-1,1,25,17,41,7,2,14,24,48,83,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,-3.0,-4.0,7.0,-3.0,4.0,-6.0,5.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,4V,1,22,15,27,7,12,0,0,14,0,0,1,2,7,0,24,1,0,21,2,25,1,12,0,2,0,98,27,-1,-1,1,19,13,30,5,2,10,18,35,63,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,3.0,2.0,-3.0,2.0,-2.0,2.0,-4.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,5V,2,21,16,30,6,10,1,1,22,2,3,5,0,13,3,22,1,2,20,0,22,0,14,1,3,0,109,27,-1,-1,1,21,15,35,6,2,11,18,49,60,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,1.0,0.0,1.0,-5.0,0.0,0.0,-1.0,4.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,6V,1,22,12,35,4,9,1,1,14,2,2,4,3,29,0,0,0,2,23,1,12,0,16,0,7,0,99,27,-1,-1,1,19,13,31,5,2,10,18,40,59,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,3.0,-1.0,4.0,-1.0,0.0,-1.0,-4.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,8V,1,12,9,28,5,4,0,0,26,0,2,7,3,2,0,4,4,4,25,2,18,2,9,1,2,0,85,27,-1,-1,1,16,11,25,5,2,9,16,26,59,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,-4.0,-2.0,3.0,0.0,-2.0,-5.0,10.0
DEL BIOBIO,TUCAPEL (HUEPIL),LICEO DE HUEPIL,9V,1,12,12,31,0,5,2,1,6,3,3,1,7,6,1,2,4,0,20,0,9,0,13,1,2,1,70,27,-1,-1,1,13,9,22,4,1,7,13,24,46,0.003382066128421845,0.2339139904241023,0.18557292634168848,0.3856462556867281,0.03115969339533874,0.0047598557274006635,0.08662215406554333,0.06894305823077657,0.014416336272623453,0.1676839366463522,0.10043323506890915,0.2637377948411973,0.06821387648502523,0.025055783082308228,0.11301294130247236,0.2474460963011122,0.0,-1.0,3.0,9.0,-4.0,2.0,-2.0,-7.0
