REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,10V,3,22,27,43,5,18,2,2,16,4,0,0,11,10,7,41,0,2,28,0,16,1,13,0,9,1,138,47,-1,-1,1,21,23,52,7,3,13,18,71,68,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,2.0,1.0,4.0,-9.0,-2.0,1.0,5.0,-2.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,11V,0,24,29,51,5,9,2,2,11,4,0,3,6,58,1,3,3,2,22,0,21,2,7,1,4,0,133,47,-1,-1,2,21,22,50,7,2,12,17,76,57,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,-2.0,3.0,7.0,1.0,-2.0,2.0,-3.0,-6.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,12V,2,23,23,55,3,9,0,3,19,3,1,1,7,51,1,0,2,2,24,0,19,1,22,2,4,0,137,47,-1,-1,1,21,22,52,7,2,13,19,65,72,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,1.0,2.0,1.0,3.0,-4.0,1.0,-4.0,0.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,13V,2,19,21,33,9,7,1,0,16,1,0,0,8,27,2,2,2,5,24,1,13,5,14,2,3,0,108,47,-1,-1,1,16,17,41,6,2,10,15,46,62,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,1.0,3.0,4.0,-8.0,3.0,-1.0,-3.0,1.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,14V,0,25,24,49,5,11,0,1,15,1,2,1,19,18,6,10,2,6,23,5,20,3,13,1,1,0,130,47,-1,-1,1,20,21,49,7,2,12,18,64,66,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,-1.0,5.0,3.0,0.0,-2.0,-1.0,-1.0,-3.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,15V,1,17,26,48,7,13,0,1,15,1,2,8,10,18,3,1,22,1,34,4,14,2,7,1,1,0,128,47,-1,-1,1,20,21,48,7,2,12,17,65,63,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,0.0,-3.0,5.0,0.0,0.0,-1.0,1.0,-2.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,1V,1,11,16,23,1,10,2,2,20,4,2,4,4,10,1,2,2,2,13,0,20,4,14,3,3,2,86,47,-1,-1,1,12,13,33,4,2,8,13,27,59,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,0.0,-1.0,3.0,-10.0,-3.0,2.0,2.0,7.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,2V,2,17,13,33,4,12,1,0,16,1,0,1,10,6,1,4,0,4,10,3,22,4,23,2,7,0,98,47,-1,-1,1,13,15,37,5,2,9,16,26,71,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,1.0,4.0,-2.0,-4.0,-1.0,-1.0,3.0,0.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,3V,3,19,18,32,4,9,0,3,21,3,1,0,10,7,2,2,1,27,13,9,22,1,9,0,5,0,109,47,-1,-1,1,16,18,41,6,2,10,15,50,59,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,2.0,3.0,0.0,-9.0,-2.0,1.0,-1.0,6.0
DEL BIOBIO,YUMBEL,ESCUELA HEROES DE CHILE,4V,1,22,27,42,5,15,0,1,29,1,2,1,8,13,1,1,2,44,19,0,20,0,24,1,6,0,142,47,-1,-1,2,22,23,53,7,3,13,19,72,70,0.016106862656446043,0.20466248298082884,0.18241961573732984,0.3703371023820033,0.05179219580389026,0.017130770707915445,0.08157270334934727,0.07597826638223905,0.005184262059351132,0.10213674982071055,0.1455530353816273,0.38350052338480645,0.05068448404576403,0.019030553083758325,0.10157385361624943,0.19233653860773287,-1.0,0.0,4.0,-11.0,-2.0,-2.0,2.0,10.0
