REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,10M,2,24,25,35,21,19,2,1,17,3,0,0,8,4,0,2,19,3,0,40,1,35,0,30,1,3,146,90,-1,-1,1,20,23,38,12,4,21,27,36,110,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,1.0,4.0,2.0,-3.0,9.0,-1.0,-2.0,-10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,11M,1,20,21,40,13,24,1,2,18,3,1,1,4,4,1,1,26,1,1,43,0,39,1,13,0,5,140,90,-1,-1,1,20,22,36,11,4,20,26,39,102,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,0.0,0.0,-1.0,4.0,2.0,-1.0,4.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,12M,4,20,25,41,14,25,4,0,24,4,2,1,4,9,1,2,21,0,1,48,0,43,2,19,1,4,157,90,-1,-1,1,21,25,41,13,4,23,29,40,118,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,3.0,-1.0,0.0,0.0,1.0,0.0,2.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,13M,1,29,24,31,13,30,0,1,25,1,1,3,7,3,0,0,28,0,2,46,1,38,1,21,0,3,154,90,-1,-1,1,22,25,40,12,4,22,28,42,112,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,0.0,7.0,-1.0,-9.0,1.0,-3.0,8.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,14M,1,18,16,42,13,21,0,2,25,2,0,2,3,4,0,3,25,0,1,40,0,48,0,10,0,2,138,90,-1,-1,1,19,22,36,11,4,20,25,37,101,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,0.0,-1.0,-6.0,6.0,2.0,-2.0,1.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,15M,0,27,22,34,11,26,1,1,26,2,0,2,2,3,0,1,21,1,2,55,1,38,4,13,0,5,148,90,-1,-1,1,19,23,39,12,4,22,28,30,118,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,-1.0,8.0,-1.0,-5.0,-1.0,-2.0,4.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,16M,2,22,21,27,13,22,1,3,28,4,2,1,5,3,1,2,21,2,1,50,0,33,2,15,0,1,139,90,-1,-1,1,19,22,36,11,4,20,26,37,102,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,1.0,3.0,-1.0,-9.0,2.0,0.0,2.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,17M,0,28,28,36,7,23,3,1,22,4,2,2,9,6,0,0,17,1,2,53,0,33,1,16,0,6,148,90,-1,-1,1,20,23,38,12,4,22,28,37,111,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,-1.0,8.0,5.0,-2.0,-5.0,0.0,1.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,18M,1,23,26,44,15,17,2,1,21,3,2,1,4,4,0,1,27,2,1,56,4,31,0,12,1,4,150,90,-1,-1,1,21,24,39,12,4,22,27,41,109,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,0.0,2.0,2.0,5.0,3.0,-1.0,-5.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,COMPLEJO EDUCACIONAL CHIMBARONGO,19M,1,19,17,41,11,28,0,0,19,0,0,1,6,4,0,2,16,1,0,49,1,34,1,18,0,2,136,90,-1,-1,1,18,21,35,11,4,20,26,30,105,0.00882166726149427,0.23549732170848064,0.24088961343827212,0.2527141797795211,0.05974606353906131,0.00849039102402701,0.11262705293938505,0.08121371030975837,0.009310906432983322,0.10348513159084163,0.12957607513248345,0.26179907344727754,0.08725078317403055,0.03177174363803899,0.1565272819239596,0.2202790046603849,0.0,1.0,-4.0,6.0,0.0,-4.0,8.0,-7.0
