REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,10M,1,36,42,35,13,13,1,1,17,2,1,0,6,8,28,0,1,55,2,21,3,22,1,9,0,2,159,35,-1,-1,2,31,40,34,14,3,17,18,99,60,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,-1.0,5.0,2.0,1.0,-1.0,-1.0,-4.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,11M,2,26,47,39,21,21,1,0,21,1,3,3,6,6,24,24,1,44,0,30,1,18,2,12,0,4,178,35,-1,-1,2,35,45,38,16,3,19,20,111,67,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,0.0,-9.0,2.0,1.0,5.0,-2.0,2.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,12M,4,26,54,36,15,18,2,2,21,4,3,0,6,12,27,37,2,31,2,23,1,21,1,9,0,4,178,35,-1,-1,2,36,46,38,15,3,19,19,118,61,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,2.0,-10.0,8.0,-2.0,0.0,1.0,-1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,13M,1,42,48,29,14,25,1,1,17,2,2,5,13,12,15,48,0,27,4,22,3,15,0,10,0,2,178,35,-1,-1,2,36,47,37,15,3,19,19,122,56,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,-1.0,6.0,1.0,-8.0,-1.0,-1.0,6.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,14M,1,38,35,29,6,14,0,0,6,0,0,1,31,6,47,9,0,14,3,6,1,2,2,5,0,2,129,35,-1,-1,1,29,36,26,9,2,14,12,108,21,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,0.0,9.0,-1.0,3.0,-3.0,-2.0,0.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,16,2,41,41,24,9,12,1,0,14,1,2,0,87,23,5,5,2,4,2,4,3,3,1,2,1,0,144,35,-1,-1,2,33,41,29,9,2,15,13,128,16,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,0.0,8.0,0.0,-5.0,0.0,-1.0,-3.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,17,1,31,50,25,12,15,0,1,14,1,4,4,36,52,6,10,6,8,8,6,3,3,1,2,1,0,149,35,-1,-1,2,33,42,30,10,2,16,14,126,24,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,-1.0,-2.0,8.0,-5.0,2.0,-1.0,-1.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,18,4,27,42,47,13,10,0,1,10,1,4,2,8,25,11,9,21,11,14,13,16,11,6,2,0,1,154,35,-1,-1,2,30,39,33,14,3,16,17,91,63,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,2.0,-3.0,3.0,14.0,-1.0,-2.0,-6.0,-7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,19,2,31,50,32,14,12,2,2,11,4,16,20,9,11,17,27,10,13,5,9,7,7,2,2,0,1,156,35,-1,-1,2,34,43,32,11,2,17,15,123,33,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,0.0,-3.0,7.0,0.0,3.0,2.0,-5.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,COLEGIO JESUS ANDINO,1M,1,27,34,35,18,12,0,1,30,1,3,1,8,15,1,6,0,2,1,30,2,42,3,34,0,10,158,35,-1,-1,2,23,33,36,20,4,17,23,36,122,0.01132006816694986,0.24550281829075044,0.2988146882560325,0.19832668265083941,0.052449721433501344,0.007612080565121877,0.10717051363216981,0.07880342700463482,0.010019624727848049,0.11703401564064736,0.18259899437126165,0.23938311037336044,0.1482606238727959,0.03073478185580365,0.10650092001653991,0.16546792914174305,-1.0,4.0,1.0,-1.0,-2.0,-3.0,-5.0,7.0
