REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,10M,2,27,38,31,12,20,0,0,22,0,1,1,8,5,7,2,10,71,0,23,1,15,3,4,0,1,152,40,-1,-1,1,29,42,34,11,2,19,14,105,47,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,1.0,-2.0,-4.0,-3.0,1.0,-2.0,1.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,11M,0,25,51,54,14,29,0,2,18,2,0,3,6,8,20,11,5,84,2,25,2,21,0,3,0,5,193,40,-1,-1,2,37,53,43,14,2,25,17,137,58,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,-2.0,-12.0,-2.0,11.0,0.0,0.0,4.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,12M,1,26,37,44,12,25,0,2,13,2,1,2,6,5,12,27,4,36,3,35,0,16,0,11,0,2,160,40,-1,-1,2,26,42,37,13,2,21,17,93,67,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,-1.0,0.0,-5.0,7.0,-1.0,0.0,4.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,13M,2,31,39,46,20,15,1,1,22,2,2,1,10,7,4,55,5,41,2,25,4,14,0,6,0,1,177,40,-1,-1,2,34,48,40,13,2,22,16,125,52,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,0.0,-3.0,-9.0,6.0,7.0,0.0,-7.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,14M,2,28,38,42,11,23,1,0,10,1,2,2,6,9,33,35,4,21,5,19,5,7,0,5,0,3,155,40,-1,-1,2,30,43,35,11,2,19,13,112,44,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,0.0,-2.0,-5.0,7.0,0.0,-1.0,4.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,15,2,44,26,22,9,8,0,0,3,0,3,0,5,3,88,1,3,7,1,2,1,0,0,0,0,0,114,40,-1,-1,1,28,34,23,7,1,13,7,110,4,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,1.0,16.0,-8.0,-1.0,2.0,-1.0,-5.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,16,0,41,27,21,7,10,1,0,3,1,0,1,10,7,79,3,4,5,2,0,0,0,0,0,0,0,110,40,-1,-1,1,28,33,22,6,1,13,6,109,2,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,-1.0,13.0,-6.0,-1.0,1.0,0.0,-3.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,17,1,59,31,27,6,16,1,1,4,2,2,1,6,3,66,52,5,5,4,0,1,0,1,0,0,0,146,40,-1,-1,2,36,44,29,9,1,17,8,140,6,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,-1.0,23.0,-13.0,-2.0,-3.0,1.0,-1.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,18,2,43,36,19,10,11,0,0,8,0,2,1,30,35,19,25,5,3,2,0,1,3,0,2,0,0,129,40,-1,-1,1,31,39,26,8,1,15,8,120,8,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,1.0,12.0,-3.0,-7.0,2.0,-1.0,-4.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DONIHUE,ESCUELA LAURA MATUS MELENDEZ,19,0,41,55,20,10,13,0,0,9,0,4,2,53,68,4,4,3,3,1,2,2,1,0,1,0,1,148,40,-1,-1,2,36,44,30,9,1,17,9,141,8,0.011300360728176497,0.2544648242189931,0.30414492829747913,0.19913678669297116,0.05716851700543153,0.008078894541716342,0.11296391421485637,0.05274177430037574,0.007630135913721738,0.04276071647326603,0.2045558329389908,0.2839177123159531,0.11125660308993635,0.018604690199522055,0.15673246976246386,0.17454183930614614,-2.0,5.0,11.0,-10.0,1.0,-1.0,-4.0,0.0
