REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,28V,2,38,42,49,21,23,1,0,22,1,0,1,6,39,12,6,70,3,29,5,17,0,7,1,2,0,198,80,-1,-1,2,37,58,41,18,3,20,19,137,61,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,0.0,1.0,-16.0,8.0,3.0,-2.0,3.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,29V,1,31,69,39,15,18,0,3,20,3,4,3,8,46,29,7,42,0,22,2,17,1,11,2,2,0,196,80,-1,-1,2,38,58,40,18,3,19,18,139,57,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,-1.0,-7.0,11.0,-1.0,-3.0,0.0,-1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,30V,5,30,54,48,13,25,0,1,24,1,2,3,6,29,45,5,43,1,34,2,21,0,8,1,0,0,200,80,-1,-1,2,37,58,42,19,3,20,19,134,66,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,3.0,-7.0,-4.0,6.0,-6.0,-2.0,5.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,31V,3,40,51,41,18,11,0,3,27,3,2,2,11,18,54,3,41,3,19,4,21,2,14,0,0,0,194,80,-1,-1,2,37,57,40,18,3,19,18,134,60,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,1.0,3.0,-6.0,1.0,0.0,0.0,-8.0,9.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,32V,3,33,56,48,15,26,0,2,21,2,4,2,11,16,91,3,26,2,24,0,16,1,6,0,2,0,204,80,-1,-1,3,41,61,41,18,3,20,17,155,49,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,0.0,-8.0,-5.0,7.0,-3.0,-1.0,6.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,33V,2,32,65,27,13,16,1,3,13,4,3,0,9,85,14,4,16,0,22,2,8,3,5,1,0,0,172,80,-1,-1,2,34,51,35,16,2,17,15,131,41,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,0.0,-2.0,14.0,-8.0,-3.0,2.0,-1.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,34,2,38,40,28,10,5,0,3,5,3,0,2,4,5,113,1,1,2,0,1,1,0,1,0,0,0,131,80,-1,-1,2,31,42,25,11,1,11,8,128,3,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,0.0,7.0,-2.0,3.0,-1.0,2.0,-6.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,35,1,46,40,22,7,11,0,0,6,0,1,2,13,3,105,1,1,1,2,2,0,1,0,0,0,1,133,80,-1,-1,2,31,43,26,11,1,11,8,127,6,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,-1.0,15.0,-3.0,-4.0,-4.0,-1.0,0.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,36,1,52,41,20,12,7,0,4,4,4,2,4,77,6,43,3,2,2,2,0,0,0,0,0,0,0,141,80,-1,-1,2,33,46,27,11,2,12,8,139,2,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,-1.0,19.0,-5.0,-7.0,1.0,2.0,-5.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,37,4,48,48,24,8,7,0,1,5,1,1,2,127,5,5,0,2,1,0,1,0,1,0,0,0,0,145,80,-1,-1,2,34,47,28,12,2,12,8,143,2,0.013462048845406683,0.23678691154640163,0.3264778119294624,0.19228470970116796,0.0811463988750731,0.01077390842235721,0.08219052367252075,0.056877687007610256,0.0087152815229393,0.0805851811858508,0.2133012322890946,0.23714322379224823,0.12001069361268044,0.024288732546273957,0.14018244835872318,0.17577320669218965,2.0,14.0,1.0,-4.0,-4.0,-1.0,-5.0,-3.0
