REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,1M,0,6,19,32,8,26,4,1,24,5,2,2,8,4,1,2,11,2,9,21,4,25,3,18,1,6,120,22,-1,-1,1,7,21,34,7,3,20,27,32,87,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,-1.0,-1.0,-2.0,-2.0,1.0,2.0,6.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,2M,0,8,18,41,11,28,1,0,26,1,1,2,2,2,27,5,7,1,0,29,0,31,1,23,0,2,133,22,-1,-1,2,8,25,38,8,3,21,28,47,86,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,-2.0,0.0,-7.0,3.0,3.0,-2.0,7.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,3M,2,8,24,37,10,21,1,1,36,2,0,0,1,1,39,3,5,1,2,36,1,22,4,20,0,5,140,22,-1,-1,2,8,26,40,9,3,22,30,50,90,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,0.0,0.0,-2.0,-3.0,1.0,-1.0,-1.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,4M,2,10,24,38,8,20,0,3,33,3,0,0,40,1,6,2,3,2,2,32,1,31,2,9,1,6,138,22,-1,-1,1,9,26,40,9,3,21,29,54,84,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,1.0,1.0,-2.0,-2.0,-1.0,0.0,-1.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,5M,2,3,28,54,7,23,0,1,49,1,2,0,4,1,6,5,8,53,6,47,7,16,5,6,0,1,167,22,-1,-1,2,11,34,49,10,3,25,33,79,88,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,0.0,-8.0,-6.0,5.0,-3.0,-2.0,-2.0,16.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,6M,0,7,34,52,11,26,0,1,37,1,0,0,4,5,5,4,9,69,5,25,7,22,3,8,0,2,168,22,-1,-1,1,11,37,50,11,3,24,31,96,72,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,-1.0,-4.0,-3.0,2.0,0.0,-2.0,2.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,7M,1,10,35,41,11,21,1,1,35,2,1,0,7,4,7,35,4,37,0,23,6,24,0,6,0,2,156,22,-1,-1,1,11,35,47,10,2,22,28,95,61,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,0.0,-1.0,0.0,-6.0,1.0,0.0,-1.0,7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,8M,1,8,45,60,12,27,1,0,33,1,2,0,9,14,7,48,2,38,4,23,4,16,4,10,0,5,187,22,-1,-1,1,13,43,56,12,3,26,33,120,66,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,0.0,-5.0,2.0,4.0,0.0,-2.0,1.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE,9M,1,10,20,40,11,37,0,0,23,0,3,1,5,20,1,51,1,23,3,14,1,11,3,5,0,0,142,22,-1,-1,1,10,35,43,9,2,19,23,105,37,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,0.0,0.0,-15.0,-3.0,2.0,-2.0,18.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,LICEO EL ROSARIO DE LITUECHE ANEXO,10V,3,10,43,40,4,13,3,1,17,4,0,0,5,8,36,2,23,5,24,8,8,3,10,1,0,1,134,22,-1,-1,1,9,30,40,8,2,19,25,79,55,0.0036883778192855882,0.07766759945172479,0.2880357857896273,0.31800216335915543,0.06196267550859079,0.004287014155374511,0.11394286129015406,0.13241352262608755,0.016090995183920466,0.052380686284806854,0.1311085547820645,0.26816528216045316,0.06367146100268765,0.030355911254480946,0.1823420248987508,0.2558850844328357,2.0,1.0,13.0,0.0,-4.0,2.0,-6.0,-8.0
