REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,10V-11,3,36,51,47,12,15,1,2,16,3,8,14,11,24,30,15,19,12,21,4,10,6,5,1,1,1,183,19,-1,-1,2,36,49,40,20,1,18,17,133,49,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,1.0,0.0,2.0,7.0,-8.0,2.0,-3.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,1V,1,22,27,30,15,7,2,2,23,4,7,5,11,6,4,8,1,3,29,1,25,3,17,1,8,0,129,19,-1,-1,2,23,32,25,12,2,14,19,45,84,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,-1.0,-1.0,-5.0,5.0,3.0,2.0,-7.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,2V,1,24,36,27,9,12,2,0,24,2,2,2,3,9,2,7,4,3,32,1,41,3,20,1,5,0,135,19,-1,-1,2,23,33,25,12,3,15,22,32,103,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,-1.0,1.0,3.0,2.0,-3.0,-1.0,-3.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,3V,3,24,35,33,14,11,0,4,22,4,3,7,5,4,6,1,2,7,50,1,38,1,17,1,2,1,146,19,-1,-1,2,25,36,27,13,3,16,24,35,111,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,1.0,-1.0,-1.0,6.0,1.0,1.0,-5.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,4V,3,17,35,24,12,11,5,0,21,5,3,4,8,5,3,5,2,2,39,3,27,1,19,1,6,0,128,19,-1,-1,2,21,32,24,12,2,14,21,32,96,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,1.0,-4.0,3.0,0.0,0.0,3.0,-3.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,5V,3,23,31,18,9,11,0,0,21,0,4,1,5,13,4,6,2,4,28,6,28,2,10,1,2,0,116,19,-1,-1,2,20,29,22,11,2,12,18,39,77,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,1.0,3.0,2.0,-4.0,-2.0,-2.0,-1.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,6V,2,27,41,22,11,13,1,3,22,4,1,6,10,19,9,9,23,5,35,2,11,4,6,1,1,0,142,19,-1,-1,1,27,37,29,15,2,14,17,82,60,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,1.0,0.0,4.0,-7.0,-4.0,2.0,-1.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,7V,2,24,34,28,14,10,1,0,18,1,1,2,6,11,5,3,51,3,23,2,14,2,6,0,1,1,131,19,-1,-1,1,25,34,28,14,1,13,15,82,49,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,1.0,-1.0,0.0,0.0,0.0,0.0,-3.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,8V,1,21,37,27,11,16,0,2,17,2,3,3,5,6,6,4,37,2,24,1,21,3,14,1,2,0,132,19,-1,-1,1,24,34,27,13,2,14,17,66,66,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,0.0,-3.0,3.0,0.0,-2.0,0.0,2.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LO MIRANDA,COLEGIO REPUBLICA DE CHILE,9V,3,31,29,42,12,13,0,0,23,0,2,1,3,4,36,4,26,4,36,4,14,2,15,0,2,0,153,19,-1,-1,2,28,40,31,15,2,16,19,80,73,0.006629581935784251,0.21226125578880484,0.27713364767517595,0.23389396254454703,0.11796383235131443,0.0030401399351875527,0.0901980913957262,0.05887948837345982,0.01674263668875972,0.15485420039066491,0.238542226111783,0.17052324544600408,0.08382623430819014,0.02289268451392475,0.11532173583896746,0.19729703670170604,1.0,3.0,-11.0,11.0,-3.0,-2.0,-3.0,4.0
