REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,10V,0,17,43,45,4,17,2,1,25,3,1,3,11,14,47,3,24,1,17,2,11,3,11,1,3,1,154,21,-1,-1,1,12,33,44,6,3,27,28,104,49,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,5.0,10.0,1.0,-2.0,0.0,-10.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,11V,1,7,31,46,4,21,3,0,29,3,4,1,12,9,35,3,25,5,16,2,13,3,7,2,5,0,142,21,-1,-1,1,11,30,40,6,3,25,26,94,48,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-4.0,1.0,6.0,-2.0,0.0,-4.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,1V,1,5,23,32,6,19,1,2,31,3,2,2,3,9,1,3,3,14,21,11,24,2,12,1,12,0,120,21,-1,-1,1,8,19,30,5,2,25,30,37,83,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-3.0,4.0,2.0,1.0,1.0,-6.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,2V,0,9,14,31,6,15,3,1,39,4,2,2,1,5,0,16,4,12,32,5,13,1,16,1,7,1,118,21,-1,-1,1,8,19,30,5,2,24,29,42,76,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,1.0,-5.0,1.0,1.0,2.0,-9.0,10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,3V,2,13,21,43,5,28,2,1,37,3,3,1,2,4,2,56,3,2,20,2,29,0,24,0,3,1,152,21,-1,-1,1,11,28,40,6,3,29,34,73,79,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,1.0,2.0,-7.0,3.0,-1.0,0.0,-1.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,4V,0,13,31,33,9,35,0,0,31,0,0,3,4,36,4,21,3,3,29,1,25,1,14,0,7,0,152,21,-1,-1,1,11,28,41,6,3,29,33,74,77,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,2.0,3.0,-8.0,3.0,-3.0,6.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,5V,0,21,18,32,5,22,5,0,29,5,5,1,18,19,11,9,4,0,26,3,23,1,12,0,1,0,132,21,-1,-1,1,10,25,35,5,2,25,29,67,66,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,11.0,-7.0,-3.0,0.0,3.0,-3.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,6V,2,8,18,24,5,25,0,0,30,0,1,0,11,15,1,3,1,5,27,3,20,2,18,0,5,0,112,21,-1,-1,1,8,18,28,4,2,23,28,37,75,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,1.0,0.0,0.0,-4.0,1.0,-2.0,2.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,7V,1,10,35,47,6,34,4,0,22,4,2,4,22,31,4,6,22,5,36,1,8,6,10,1,0,0,159,21,-1,-1,1,13,33,44,6,3,28,31,96,62,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-3.0,2.0,3.0,0.0,1.0,6.0,-9.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,8V,1,10,35,43,10,33,1,2,30,3,3,5,17,20,3,4,61,4,21,0,13,1,7,3,2,1,165,21,-1,-1,1,13,36,48,7,3,28,29,117,48,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-3.0,-1.0,-5.0,3.0,0.0,5.0,1.0
