REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,10V,1,20,39,35,12,17,2,2,28,4,2,4,9,6,1,35,2,2,31,2,36,1,24,0,2,0,156,58,-1,-1,2,23,39,37,15,3,17,20,61,96,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,-1.0,-3.0,0.0,-2.0,-3.0,1.0,0.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,11V,0,19,42,34,15,20,0,2,27,2,1,2,6,8,3,17,2,8,29,1,54,3,20,0,6,0,159,58,-1,-1,2,21,38,38,16,3,18,23,47,113,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,-2.0,-2.0,4.0,-4.0,-1.0,-1.0,2.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,12V,4,20,38,40,14,12,1,2,19,3,3,4,7,12,2,30,2,4,34,0,27,2,17,0,5,0,150,58,-1,-1,2,23,38,35,14,3,16,19,64,85,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,2.0,-3.0,0.0,5.0,0.0,0.0,-4.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,13V,2,25,36,39,17,20,1,0,9,1,3,3,9,5,0,46,3,4,29,3,23,1,12,0,8,0,149,58,-1,-1,2,24,40,34,13,3,16,17,73,76,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,0.0,1.0,-4.0,5.0,4.0,-2.0,4.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,14V,2,26,35,33,13,14,2,1,15,3,1,0,6,6,3,42,4,3,38,1,18,1,13,2,3,0,141,58,-1,-1,2,22,37,33,13,2,15,17,65,76,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,0.0,4.0,-2.0,0.0,0.0,1.0,-1.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,15V,2,30,41,32,10,12,0,4,33,4,2,0,6,8,1,46,25,2,50,0,18,2,2,0,3,0,164,58,-1,-1,2,28,45,37,14,3,17,18,90,75,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,0.0,2.0,-4.0,-5.0,-4.0,1.0,-5.0,15.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,16V,1,31,35,32,16,18,1,1,16,2,3,3,1,2,2,35,43,3,37,1,11,0,6,0,3,1,151,58,-1,-1,2,27,42,34,13,2,15,16,92,59,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,-1.0,4.0,-7.0,-2.0,3.0,0.0,3.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,17V,3,24,37,33,13,19,0,3,16,3,1,0,5,3,1,34,42,2,37,2,15,1,3,0,2,0,148,58,-1,-1,2,26,41,33,13,2,15,16,88,60,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,1.0,-2.0,-4.0,0.0,0.0,1.0,4.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,18V,1,33,38,36,17,10,0,2,15,2,0,2,2,7,3,33,61,1,19,1,14,2,6,1,0,0,152,58,-1,-1,2,29,45,33,12,2,15,14,109,43,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,-1.0,4.0,-7.0,3.0,5.0,0.0,-5.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,19V,4,28,44,43,11,9,1,0,14,1,2,2,5,2,9,42,60,0,11,0,9,1,4,1,5,0,154,58,-1,-1,2,32,47,33,12,2,14,12,122,31,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,2.0,-4.0,-3.0,10.0,-1.0,-1.0,-5.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,20V,5,37,40,54,16,12,0,1,18,1,0,2,7,13,10,40,57,4,21,0,20,0,7,1,1,0,183,58,-1,-1,3,35,54,40,15,2,18,16,133,50,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,2.0,2.0,-14.0,14.0,1.0,-1.0,-6.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,21V,2,29,46,45,18,14,1,1,23,2,1,5,2,15,24,36,29,1,23,3,20,3,9,2,6,0,179,58,-1,-1,2,32,51,40,15,3,18,18,113,66,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,0.0,-3.0,-5.0,5.0,3.0,-1.0,-4.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,COLEGIO ANDRES BELLO,22V,5,24,50,53,9,25,1,1,13,2,2,1,7,16,48,15,31,5,24,2,17,2,9,0,2,0,181,58,-1,-1,2,34,53,40,15,2,18,17,125,56,0.015996389007819314,0.23181314467326444,0.32993156308464094,0.20598137191320828,0.07050336477618221,0.007036449743152345,0.0838031646538868,0.05493455214784579,0.010499855942621518,0.09159741187791494,0.20325431946386258,0.2545747204496931,0.10809035859362462,0.026525951885870456,0.12792446309743996,0.17753291868897275,3.0,-10.0,-3.0,13.0,-6.0,0.0,7.0,-4.0
