REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,10V,6,11,52,47,7,26,1,1,27,2,2,2,12,8,36,11,21,8,13,5,19,7,24,4,6,0,178,21,-1,-1,3,12,44,46,11,3,30,29,100,78,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,3.0,-1.0,8.0,1.0,-4.0,-1.0,-4.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,11V,3,18,38,54,12,42,1,0,27,1,3,5,9,18,22,26,31,13,14,4,14,10,16,6,4,0,195,21,-1,-1,4,14,48,56,12,2,33,26,127,68,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,-1.0,4.0,-10.0,-2.0,0.0,-1.0,9.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,12,0,15,40,49,10,44,0,0,32,0,1,3,11,13,20,30,15,20,10,13,13,19,9,11,3,0,190,21,-1,-1,3,13,47,51,12,3,32,29,113,78,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,-3.0,2.0,-7.0,-2.0,-2.0,-3.0,12.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,1V,1,9,27,18,8,14,2,1,26,3,0,2,6,8,2,5,4,10,15,5,20,1,16,2,10,0,106,21,-1,-1,2,6,26,21,8,2,17,24,37,69,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,-1.0,3.0,1.0,-3.0,0.0,1.0,-3.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,2V,1,5,28,33,8,14,0,2,38,2,0,0,7,3,1,33,7,10,19,2,20,3,17,0,7,0,129,21,-1,-1,2,8,32,30,9,2,21,25,61,68,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,-1.0,-3.0,-4.0,3.0,-1.0,0.0,-7.0,13.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,3V,2,9,31,25,15,14,2,1,35,3,0,0,3,19,2,32,3,0,28,1,27,7,6,2,4,0,134,21,-1,-1,2,8,33,30,9,3,22,27,59,75,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,0.0,1.0,-2.0,-5.0,6.0,0.0,-8.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,4V,2,6,38,24,10,21,1,1,48,2,1,1,3,23,1,3,3,5,33,8,34,6,20,4,6,0,151,21,-1,-1,2,8,37,27,11,4,23,39,40,111,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,0.0,-2.0,1.0,-3.0,-1.0,-2.0,-2.0,9.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,5V,3,7,37,30,4,24,2,1,35,3,1,1,11,9,6,12,9,5,33,6,21,3,18,2,3,2,143,21,-1,-1,2,8,36,30,10,3,23,31,54,88,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,1.0,-1.0,1.0,0.0,-6.0,0.0,1.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,6V,6,10,53,28,3,26,2,1,30,3,2,2,6,19,14,16,10,7,25,5,25,3,20,0,5,0,159,21,-1,-1,3,10,39,38,10,3,26,30,76,83,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,3.0,0.0,14.0,-10.0,-7.0,0.0,0.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,7V,4,14,46,45,7,34,2,0,20,2,1,1,7,20,16,16,28,8,19,13,17,10,7,4,4,1,172,21,-1,-1,3,11,43,45,11,2,29,28,97,75,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,1.0,3.0,3.0,0.0,-4.0,0.0,5.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,8V,6,14,45,58,12,24,1,1,28,2,1,4,13,13,16,29,36,11,7,4,17,12,17,2,7,0,189,21,-1,-1,4,14,47,54,11,2,32,25,123,66,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,2.0,0.0,-2.0,4.0,1.0,0.0,-8.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,COLEGIO MUNICIPAL DIVINA GABRIELA,9V,5,13,44,43,9,22,0,3,26,3,0,5,7,12,14,9,24,9,16,2,18,15,22,5,5,1,165,21,-1,-1,3,10,41,39,11,3,27,31,80,84,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,2.0,3.0,3.0,4.0,-2.0,0.0,-5.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,LICEO MUNICIPAL PABLO NERUDA,1M,0,11,31,33,7,19,1,1,28,2,0,1,3,7,3,6,10,8,6,32,4,20,3,21,0,7,131,21,-1,-1,2,7,32,24,10,3,20,33,38,93,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,-2.0,4.0,-1.0,9.0,-3.0,-1.0,-1.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,LICEO MUNICIPAL PABLO NERUDA,2M,4,4,16,20,12,24,2,0,28,2,1,0,1,0,6,4,17,2,6,19,4,24,2,16,2,6,110,21,-1,-1,2,6,27,20,8,2,17,28,31,79,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,2.0,-2.0,-11.0,0.0,4.0,0.0,7.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,LICEO MUNICIPAL PABLO NERUDA,3M,2,6,31,21,11,23,1,1,25,2,1,0,0,5,18,4,4,1,1,27,7,25,1,21,1,5,121,21,-1,-1,2,6,30,22,9,3,18,31,33,88,0.021702757761764026,0.08827472802248877,0.24903354809101066,0.3823511816696415,0.04785589018429365,0.00031613801839838605,0.18872927545980958,0.02173648079259339,0.01154696766234005,0.0403038646866084,0.24834068345694987,0.10368980243847646,0.08373441803836415,0.03178562882921784,0.13890355019473039,0.3416950846933128,0.0,0.0,1.0,-1.0,2.0,-1.0,5.0,-6.0
