REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,1M,1,18,25,50,12,13,1,1,32,2,5,1,3,4,2,3,1,28,1,34,0,45,0,18,0,8,153,11,-1,-1,1,18,26,48,12,3,16,29,47,106,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,0.0,0.0,-1.0,2.0,0.0,-1.0,-3.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,1V,2,17,29,49,7,14,1,1,25,2,3,0,7,4,1,7,28,1,24,2,31,1,29,2,4,1,145,11,-1,-1,1,19,25,44,12,2,15,27,51,94,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,1.0,-2.0,4.0,5.0,-5.0,0.0,-1.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,2M,0,35,27,43,21,20,1,1,26,2,2,3,7,20,4,12,1,17,3,44,4,36,2,18,0,1,174,11,-1,-1,1,23,30,52,14,3,19,32,66,108,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,-1.0,12.0,-3.0,-9.0,7.0,-1.0,1.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,2V,1,8,28,36,12,15,1,2,25,3,0,2,3,5,4,1,18,1,31,1,32,3,20,0,7,0,128,11,-1,-1,1,15,22,41,9,2,13,25,34,94,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,0.0,-7.0,6.0,-5.0,3.0,1.0,2.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,3M,1,16,26,48,8,16,1,1,30,2,0,0,1,5,2,2,0,39,1,40,1,30,0,20,0,6,147,11,-1,-1,1,18,26,45,11,3,15,28,49,98,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,0.0,-2.0,0.0,3.0,-3.0,-1.0,1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,3V,1,22,16,38,7,12,3,0,23,3,0,3,4,7,3,5,23,0,44,3,12,0,12,0,5,1,122,11,-1,-1,1,16,21,37,10,2,13,22,45,77,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,0.0,6.0,-5.0,1.0,-3.0,1.0,-1.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,4M,1,17,27,36,13,20,1,3,20,4,2,0,5,7,3,13,2,39,1,32,0,20,1,9,0,4,138,11,-1,-1,1,21,25,37,12,2,16,24,71,67,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,0.0,-4.0,2.0,-1.0,1.0,2.0,4.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,4V,1,12,22,43,13,10,0,1,24,1,3,1,2,6,8,3,34,0,29,2,17,3,13,0,4,2,126,11,-1,-1,1,18,22,36,11,2,14,22,57,70,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,0.0,-6.0,0.0,7.0,2.0,-1.0,-4.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,5M,1,21,17,36,14,29,0,0,31,0,0,1,4,3,4,55,1,23,1,25,1,22,0,7,0,2,149,11,-1,-1,1,25,27,38,14,1,18,25,91,58,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,0.0,-4.0,-10.0,-2.0,0.0,-1.0,11.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PELEQUEN,ESCUELA MUNICIPAL DE PELEQUEN,5V,2,26,24,35,8,12,0,2,25,2,0,1,4,1,33,2,26,2,26,3,20,1,11,0,4,0,134,11,-1,-1,1,20,24,36,12,2,16,23,69,65,0.0026642408016716666,0.2227058358181807,0.1912339080158756,0.17294119679519018,0.12005105040431552,0.0006246448595988521,0.14996270078456608,0.13981642252060147,0.010476714584056995,0.07593025489048497,0.16453782659650212,0.37525364924596905,0.056579458555786,0.024759380936425497,0.08057439641136656,0.21188831877940878,1.0,6.0,0.0,-1.0,-4.0,0.0,-4.0,2.0
