REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,10V,2,23,43,39,13,17,3,4,17,7,1,0,8,59,3,4,2,0,59,1,12,1,9,1,1,0,161,37,-1,-1,2,21,39,39,12,4,22,22,77,84,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,0.0,2.0,4.0,0.0,1.0,3.0,-5.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,11V,3,15,47,51,18,19,0,0,15,0,1,0,7,47,0,3,45,0,32,1,17,2,11,1,1,0,168,37,-1,-1,2,25,43,41,11,3,22,21,103,65,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,1.0,-10.0,4.0,10.0,7.0,-3.0,-3.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,12V,2,19,41,43,14,22,3,1,29,4,0,2,5,9,11,7,71,8,22,2,17,5,11,3,0,1,174,37,-1,-1,2,26,45,43,12,3,22,21,113,61,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,0.0,-7.0,-4.0,0.0,2.0,1.0,0.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,13V,4,19,54,40,7,19,1,0,22,1,1,1,24,33,3,1,62,1,16,3,13,1,6,0,0,1,166,37,-1,-1,2,28,45,41,10,2,20,18,126,40,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,2.0,-9.0,9.0,-1.0,-3.0,-1.0,-1.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,14V,1,23,40,52,10,21,1,2,15,3,1,1,18,20,13,3,56,2,24,2,13,1,6,1,4,0,165,37,-1,-1,2,26,43,41,11,2,21,19,114,51,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,-1.0,-3.0,-3.0,11.0,-1.0,1.0,0.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,15V,4,21,42,56,16,15,0,3,15,3,0,3,19,17,41,4,31,2,21,3,21,1,6,0,3,0,172,37,-1,-1,2,27,45,42,11,3,22,20,117,55,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,2.0,-6.0,-3.0,14.0,5.0,0.0,-7.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,16V,0,38,44,39,8,20,1,2,21,3,1,2,16,17,60,1,25,3,18,1,17,1,6,2,2,1,173,37,-1,-1,2,28,46,43,11,2,22,19,125,48,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,-2.0,10.0,-2.0,-4.0,-3.0,1.0,-2.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,17V,3,33,40,43,8,24,2,0,16,2,0,1,22,20,65,3,14,6,14,2,11,1,7,2,1,0,169,37,-1,-1,2,28,46,42,10,2,21,18,131,38,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,1.0,5.0,-6.0,1.0,-2.0,0.0,3.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,18,1,35,47,23,5,10,1,2,4,3,2,1,76,36,3,2,2,0,1,1,1,0,2,1,0,0,128,37,-1,-1,1,25,37,32,7,1,14,11,122,6,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,0.0,10.0,10.0,-9.0,-2.0,2.0,-4.0,-7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,ESCUELA BASICA REPUBLICA DE ITALIA,19,0,30,56,35,6,17,0,0,7,0,29,34,11,11,15,16,4,9,8,4,1,4,1,3,0,1,151,37,-1,-1,2,27,42,37,9,1,18,15,129,22,0.011244722503105955,0.19850117570643702,0.29015692987581787,0.2478044236944968,0.053280019096063315,0.005043848341598748,0.11134834143547485,0.08262053934700532,0.013335658967749959,0.0672590795586277,0.20080656905100594,0.2410046016531887,0.0919549552369148,0.0375542594133732,0.1580354909735297,0.1900493851456101,-2.0,3.0,14.0,-2.0,-3.0,-1.0,-1.0,-8.0
