REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,23,1,29,32,28,16,13,0,0,9,0,0,3,5,6,3,4,94,1,2,3,0,4,1,2,0,0,128,132,-1,-1,2,31,36,26,10,1,14,8,116,12,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,-1.0,-2.0,-4.0,2.0,6.0,-1.0,-1.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,24,2,31,31,28,15,7,0,0,10,0,1,2,1,5,0,1,81,28,2,1,1,0,0,1,0,0,124,132,-1,-1,2,32,35,24,10,1,13,7,119,5,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,0.0,-1.0,-4.0,4.0,5.0,-1.0,-6.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,25,1,37,31,35,15,11,0,2,4,2,2,3,9,4,4,2,46,56,1,1,0,4,2,1,1,0,136,132,-1,-1,2,34,38,27,11,1,15,8,126,10,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,-1.0,3.0,-7.0,8.0,4.0,1.0,-4.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,26,1,32,27,28,19,20,0,1,14,1,1,0,2,3,1,1,63,61,3,1,1,2,1,1,0,1,142,132,-1,-1,2,35,40,29,11,1,16,8,132,10,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,-1.0,-3.0,-13.0,-1.0,8.0,0.0,4.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,27,0,40,35,30,8,11,0,1,10,1,1,1,2,6,1,1,51,64,1,2,0,1,1,2,0,0,135,132,-1,-1,2,34,38,27,11,1,15,7,127,7,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,-2.0,6.0,-3.0,3.0,-3.0,0.0,-4.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,28,1,31,35,33,17,9,0,1,12,1,1,0,3,4,3,2,49,63,3,5,3,0,1,2,0,0,139,132,-1,-1,2,34,39,28,11,1,16,8,125,14,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,-1.0,-3.0,-4.0,5.0,6.0,0.0,-7.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,29,2,40,21,37,15,17,2,1,11,3,3,6,1,4,0,0,50,68,4,1,1,2,4,2,0,0,146,132,-1,-1,2,36,41,30,11,1,16,9,132,14,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,0.0,4.0,-20.0,7.0,4.0,2.0,1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,30,1,36,26,36,12,11,0,2,5,2,0,1,1,2,1,1,56,59,1,1,1,2,0,2,0,0,129,132,-1,-1,2,33,36,26,10,1,14,7,121,7,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,-1.0,3.0,-10.0,10.0,2.0,1.0,-3.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,31,0,25,26,35,12,15,0,0,7,0,0,0,2,2,0,1,44,65,2,1,2,1,0,0,0,0,120,132,-1,-1,2,30,34,24,9,1,13,7,114,6,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,-2.0,-5.0,-8.0,11.0,3.0,-1.0,2.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA ORIENTE,COLEGIO MANUEL RODRIGUEZ,32,3,30,29,28,20,15,0,3,13,3,1,2,2,4,4,7,48,64,3,2,0,1,4,0,0,0,141,132,-1,-1,2,35,40,28,11,1,16,8,132,10,0.01245780689853006,0.2648138864031441,0.2852360413498307,0.19319946897502902,0.07826030825227906,0.009526095031009735,0.10631603675190546,0.050190356338271666,0.010953674446846688,0.04695053317500106,0.23334434086487743,0.2933251450620804,0.08945722572682065,0.014242288845484011,0.15830041026637215,0.15342638161251745,1.0,-5.0,-11.0,0.0,9.0,2.0,-1.0,5.0
