REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,1M,3,18,19,31,13,15,2,1,21,3,1,0,4,5,16,2,11,2,2,23,2,21,0,24,0,10,123,14,-1,-1,2,15,25,29,14,3,14,21,41,82,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,1.0,3.0,-6.0,2.0,-1.0,0.0,1.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,1V,1,17,34,27,12,8,1,4,14,5,3,6,4,9,5,9,0,6,30,4,28,2,12,0,0,0,118,14,-1,-1,2,15,24,28,13,3,13,20,42,76,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,-1.0,2.0,10.0,-1.0,-1.0,2.0,-5.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,2M,2,11,21,35,16,15,0,1,26,1,3,5,4,6,0,4,2,5,1,37,3,37,0,15,0,5,127,14,-1,-1,2,13,24,29,15,4,16,24,29,98,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,0.0,-2.0,-3.0,6.0,1.0,-3.0,-1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,2V,2,10,25,24,14,15,2,2,22,4,4,6,4,7,2,6,1,6,28,3,26,1,18,0,4,0,116,14,-1,-1,2,14,23,27,13,3,14,20,36,80,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,0.0,-4.0,2.0,-3.0,1.0,1.0,1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,3M,3,14,26,26,16,18,1,4,20,5,0,7,5,6,1,2,3,3,0,44,1,32,2,19,1,2,128,14,-1,-1,2,13,24,29,16,3,16,25,27,101,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,1.0,1.0,2.0,-3.0,0.0,2.0,2.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,3V,1,18,21,28,14,15,0,1,28,1,3,4,1,8,4,6,17,4,27,4,22,1,17,0,7,1,126,14,-1,-1,2,16,26,30,14,3,14,21,47,79,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,-1.0,2.0,-5.0,-2.0,0.0,-2.0,1.0,7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,4M,1,21,27,37,13,19,2,1,17,3,2,5,6,8,2,4,2,53,3,32,2,10,0,6,0,2,138,14,-1,-1,2,22,32,36,13,3,13,17,82,55,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,-1.0,-1.0,-5.0,1.0,0.0,0.0,6.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,4V,1,15,29,25,14,14,1,0,21,1,5,5,3,8,2,3,38,2,19,2,21,2,5,1,3,1,120,14,-1,-1,2,18,27,31,12,2,12,16,66,54,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,-1.0,-3.0,2.0,-6.0,2.0,-1.0,2.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,5M,2,22,28,36,13,15,0,2,22,2,8,3,5,6,2,5,3,48,0,31,2,17,1,6,0,3,140,14,-1,-1,2,22,32,36,13,3,14,18,80,60,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,0.0,0.0,-4.0,0.0,0.0,-1.0,1.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,5V,3,33,40,31,12,16,2,1,22,3,4,2,15,13,14,9,45,7,17,7,14,2,8,2,1,0,160,14,-1,-1,2,28,39,43,14,2,14,18,109,51,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,1.0,5.0,1.0,-12.0,-2.0,1.0,2.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,6M,1,27,40,52,19,11,0,4,16,4,2,4,6,5,2,37,3,45,1,35,1,19,0,10,0,0,170,14,-1,-1,2,28,40,44,16,3,16,21,104,66,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,-1.0,-1.0,0.0,8.0,3.0,1.0,-5.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,6V,3,23,33,31,6,13,3,0,18,3,1,6,3,5,17,7,34,0,30,0,12,0,12,1,2,0,130,14,-1,-1,2,20,30,33,12,3,13,17,73,57,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,1.0,3.0,3.0,-2.0,-6.0,0.0,0.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,7M,1,13,23,23,9,7,1,0,8,1,2,1,1,3,5,28,3,11,3,11,3,7,1,2,1,3,85,14,-1,-1,1,14,20,22,8,2,8,10,54,31,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,0.0,-1.0,3.0,1.0,1.0,-1.0,-1.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,7V,3,20,34,49,13,9,0,2,11,2,3,3,9,13,35,10,19,3,17,5,10,2,7,0,3,1,141,14,-1,-1,2,24,34,38,12,2,13,16,95,45,0.010695824005709502,0.22313078267554606,0.27996734548400176,0.2966068076804766,0.06093456185465973,0.006938389195560505,0.06446844293255148,0.05725784617149425,0.018738729889010562,0.06906331063402371,0.16227906914283935,0.20508823850040225,0.13900096620102642,0.03431820625568323,0.14169642581769074,0.22981505355932377,1.0,-4.0,0.0,11.0,1.0,0.0,-4.0,-5.0
