REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,29V,6,19,33,36,9,35,0,0,17,0,1,0,4,45,4,4,44,3,31,1,8,1,6,0,3,0,155,92,-1,-1,2,16,38,43,7,1,28,20,105,50,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,4.0,3.0,-5.0,-7.0,2.0,-1.0,7.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,30V,1,13,28,47,5,24,2,1,16,3,1,3,6,23,2,4,57,3,18,1,8,2,8,1,0,0,137,92,-1,-1,1,15,35,38,6,1,24,17,99,38,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,0.0,-2.0,-7.0,9.0,-1.0,2.0,0.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,31V,1,18,36,44,3,17,0,0,18,0,1,2,7,27,9,8,52,4,14,2,6,2,2,1,0,0,137,92,-1,-1,2,16,36,38,6,1,23,15,110,27,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,-1.0,2.0,0.0,6.0,-3.0,-1.0,-6.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,32V,0,21,42,42,8,24,0,0,19,0,1,1,18,8,9,11,55,5,19,5,10,7,4,2,1,0,156,92,-1,-1,2,17,39,43,7,1,27,20,108,48,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,-2.0,4.0,3.0,-1.0,1.0,-1.0,-3.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,33V,2,32,42,53,6,30,0,3,27,3,2,3,8,4,12,17,66,19,27,12,16,3,6,0,0,0,195,92,-1,-1,2,20,48,54,9,2,35,25,131,64,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,0.0,12.0,-6.0,-1.0,-3.0,1.0,-5.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,34V,2,14,35,55,4,35,0,3,33,3,3,4,20,33,4,5,57,2,23,2,15,2,3,0,7,0,181,92,-1,-1,2,19,45,50,8,2,32,23,128,52,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,0.0,-5.0,-10.0,5.0,-4.0,1.0,3.0,10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,35V,1,20,44,60,10,27,0,2,24,2,1,3,29,31,10,4,43,4,25,0,22,2,12,1,0,1,188,92,-1,-1,2,20,46,52,8,2,33,25,125,63,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,-1.0,0.0,-2.0,8.0,2.0,0.0,-6.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,36V,2,18,44,57,3,28,1,1,19,2,0,3,16,17,28,5,26,5,28,2,23,3,15,1,2,0,173,92,-1,-1,2,17,39,48,8,2,32,25,100,74,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,0.0,1.0,5.0,9.0,-5.0,0.0,-4.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,37V,2,18,48,55,3,40,0,1,21,1,2,4,20,16,50,2,30,1,27,2,13,3,11,1,5,0,188,92,-1,-1,2,20,46,52,8,2,33,25,125,62,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,0.0,-2.0,2.0,3.0,-5.0,-1.0,7.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,ESCUELA ESPECIAL DE SANTA CRUZ,38V,0,24,56,48,6,26,0,0,23,0,2,0,13,21,49,7,39,6,21,2,10,0,7,1,3,1,183,92,-1,-1,2,20,47,51,8,1,32,22,137,45,0.015380310142672101,0.12748280231100498,0.299423605894333,0.2777373026971553,0.035214011629058926,0.004473103593299549,0.15655078026002547,0.08373808347245061,0.0029445378914707823,0.058071025970707395,0.13304935196160608,0.27561873389252467,0.06439114835612056,0.018140800570784966,0.22103133601460442,0.2267530653421811,-2.0,4.0,9.0,-3.0,-2.0,-1.0,-6.0,1.0
