REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,CHANCO,ESCUELA LOS HEROES,10M,0,10,14,76,2,17,0,6,21,6,0,1,5,3,3,3,4,68,5,31,2,16,1,4,0,0,146,34,-1,-1,1,10,19,69,6,4,16,21,87,59,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,-1.0,0.0,-5.0,7.0,-4.0,2.0,1.0,0.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,11M,1,9,20,65,3,13,0,1,20,1,1,0,4,5,11,12,8,50,5,17,6,6,2,5,0,0,132,34,-1,-1,1,10,18,63,5,3,15,17,91,41,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,0.0,-1.0,2.0,2.0,-2.0,-2.0,-2.0,3.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,12M,1,3,10,49,6,17,1,1,10,2,1,2,4,7,0,10,1,46,1,14,1,5,0,5,0,1,98,34,-1,-1,1,7,14,47,4,2,11,12,71,27,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,0.0,-4.0,-4.0,2.0,2.0,0.0,6.0,-2.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,13M,0,7,13,35,3,21,0,0,16,0,2,1,5,10,1,20,1,19,3,20,1,2,1,7,0,2,95,34,-1,-1,0,7,13,45,4,2,11,13,59,36,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,0.0,0.0,0.0,-10.0,-1.0,-2.0,10.0,3.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,14M,0,8,12,40,1,16,1,1,12,2,0,2,8,7,1,36,0,11,1,12,2,6,0,3,1,1,91,34,-1,-1,1,6,13,44,3,2,11,11,65,26,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,-1.0,2.0,-1.0,-4.0,-2.0,0.0,5.0,1.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,15M,3,4,8,58,4,19,0,2,21,2,1,1,2,4,1,54,1,15,2,16,3,11,0,5,0,3,119,34,-1,-1,1,8,16,57,4,3,14,16,79,40,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,2.0,-4.0,-8.0,1.0,0.0,-1.0,5.0,5.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,16M,0,3,16,38,9,9,1,1,9,2,1,0,0,14,2,24,0,21,0,12,1,7,1,3,0,0,86,34,-1,-1,1,6,12,41,3,2,10,11,62,24,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,-1.0,-3.0,4.0,-3.0,6.0,0.0,-1.0,-2.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,1M,0,3,13,42,7,14,0,6,14,6,1,1,8,5,0,0,0,1,3,14,6,28,7,12,0,13,99,34,-1,-1,0,6,11,46,4,4,9,19,16,83,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,0.0,-3.0,2.0,-4.0,3.0,2.0,5.0,-5.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,2M,0,5,10,54,6,11,1,3,24,4,1,0,1,2,0,2,6,1,14,20,1,31,0,26,0,9,114,34,-1,-1,0,6,13,53,4,4,11,23,13,101,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,0.0,-1.0,-3.0,1.0,2.0,0.0,0.0,1.0
DEL MAULE,CHANCO,ESCUELA LOS HEROES,3M,0,5,9,49,5,11,0,2,17,2,0,0,2,0,2,1,12,0,1,25,0,34,0,17,0,4,98,34,-1,-1,0,6,11,45,4,4,9,19,17,81,0.008057190313334866,0.08015610814547466,0.15098541091892295,0.4877563914714697,0.0372333794868595,0.016505413524863066,0.12768235560174257,0.09162375053733282,0.0014216334658288174,0.051438118678049496,0.1066421601984027,0.4565446310171959,0.03918516501409778,0.04003649169370683,0.0903280375309803,0.21440376240173825,0.0,-1.0,-2.0,4.0,1.0,-2.0,2.0,-2.0
