REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,10M,1,18,48,29,9,31,1,1,26,2,3,2,8,9,17,39,5,41,3,19,0,8,0,4,0,6,164,27,-1,-1,2,19,47,36,7,3,25,25,124,40,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,-1.0,-1.0,1.0,-7.0,2.0,-1.0,6.0,1.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,11M,0,20,45,31,8,33,0,2,27,2,1,0,2,8,12,63,1,29,1,21,1,15,1,8,0,2,166,27,-1,-1,2,19,46,36,7,4,25,27,116,49,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,-2.0,1.0,-1.0,-5.0,1.0,-2.0,8.0,0.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,12M,1,17,32,25,3,9,0,1,8,1,1,0,66,2,12,4,1,0,3,3,1,1,2,0,0,0,96,27,-1,-1,1,12,29,21,4,2,15,12,86,10,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,0.0,5.0,3.0,4.0,-1.0,-1.0,-6.0,-4.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,14,2,13,27,14,4,4,0,2,6,2,3,0,33,18,1,0,2,0,4,2,5,1,1,1,1,0,72,27,-1,-1,1,9,21,16,3,1,11,10,57,15,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,1.0,4.0,6.0,-2.0,1.0,1.0,-7.0,-4.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,1M,1,9,14,12,3,23,1,1,30,2,0,0,6,11,0,1,1,1,0,11,1,34,0,21,0,7,94,27,-1,-1,1,7,19,22,4,3,14,24,20,74,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,0.0,2.0,-5.0,-10.0,-1.0,-1.0,9.0,6.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,2M,0,8,17,24,5,12,2,0,14,2,1,1,5,5,0,0,1,0,1,14,7,32,0,12,0,3,82,27,-1,-1,1,6,16,19,4,3,12,21,13,69,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,-1.0,2.0,1.0,5.0,1.0,-1.0,0.0,-7.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,3M,0,5,14,24,7,18,1,1,31,2,1,1,2,5,1,0,1,1,11,23,1,27,0,18,0,9,101,27,-1,-1,1,7,19,23,5,3,16,27,12,89,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,-1.0,-2.0,-5.0,1.0,2.0,-1.0,2.0,4.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,4M,0,7,17,28,3,9,1,1,20,2,1,2,6,4,0,0,11,1,0,21,0,18,1,14,0,7,86,27,-1,-1,1,7,18,20,4,3,13,20,25,61,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,-1.0,0.0,-1.0,8.0,-1.0,-1.0,-4.0,0.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,5M,3,4,19,20,2,19,2,2,20,4,2,0,3,6,0,1,22,2,0,16,0,22,1,11,1,4,91,27,-1,-1,1,8,21,21,4,2,14,20,36,55,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,2.0,-4.0,-2.0,-1.0,-2.0,2.0,5.0,0.0
DEL MAULE,CUREPTO,ESCUELA PEDRO ANTONIO GONZALEZ,6M,1,6,21,25,6,18,1,2,25,3,1,1,4,3,6,1,11,0,3,26,0,27,0,15,0,7,105,27,-1,-1,1,8,22,24,5,3,16,26,27,78,0.011275791298138025,0.13611142848717814,0.3209278990466301,0.2130670267041084,0.04337076272465386,0.016838951421720306,0.1512502422598723,0.10715789805769882,0.006615062733812064,0.06103495160131143,0.1719699432116751,0.23474565115900464,0.045012696074883674,0.03463267830775638,0.1541181224767762,0.2918708944347805,0.0,-2.0,-1.0,1.0,1.0,0.0,2.0,-1.0
