REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,DUAO,ESCUELA RURAL DUAO,1,1,17,15,39,22,18,1,8,43,9,2,1,10,8,8,10,8,12,14,24,8,26,17,12,4,3,164,10,-1,-1,1,20,18,47,18,5,25,30,59,108,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,0.0,-3.0,-3.0,-8.0,4.0,4.0,-7.0,13.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,10,1,6,12,22,8,7,0,0,12,0,1,5,2,10,5,7,9,4,5,4,2,6,4,3,0,2,68,10,-1,-1,0,11,11,18,7,1,9,11,43,26,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,1.0,-5.0,1.0,4.0,1.0,-1.0,-2.0,1.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,2,0,22,20,30,11,19,0,0,20,0,1,1,8,13,6,15,8,16,7,16,11,9,4,2,5,0,122,10,-1,-1,1,19,19,33,12,2,16,20,68,54,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,-1.0,3.0,1.0,-3.0,-1.0,-2.0,3.0,0.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,3,2,11,18,35,10,21,1,2,18,3,0,1,3,3,10,10,8,12,13,14,13,13,4,12,2,1,118,10,-1,-1,1,15,14,33,13,3,18,21,47,72,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,1.0,-4.0,4.0,2.0,-3.0,0.0,3.0,-3.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,4,1,13,13,36,14,16,1,1,16,2,3,0,5,3,5,7,5,12,15,8,20,10,9,5,2,3,111,10,-1,-1,1,13,13,32,12,3,17,20,40,72,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,0.0,0.0,0.0,4.0,2.0,-1.0,-1.0,-4.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,5,0,22,14,27,12,17,1,1,18,2,0,0,3,6,9,16,11,13,8,13,13,11,6,1,0,1,112,10,-1,-1,1,17,16,30,11,3,15,19,58,53,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,-1.0,5.0,-2.0,-3.0,1.0,-1.0,2.0,-1.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,6,1,16,11,33,11,17,4,4,19,8,0,0,5,3,9,10,11,9,17,11,10,13,9,6,1,2,116,10,-1,-1,1,15,14,33,13,3,17,20,47,69,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,0.0,1.0,-3.0,0.0,-2.0,5.0,0.0,-1.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,7,0,16,17,35,11,19,0,1,22,1,0,1,5,4,5,5,16,13,19,17,10,14,4,6,2,0,121,10,-1,-1,1,16,15,34,13,3,18,21,49,72,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,-1.0,0.0,2.0,1.0,-2.0,-2.0,1.0,1.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,8,1,14,11,35,13,15,3,1,20,4,0,0,1,5,9,10,10,9,14,16,12,12,7,5,2,1,113,10,-1,-1,1,14,14,32,12,3,17,20,44,69,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,0.0,0.0,-3.0,3.0,1.0,1.0,-2.0,0.0
DEL MAULE,DUAO,ESCUELA RURAL DUAO,9,1,14,14,26,10,15,1,1,12,2,0,1,2,4,4,10,7,6,5,20,8,10,10,3,2,2,94,10,-1,-1,1,11,11,27,10,3,14,17,34,60,0.0008331848293493355,0.23303922061445445,0.24118935703316535,0.22564452890458178,0.07157247938542358,1.0939941651528412e-09,0.09315866254567215,0.13456256559335927,0.011631231812757548,0.0571205825584886,0.04225878656351821,0.3192974351296737,0.13382722332651834,0.047067649178204975,0.1823491685893198,0.2064479228415189,0.0,3.0,3.0,-1.0,0.0,-1.0,1.0,-5.0
