REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,1M,0,10,10,51,14,10,0,0,18,0,1,1,6,7,1,1,1,0,2,37,3,34,2,14,0,6,113,15,-1,-1,0,12,7,53,8,2,12,19,18,98,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,0.0,-2.0,3.0,-2.0,6.0,-2.0,-2.0,-1.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,1V,1,21,4,57,4,13,4,2,26,6,1,0,4,10,0,24,5,13,26,0,24,1,17,1,6,0,132,15,-1,-1,0,19,9,62,8,2,14,18,57,75,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,1.0,2.0,-5.0,-5.0,-4.0,4.0,-1.0,8.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,2M,0,11,2,44,4,8,0,2,11,2,1,0,1,3,5,2,12,0,1,23,0,19,0,11,0,4,82,15,-1,-1,0,10,5,38,5,2,9,13,24,58,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,0.0,1.0,-3.0,6.0,-1.0,0.0,-1.0,-2.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,2V,0,19,9,68,11,11,1,1,28,2,1,0,4,29,0,30,2,4,30,0,23,0,17,0,8,0,148,15,-1,-1,1,22,10,69,8,2,16,20,70,78,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,-1.0,-3.0,-1.0,-1.0,3.0,0.0,-5.0,8.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,3M,0,20,5,63,7,15,0,2,7,2,1,3,3,2,33,0,0,7,0,40,0,18,0,9,0,3,119,15,-1,-1,0,17,7,56,7,2,13,17,49,70,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,0.0,3.0,-2.0,7.0,0.0,0.0,2.0,-10.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,3V,2,16,12,62,4,14,1,1,19,2,2,1,12,29,4,1,1,1,22,1,32,2,15,0,7,1,131,15,-1,-1,1,18,8,61,8,2,14,19,51,80,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,1.0,-2.0,4.0,1.0,-4.0,0.0,0.0,0.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,4M,0,30,9,62,5,19,0,0,10,0,0,3,17,4,6,3,0,51,1,31,1,11,0,5,0,2,135,15,-1,-1,1,24,9,63,6,2,14,16,84,51,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,-1.0,6.0,0.0,-1.0,-1.0,-2.0,5.0,-6.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,4V,0,21,5,36,8,16,0,2,15,2,2,2,9,13,4,2,20,1,23,2,11,4,7,0,3,0,103,15,-1,-1,0,16,7,48,5,2,11,14,53,50,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,0.0,5.0,-2.0,-12.0,3.0,0.0,5.0,1.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,5M,0,18,11,55,5,13,1,0,24,1,0,1,12,2,1,18,2,46,4,21,1,8,2,8,1,0,127,15,-1,-1,0,23,9,59,6,2,13,15,82,45,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,0.0,-5.0,2.0,-4.0,-1.0,-1.0,0.0,9.0
DEL MAULE,EMPEDRADO,LICEO SAN IGNACIO,5V,0,21,6,74,8,12,0,0,15,0,0,2,11,15,4,8,55,2,16,4,5,2,7,2,1,0,136,15,-1,-1,0,26,10,63,6,2,14,15,97,37,0.00308091151029311,0.23182481035034558,0.07849225928850591,0.4606090159955872,0.025389641314569684,0.00957842247194989,0.10489355069277091,0.08613138837597777,0.003493203197678952,0.07951812514944982,0.053196769088574763,0.4723293432418442,0.08319190229362557,0.0222483631773131,0.10668728735700998,0.1793350064945035,0.0,-5.0,-4.0,11.0,2.0,-2.0,-2.0,0.0
