REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,10M,1,8,26,47,11,37,2,0,28,2,1,0,6,6,6,10,6,65,8,25,2,22,0,4,0,0,160,28,-1,-1,2,16,34,37,11,2,23,35,100,61,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,-1.0,-8.0,-8.0,10.0,0.0,0.0,14.0,-7.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,11M,0,15,31,28,10,25,1,1,46,2,1,1,7,7,5,15,8,44,6,26,2,14,2,17,0,2,157,28,-1,-1,2,15,32,36,10,2,24,36,88,69,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,-2.0,0.0,-1.0,-8.0,0.0,0.0,1.0,10.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,12M,1,7,29,37,20,34,0,0,36,0,1,3,7,4,7,64,5,34,1,17,1,11,0,8,0,1,164,28,-1,-1,2,19,35,38,12,2,22,34,125,39,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,-1.0,-12.0,-6.0,-1.0,8.0,-2.0,12.0,2.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,13M,3,15,20,17,14,18,0,0,23,0,3,7,14,16,2,13,4,20,5,10,3,6,3,2,1,1,110,28,-1,-1,1,12,24,26,8,1,15,23,79,31,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,2.0,3.0,-4.0,-9.0,6.0,-1.0,3.0,0.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,1M,1,3,29,25,9,23,0,2,24,2,1,2,6,9,1,4,0,0,0,20,8,34,3,20,0,8,116,28,-1,-1,1,8,21,26,6,3,20,31,23,93,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,0.0,-5.0,8.0,-1.0,3.0,-1.0,3.0,-7.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,2M,1,7,20,20,7,26,1,1,26,2,0,0,7,2,0,1,14,2,13,17,2,23,1,20,0,7,109,28,-1,-1,1,8,20,25,6,2,19,28,26,83,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,0.0,-1.0,0.0,-5.0,1.0,0.0,7.0,-2.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,3M,1,10,15,37,4,14,1,0,25,1,0,1,3,5,2,3,35,0,1,23,0,25,0,6,0,2,107,28,-1,-1,1,10,21,24,7,2,17,25,49,57,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,0.0,0.0,-6.0,13.0,-3.0,-1.0,-3.0,0.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,4M,2,5,20,31,6,23,0,0,25,0,0,1,2,4,19,0,8,1,1,30,1,23,1,9,1,10,112,28,-1,-1,1,9,22,25,6,2,19,28,35,76,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,1.0,-4.0,-2.0,6.0,0.0,-2.0,4.0,-3.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,5M,2,14,16,26,5,25,1,2,25,3,1,2,2,1,46,2,2,1,0,28,1,17,1,8,0,4,116,28,-1,-1,1,11,23,27,7,2,18,27,57,59,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,1.0,3.0,-7.0,-1.0,-2.0,1.0,7.0,-2.0
DEL MAULE,HUALANE,ESCUELA MONSENOR MANUEL LARRAIN ERRAZURIZ,6M,1,16,23,37,8,27,0,0,22,0,0,6,4,3,44,0,2,0,1,28,1,27,1,12,0,5,134,28,-1,-1,1,12,27,31,8,2,21,32,59,75,0.015253656772160111,0.1331654632562189,0.228751058830513,0.23522938912878527,0.08142508785346277,0.0033742573076655413,0.12098758379999411,0.18181350305120036,0.00557534317748859,0.05094570530340396,0.17491106751280108,0.22291006604405655,0.04634810357085784,0.028983730322156946,0.18609645095564514,0.28422953311359,0.0,4.0,-4.0,6.0,0.0,-2.0,6.0,-10.0
