REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,10V,1,13,20,28,4,23,0,0,20,0,2,3,19,6,31,8,11,5,9,2,9,1,1,1,1,0,109,19,-1,-1,1,15,22,24,5,1,22,19,85,24,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,0.0,-2.0,-2.0,4.0,-1.0,-1.0,1.0,1.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,1M,0,10,19,19,13,26,0,1,16,1,1,2,8,11,3,4,2,2,4,19,4,21,2,18,0,3,104,19,-1,-1,1,10,17,22,8,1,25,20,33,71,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,-1.0,0.0,2.0,-3.0,5.0,0.0,1.0,-4.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,1V,3,4,17,33,9,23,0,0,22,0,1,1,5,16,4,0,2,22,16,6,19,2,10,2,6,0,111,19,-1,-1,1,12,19,24,8,1,25,21,51,61,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,2.0,-8.0,-2.0,9.0,1.0,-1.0,-2.0,1.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,2M,2,9,21,26,10,32,1,1,29,2,0,2,4,3,3,2,9,2,12,34,0,32,1,19,0,8,131,19,-1,-1,1,12,20,27,11,2,33,25,25,106,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,1.0,-3.0,1.0,-1.0,-1.0,0.0,-1.0,4.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,2V,0,16,20,32,10,18,1,2,32,3,0,0,7,4,4,28,1,7,26,2,29,0,16,1,6,0,131,19,-1,-1,1,14,22,28,10,2,30,24,51,80,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,-1.0,2.0,-2.0,4.0,0.0,1.0,-12.0,8.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,3M,0,19,21,32,9,36,0,0,23,0,2,2,4,3,15,8,15,3,2,30,0,31,2,13,1,9,140,19,-1,-1,1,15,23,30,10,2,33,26,52,88,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,-1.0,4.0,-2.0,2.0,-1.0,-2.0,3.0,-3.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,3V,0,16,15,27,6,32,0,0,24,0,1,4,7,3,0,45,2,4,22,0,20,0,5,0,6,1,120,19,-1,-1,1,14,22,26,8,1,26,22,66,54,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,-1.0,2.0,-7.0,1.0,-2.0,-1.0,6.0,2.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,4M,1,16,19,15,8,27,1,0,18,1,0,1,3,4,37,1,2,0,2,23,0,20,1,9,0,2,105,19,-1,-1,1,12,18,23,7,1,24,19,48,57,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,0.0,4.0,1.0,-8.0,1.0,0.0,3.0,-1.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,4V,1,16,22,35,5,31,1,2,26,3,1,2,5,44,4,11,4,1,37,2,16,1,10,0,1,0,139,19,-1,-1,1,16,25,30,9,2,31,25,72,67,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,0.0,0.0,-3.0,5.0,-4.0,1.0,0.0,1.0
DEL MAULE,LICANTEN,LICEO AUGUSTO SANTELICES VALENZUELA,5M,1,20,29,33,8,35,1,1,30,2,0,3,3,4,42,2,1,41,0,36,0,18,0,5,0,3,158,19,-1,-1,2,19,30,35,9,1,34,28,96,62,0.01355068408102458,0.15229809504443687,0.218229752821287,0.22883192888331602,0.03382911256793354,0.005745523879501688,0.17818586980668824,0.16932903291581203,0.004230243108265061,0.07579456321071608,0.1388710971133546,0.2046190553936647,0.09824841149371291,0.015262116972823678,0.2654740952341845,0.19750041747327843,-1.0,1.0,-1.0,-2.0,-1.0,1.0,1.0,2.0
