REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,21,1,30,18,40,11,17,1,1,14,2,0,4,11,14,13,11,3,10,12,13,16,11,9,2,1,3,133,29,-1,-1,1,23,20,41,12,4,15,17,66,67,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,0.0,7.0,-2.0,-1.0,-1.0,-2.0,2.0,-3.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,22,0,20,21,28,10,18,0,1,19,1,2,0,10,12,6,9,11,10,11,14,10,12,7,2,0,0,117,29,-1,-1,1,21,17,36,11,3,13,15,60,56,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,-1.0,-1.0,4.0,-8.0,-1.0,-2.0,5.0,4.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,23,3,23,15,33,18,20,2,0,22,2,0,1,7,10,9,13,9,12,17,16,15,16,5,4,2,1,136,29,-1,-1,1,23,20,42,13,4,15,18,61,76,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,2.0,0.0,-5.0,-9.0,5.0,-2.0,5.0,4.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,24,0,21,21,47,8,14,2,3,14,5,1,0,10,11,11,11,9,9,19,17,10,7,5,6,1,3,130,29,-1,-1,1,23,19,40,12,4,14,17,62,68,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,-1.0,-2.0,2.0,7.0,-4.0,1.0,0.0,-3.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,25,0,22,13,31,16,17,2,3,15,5,0,1,9,8,15,12,15,5,15,8,13,6,8,3,0,1,119,29,-1,-1,1,21,18,36,11,3,14,15,65,54,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,-1.0,1.0,-5.0,-5.0,5.0,2.0,3.0,0.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,26,4,22,21,41,12,16,0,1,20,1,0,0,13,15,16,11,8,14,14,13,12,7,5,8,1,0,137,29,-1,-1,1,25,20,42,12,4,16,17,77,60,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,3.0,-3.0,1.0,-1.0,0.0,-3.0,0.0,3.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,27,2,24,20,45,11,18,1,4,22,5,1,2,10,12,13,18,11,13,11,19,12,13,6,3,3,0,147,29,-1,-1,1,26,22,45,14,4,17,18,80,67,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,1.0,-2.0,-2.0,0.0,-3.0,1.0,1.0,4.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,28,0,26,19,41,15,8,2,0,20,2,3,2,6,13,11,11,11,13,14,16,10,8,5,7,1,0,131,29,-1,-1,1,23,20,40,12,4,15,16,70,61,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,-1.0,3.0,-1.0,1.0,3.0,-2.0,-7.0,4.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,29,3,20,21,35,10,14,2,0,19,2,1,2,12,16,8,11,8,9,12,13,14,8,7,2,1,0,124,29,-1,-1,1,22,18,38,11,4,14,16,67,57,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,2.0,-2.0,3.0,-3.0,-1.0,-2.0,0.0,3.0
DEL MAULE,LOS NICHES,ESCUELA REPUBLICA ESTADOS UNIDOS,1,2,20,28,49,17,11,8,3,33,11,4,3,0,2,1,3,3,0,37,25,53,34,3,3,0,0,171,29,-1,-1,2,22,26,53,17,9,13,29,16,155,0.002658299211293498,0.2323723466020882,0.14443258083768232,0.29793212201206976,0.08227419453584255,0.00296041736372305,0.15648425404748847,0.08088578538981231,0.015465330182521348,0.11678374357403021,0.15239927034915238,0.31321093789659293,0.10266281883202985,0.05566502839836536,0.06806110539830702,0.1757517653690008,0.0,-2.0,2.0,-4.0,0.0,2.0,-2.0,4.0
