REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,24M,2,25,31,48,9,28,1,1,28,2,3,2,4,13,32,8,4,3,2,60,1,23,3,14,0,1,173,84,-1,-1,2,21,33,46,15,3,23,30,69,104,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,4.0,-2.0,2.0,-6.0,-1.0,5.0,-2.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,25M,0,29,32,46,17,14,1,0,32,1,1,3,3,6,23,4,1,67,2,30,2,13,2,13,0,1,171,84,-1,-1,2,25,37,46,14,3,20,24,108,63,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-2.0,4.0,-5.0,0.0,3.0,-2.0,-6.0,8.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,26M,2,28,39,40,14,26,2,3,26,5,1,2,8,10,22,6,3,65,0,38,1,19,0,4,0,1,180,84,-1,-1,2,27,39,48,15,3,21,25,117,63,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,1.0,0.0,-8.0,-1.0,2.0,5.0,1.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,27M,0,18,27,49,19,21,2,1,39,3,1,1,5,12,16,1,3,79,1,29,2,13,1,8,0,4,176,84,-1,-1,2,26,39,47,14,3,21,24,118,58,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-2.0,-8.0,-12.0,2.0,5.0,0.0,0.0,15.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,28M,2,31,31,50,25,21,1,3,30,4,2,5,13,11,33,1,0,72,2,30,1,18,0,8,0,1,194,84,-1,-1,2,30,43,52,16,3,22,26,137,60,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,1.0,-12.0,-2.0,9.0,1.0,-1.0,4.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,29M,0,21,29,54,14,35,3,1,35,4,2,2,6,5,16,0,2,109,3,16,3,19,2,6,0,1,192,84,-1,-1,2,31,44,51,15,3,22,24,142,50,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-2.0,-10.0,-15.0,3.0,-1.0,1.0,13.0,11.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,30M,5,27,43,41,20,29,1,0,18,1,1,4,5,16,21,3,1,73,2,23,0,23,3,7,0,2,184,84,-1,-1,2,28,41,49,15,3,21,25,124,60,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,3.0,-1.0,2.0,-8.0,5.0,-2.0,8.0,-7.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,31M,1,29,30,54,20,26,1,1,27,2,2,0,9,12,14,36,1,55,2,26,1,21,1,8,0,1,189,84,-1,-1,2,29,42,51,15,3,22,25,129,60,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-1.0,0.0,-12.0,3.0,5.0,-1.0,4.0,2.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,32M,2,27,35,58,13,35,0,1,29,1,2,2,11,11,18,38,2,47,6,24,4,20,1,11,0,3,200,84,-1,-1,2,30,44,53,16,3,24,28,131,69,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,-3.0,-9.0,5.0,-3.0,-2.0,11.0,1.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,33M,2,26,43,52,15,24,1,1,22,2,1,1,7,9,15,49,1,36,0,35,0,21,0,7,1,3,186,84,-1,-1,2,27,41,50,15,3,22,26,119,67,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,-1.0,2.0,2.0,0.0,-1.0,2.0,-4.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,34M,0,26,46,62,15,24,1,5,32,6,1,3,6,10,11,64,5,52,1,27,2,23,0,6,0,1,211,84,-1,-1,2,33,48,57,17,3,24,27,152,60,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-2.0,-7.0,-2.0,5.0,-2.0,3.0,0.0,5.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,35M,3,26,38,59,29,27,0,1,23,1,2,2,7,8,5,61,3,42,3,29,3,26,0,10,1,3,206,84,-1,-1,2,30,45,55,17,3,25,29,130,75,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,1.0,-4.0,-7.0,4.0,12.0,-2.0,2.0,-6.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,36M,1,16,65,68,17,30,0,1,21,1,5,2,4,11,4,102,2,36,2,26,1,9,0,14,0,1,219,84,-1,-1,2,35,50,59,18,3,25,27,166,53,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-1.0,-19.0,15.0,9.0,-1.0,-2.0,5.0,-6.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,37M,1,27,34,33,8,13,1,5,15,6,0,3,8,23,57,11,2,13,1,4,4,8,1,2,0,1,137,84,-1,-1,1,23,33,37,11,2,15,15,117,21,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,4.0,1.0,-4.0,-3.0,4.0,-2.0,0.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,38,2,45,23,34,10,12,0,1,7,1,4,5,9,11,91,3,3,4,1,2,0,1,0,1,0,0,134,84,-1,-1,1,25,34,36,10,1,14,13,130,5,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,1.0,20.0,-11.0,-2.0,0.0,0.0,-2.0,-6.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,39,3,27,33,25,12,16,0,0,10,0,0,1,12,10,87,4,4,3,0,2,1,2,0,0,0,0,126,84,-1,-1,1,23,32,34,10,1,13,12,121,5,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,2.0,4.0,1.0,-9.0,2.0,-1.0,3.0,-2.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,40,3,33,31,20,10,12,0,0,9,0,2,4,36,11,51,3,1,3,2,1,1,1,1,0,0,1,118,84,-1,-1,1,22,30,32,9,1,12,11,111,7,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,2.0,11.0,1.0,-12.0,1.0,-1.0,0.0,-2.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,41,2,30,37,33,8,8,1,2,9,3,4,1,99,13,4,2,2,1,0,2,0,1,0,1,0,0,130,84,-1,-1,2,24,33,35,10,1,13,12,126,4,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,6.0,4.0,-2.0,-2.0,2.0,-5.0,-3.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,42,1,26,38,29,10,8,0,2,10,2,0,1,86,22,6,2,1,0,3,0,0,2,1,0,0,0,124,84,-1,-1,1,23,31,33,10,1,13,12,118,6,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,3.0,7.0,-4.0,0.0,1.0,-5.0,-2.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,43,2,30,44,25,16,16,1,0,14,1,3,2,56,67,3,3,2,4,4,0,1,1,1,1,0,0,148,84,-1,-1,2,27,37,40,11,2,15,14,140,8,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,3.0,7.0,-15.0,5.0,-1.0,1.0,0.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,44,1,23,36,49,7,17,0,1,12,1,1,3,32,46,11,7,11,6,11,5,7,4,1,0,1,0,146,84,-1,-1,2,24,34,39,12,2,16,17,117,29,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-1.0,-1.0,2.0,10.0,-5.0,-1.0,1.0,-5.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,45,0,23,35,38,10,15,2,0,10,2,1,1,27,53,4,8,9,5,7,3,5,6,1,1,1,1,133,84,-1,-1,1,22,31,36,11,2,15,15,108,25,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-1.0,1.0,4.0,2.0,-1.0,0.0,0.0,-5.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,46,4,31,64,48,12,20,0,1,20,1,10,14,11,13,18,32,22,22,13,15,9,14,4,2,1,0,200,84,-1,-1,2,31,45,54,16,3,23,26,142,58,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,2.0,0.0,19.0,-6.0,-4.0,-2.0,-3.0,-6.0
DEL MAULE,MOLINA,ESCUELA REINO DE DINAMARCA,47,2,34,43,32,21,25,0,1,13,1,1,5,7,23,20,22,19,13,11,15,10,11,8,5,1,0,171,84,-1,-1,2,25,37,46,14,3,20,24,110,61,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,9.0,6.0,-14.0,7.0,-2.0,5.0,-11.0
DEL MAULE,MOLINA,ESCUELA SUPERIOR DE NINAS DE MOLINA,10V,2,21,46,45,16,22,0,5,27,5,2,5,11,11,1,9,1,49,35,5,37,1,13,1,3,0,184,84,-1,-1,2,24,37,49,16,3,23,30,89,95,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,0.0,-3.0,9.0,-4.0,0.0,2.0,-1.0,-3.0
DEL MAULE,MOLINA,ESCUELA SUPERIOR DE NINAS DE MOLINA,11V,1,14,32,36,15,14,1,5,33,6,0,1,12,6,0,3,3,44,20,4,37,0,13,0,9,0,151,84,-1,-1,2,19,30,40,13,3,19,25,69,83,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-1.0,-5.0,2.0,-4.0,2.0,3.0,-5.0,8.0
DEL MAULE,MOLINA,ESCUELA SUPERIOR DE NINAS DE MOLINA,12V,0,24,39,34,12,22,0,3,28,3,0,3,12,14,3,3,4,30,29,5,35,2,13,2,7,0,162,84,-1,-1,2,20,31,43,14,3,21,28,69,93,0.011686002871436157,0.19069456995390577,0.25686805026802967,0.26716634496472513,0.07570704380729729,0.009177185674334938,0.09936860631004843,0.08933219615022275,0.008274041747014236,0.07011682968538366,0.14799467316398737,0.2681257917597642,0.09582492970608958,0.026241229078122243,0.15340639782951063,0.23001610703012823,-2.0,4.0,8.0,-9.0,-2.0,0.0,1.0,0.0
