REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,10V,1,26,18,42,16,19,0,3,18,3,5,2,13,17,2,10,38,7,18,8,11,4,4,2,2,0,143,26,-1,-1,1,24,23,41,10,2,21,21,94,49,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,2.0,-5.0,1.0,6.0,1.0,-2.0,-3.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,1V,1,13,17,31,8,14,0,0,24,0,1,1,5,17,4,4,4,2,13,9,14,3,22,3,6,0,108,26,-1,-1,1,14,15,35,7,2,15,19,38,70,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,-1.0,2.0,-4.0,1.0,-2.0,-1.0,5.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,2V,0,15,14,42,5,20,0,2,27,2,2,0,2,5,2,1,1,44,21,4,19,3,20,0,1,0,125,26,-1,-1,1,18,18,39,8,2,18,21,57,68,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,-3.0,-4.0,3.0,-3.0,0.0,2.0,6.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,3V,4,19,11,42,4,14,0,1,29,1,4,1,2,2,2,38,2,3,23,3,27,1,11,0,5,0,124,26,-1,-1,1,18,17,39,8,2,18,21,54,70,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,3.0,1.0,-6.0,3.0,-4.0,-1.0,-4.0,8.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,4V,3,30,11,49,11,19,0,1,23,1,1,0,5,5,1,56,1,7,27,1,23,1,14,1,4,0,147,26,-1,-1,1,22,22,45,10,2,21,24,76,71,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,2.0,8.0,-11.0,4.0,1.0,-1.0,-2.0,-1.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,5V,3,26,24,35,9,15,2,0,18,2,0,1,2,8,4,61,3,4,20,1,17,1,7,0,3,0,132,26,-1,-1,1,22,21,38,9,2,19,20,83,49,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,2.0,4.0,3.0,-3.0,0.0,0.0,-4.0,-2.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,6V,0,24,26,38,7,16,1,1,19,2,0,0,3,52,0,3,4,2,21,3,25,0,12,3,4,0,132,26,-1,-1,1,20,19,41,9,2,19,21,64,68,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,4.0,7.0,-3.0,-2.0,0.0,-3.0,-2.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,7V,2,20,23,43,7,17,2,2,29,4,2,3,7,28,10,13,3,7,26,1,25,2,14,0,4,0,145,26,-1,-1,1,22,21,44,10,2,21,24,73,72,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,1.0,-2.0,2.0,-1.0,-3.0,2.0,-4.0,5.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,8V,0,26,22,25,10,12,2,1,18,3,0,4,17,25,1,2,1,2,30,1,20,2,9,1,1,0,116,26,-1,-1,1,17,17,36,8,2,16,19,52,64,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,9.0,5.0,-11.0,2.0,1.0,-4.0,-1.0
DEL MAULE,PELARCO,GIMNASIO MUNICIPAL,9V,2,24,16,40,5,22,0,1,26,1,1,3,9,12,3,5,57,5,22,0,9,5,4,0,1,0,136,26,-1,-1,1,23,22,38,10,2,20,20,95,41,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,1.0,1.0,-6.0,2.0,-5.0,-1.0,2.0,6.0
DEL MAULE,PELARCO,LICEO DE PELARCO,10M,1,29,25,38,18,38,0,1,28,1,0,0,24,3,2,32,3,41,3,28,0,21,4,12,0,5,178,26,-1,-1,1,29,28,53,12,3,25,27,105,73,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,0.0,-3.0,-15.0,6.0,-2.0,13.0,1.0
DEL MAULE,PELARCO,LICEO DE PELARCO,11M,0,27,26,47,15,35,0,4,22,4,0,2,13,8,2,51,2,35,1,22,4,16,2,14,0,4,176,26,-1,-1,1,29,28,51,13,3,25,26,113,63,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,-2.0,-2.0,-4.0,2.0,1.0,10.0,-4.0
DEL MAULE,PELARCO,LICEO DE PELARCO,11V,0,23,25,40,13,21,1,3,22,4,5,4,15,12,8,5,37,4,23,5,15,4,7,2,2,0,148,26,-1,-1,1,24,23,44,10,2,21,23,90,58,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,-1.0,2.0,-4.0,3.0,2.0,0.0,-1.0
DEL MAULE,PELARCO,LICEO DE PELARCO,12M,1,27,36,45,10,17,1,3,17,4,2,1,18,12,11,26,5,12,8,11,9,14,8,12,4,4,157,26,-1,-1,1,25,24,47,11,2,22,25,87,70,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,2.0,12.0,-2.0,-1.0,2.0,-5.0,-8.0
DEL MAULE,PELARCO,LICEO DE PELARCO,12V,1,19,29,46,7,22,0,2,30,2,0,4,7,8,22,2,39,7,16,2,22,5,16,1,4,1,156,26,-1,-1,1,25,24,47,11,2,22,24,89,67,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,-6.0,5.0,-1.0,-4.0,0.0,0.0,6.0
DEL MAULE,PELARCO,LICEO DE PELARCO,13V,2,29,28,60,10,13,2,0,20,2,0,6,7,10,44,6,21,2,18,7,13,4,20,4,2,0,164,26,-1,-1,1,26,26,49,11,2,24,25,96,68,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,1.0,3.0,2.0,11.0,-1.0,0.0,-11.0,-5.0
DEL MAULE,PELARCO,LICEO DE PELARCO,14,1,31,35,62,11,24,2,2,15,4,3,5,12,24,15,18,24,18,15,15,9,12,9,4,0,0,183,26,-1,-1,1,31,29,53,13,3,26,27,119,64,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,0.0,6.0,9.0,-2.0,1.0,-2.0,-12.0
DEL MAULE,PELARCO,LICEO DE PELARCO,1M,4,7,11,39,11,14,0,1,15,1,1,0,7,5,0,3,2,4,0,17,2,40,2,12,2,5,102,26,-1,-1,1,12,12,35,6,2,15,19,22,80,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,3.0,-5.0,-1.0,4.0,5.0,-1.0,-1.0,-4.0
DEL MAULE,PELARCO,LICEO DE PELARCO,2M,0,15,19,42,8,27,0,3,22,3,0,3,5,8,2,3,0,2,9,30,11,43,3,11,1,5,136,26,-1,-1,1,16,16,48,8,2,19,26,23,113,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,-1.0,3.0,-6.0,0.0,1.0,8.0,-4.0
DEL MAULE,PELARCO,LICEO DE PELARCO,3M,0,13,12,37,8,16,2,1,23,3,1,1,5,7,2,4,5,1,5,30,3,26,1,15,0,6,112,26,-1,-1,1,13,14,38,7,2,16,21,26,86,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,0.0,-2.0,-1.0,1.0,1.0,0.0,2.0
DEL MAULE,PELARCO,LICEO DE PELARCO,4M,1,20,10,56,12,17,0,4,18,4,1,1,2,0,4,8,28,2,2,29,2,31,2,20,1,5,138,26,-1,-1,1,18,18,45,9,2,20,25,46,92,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,2.0,-8.0,11.0,3.0,2.0,-3.0,-7.0
DEL MAULE,PELARCO,LICEO DE PELARCO,5M,0,15,22,37,4,20,0,1,28,1,0,0,3,9,13,0,15,1,1,43,3,16,1,16,0,6,127,26,-1,-1,1,16,17,42,8,2,18,23,41,86,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,-1.0,5.0,-5.0,-4.0,-1.0,2.0,5.0
DEL MAULE,PELARCO,LICEO DE PELARCO,6M,1,19,15,51,4,22,0,0,22,0,0,0,1,5,30,1,3,2,3,33,2,31,4,14,0,5,134,26,-1,-1,1,18,18,44,8,2,19,24,42,92,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,1.0,-3.0,7.0,-4.0,-2.0,3.0,-2.0
DEL MAULE,PELARCO,LICEO DE PELARCO,7M,0,22,20,50,9,18,0,2,31,2,0,2,3,1,32,2,2,42,1,44,1,10,3,7,0,2,152,26,-1,-1,1,24,23,46,10,2,22,24,84,68,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,-2.0,-3.0,4.0,-1.0,0.0,-4.0,7.0
DEL MAULE,PELARCO,LICEO DE PELARCO,8M,0,20,22,43,17,23,0,1,26,1,0,1,4,1,29,2,1,63,3,32,2,8,0,4,0,2,152,26,-1,-1,1,26,25,43,11,2,22,22,101,51,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,-1.0,-6.0,-3.0,0.0,6.0,-1.0,1.0,4.0
DEL MAULE,PELARCO,LICEO DE PELARCO,9M,1,22,32,47,9,33,0,1,25,1,2,1,10,3,33,5,3,59,5,20,2,14,0,10,1,2,170,26,-1,-1,1,29,28,48,12,3,24,25,116,54,0.0054803802917237675,0.20640119105258026,0.1925642228125384,0.2439937565929742,0.0780981427907987,0.012828205999565016,0.14459567410330995,0.11603842635650963,0.010297229343805843,0.09511764494496738,0.10270746126660917,0.3690840978390611,0.05571767676406597,0.017640561074450996,0.14132532302952072,0.20811000573751892,0.0,-7.0,4.0,-1.0,-3.0,-2.0,9.0,0.0
