REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,10M,0,8,31,74,11,19,1,1,20,2,1,0,6,8,5,48,6,27,6,20,2,13,5,13,0,4,165,26,-1,-1,2,13,29,71,7,4,20,19,101,63,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,-2.0,-5.0,2.0,3.0,4.0,-2.0,-1.0,1.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,10V,3,10,20,61,8,16,0,6,19,6,2,4,11,4,24,13,22,4,14,3,18,1,18,4,1,0,143,26,-1,-1,1,11,25,62,6,3,18,17,84,59,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,2.0,-1.0,-5.0,-1.0,2.0,3.0,-2.0,2.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,11M,3,9,23,84,12,20,2,0,21,2,1,3,7,7,4,71,4,20,5,11,4,19,2,11,1,4,174,26,-1,-1,2,14,31,74,7,4,22,20,117,57,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,1.0,-5.0,-8.0,10.0,5.0,-2.0,-2.0,1.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,11V,1,11,21,71,3,19,2,0,18,2,0,5,4,11,29,6,23,2,20,5,18,9,6,6,3,0,146,26,-1,-1,1,10,25,64,6,4,18,18,80,67,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,0.0,1.0,-4.0,7.0,-3.0,-2.0,1.0,0.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,12M,1,21,43,64,8,26,0,4,19,4,4,2,20,28,21,38,8,11,4,16,5,15,2,8,0,4,186,26,-1,-1,2,16,33,79,8,4,24,20,132,54,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,-1.0,5.0,10.0,-15.0,0.0,0.0,2.0,-1.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,12V,0,11,27,60,8,19,0,3,17,3,2,0,5,7,44,4,19,2,10,7,21,4,16,1,3,0,145,26,-1,-1,1,11,25,63,6,3,18,18,83,62,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,-1.0,0.0,2.0,-3.0,2.0,0.0,1.0,-1.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,13V,1,11,30,50,7,13,3,3,8,6,1,2,5,5,24,9,15,4,17,4,12,4,16,5,2,1,126,26,-1,-1,1,9,21,55,6,3,15,16,65,61,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,0.0,2.0,9.0,-5.0,1.0,3.0,-2.0,-8.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,14,2,9,27,48,4,16,2,2,15,4,2,1,12,15,13,18,2,6,6,8,14,8,10,5,2,2,125,26,-1,-1,1,9,22,54,5,3,16,15,69,55,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,1.0,0.0,5.0,-6.0,-1.0,1.0,0.0,0.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,1M,0,5,25,76,9,19,1,4,24,5,2,0,6,3,3,3,1,4,10,31,14,49,1,25,0,11,163,26,-1,-1,0,6,25,75,8,5,18,26,22,141,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,-2.0
DEL MAULE,PELLUHUE,ESCUELA GLADYS CANALES PAREDES,1V,0,5,27,69,10,15,2,0,25,2,0,0,3,10,1,20,2,17,26,2,29,2,23,4,14,0,153,26,-1,-1,1,9,25,68,7,4,18,21,53,100,0.01722686445014603,0.10842569285404377,0.19401256460548427,0.4056658740062153,0.03737451379274693,0.01932884610053847,0.1329179432360736,0.0850477009547516,0.00014110105502783844,0.028208726949817436,0.14383951662643893,0.4705191858604167,0.048860778927252387,0.029691141038048437,0.11013677477733975,0.16860277476565838,-1.0,-4.0,2.0,1.0,3.0,-2.0,-3.0,4.0
