REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,10M,1,12,23,53,8,21,0,0,27,0,1,1,3,10,11,13,8,47,3,23,2,12,1,8,0,2,145,30,-1,-1,1,19,21,54,8,2,18,22,94,51,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,0.0,-7.0,2.0,-1.0,0.0,-2.0,3.0,5.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,10V,1,13,24,48,5,11,4,2,22,6,3,2,11,15,2,5,39,2,18,0,20,1,11,0,1,0,130,30,-1,-1,1,17,18,48,7,2,16,21,79,51,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,0.0,-4.0,6.0,0.0,-2.0,4.0,-5.0,1.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,11M,0,18,18,71,10,28,0,1,38,1,1,0,10,7,8,25,8,27,7,29,14,24,10,10,1,3,184,30,-1,-1,1,22,24,65,10,3,24,35,86,98,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,-1.0,-4.0,-6.0,6.0,0.0,-2.0,4.0,3.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,11V,1,20,16,48,8,13,1,1,21,2,2,1,5,18,7,2,41,5,17,2,17,2,4,1,5,0,129,30,-1,-1,1,17,18,48,7,2,16,20,81,48,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,0.0,3.0,-2.0,0.0,1.0,0.0,-3.0,1.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,12M,1,16,16,58,11,23,0,2,21,2,2,4,4,5,4,37,3,24,11,31,2,15,0,6,0,0,148,30,-1,-1,1,19,20,54,8,2,19,25,83,65,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,0.0,-3.0,-4.0,4.0,3.0,0.0,4.0,-4.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,12V,0,17,18,39,5,12,2,1,17,3,1,3,11,8,12,6,18,8,16,2,11,4,8,1,2,0,111,30,-1,-1,1,14,16,41,6,1,14,18,67,44,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,-1.0,3.0,2.0,-2.0,-1.0,2.0,-2.0,-1.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,13M,2,12,15,66,17,21,2,1,15,3,3,0,5,7,4,34,8,34,5,21,2,14,4,5,0,5,151,30,-1,-1,1,20,22,56,8,2,18,24,95,56,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,1.0,-8.0,-7.0,10.0,9.0,1.0,3.0,-9.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,13V,1,16,20,52,5,12,0,0,17,0,3,3,9,11,19,5,19,8,10,2,13,6,10,2,2,1,123,30,-1,-1,1,16,17,46,7,2,15,19,77,46,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,0.0,0.0,3.0,6.0,-2.0,-2.0,-3.0,-2.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,14M,1,21,18,44,5,15,0,0,12,0,1,3,14,19,14,14,9,13,7,9,1,7,0,3,1,1,116,30,-1,-1,1,16,18,45,6,1,14,15,87,29,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,0.0,5.0,0.0,-1.0,-1.0,-1.0,1.0,-3.0
DEL MAULE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,14V,1,16,17,46,11,16,1,0,28,1,0,1,3,13,26,5,21,4,29,4,16,1,10,0,3,0,136,30,-1,-1,1,17,18,49,8,2,17,24,73,63,0.008457748161212982,0.15816187129034598,0.17755082566847974,0.4193160030691449,0.05363939031066603,0.0027435746294455017,0.10071470927130087,0.07941587759940391,0.0005967263298165467,0.08912762746751025,0.08424402110252116,0.2901366946359575,0.0557524345821437,0.029906759425236195,0.15932082818175766,0.290914908275057,0.0,-1.0,-1.0,-3.0,3.0,-1.0,-1.0,4.0
