REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,10M,3,19,32,36,12,28,1,0,33,1,1,1,6,4,12,2,3,52,3,48,1,20,0,8,0,3,164,40,-1,-1,2,22,29,41,13,3,20,34,81,83,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,1.0,-3.0,3.0,-5.0,-1.0,-2.0,8.0,-1.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,11M,1,13,21,44,17,16,0,2,45,2,0,2,0,2,21,1,3,79,3,32,2,13,0,1,0,0,159,40,-1,-1,1,26,29,42,13,3,19,26,108,51,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,0.0,-13.0,-8.0,2.0,4.0,-1.0,-3.0,19.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,12M,0,18,21,55,11,33,4,0,33,4,0,2,7,5,8,2,1,97,4,24,0,15,0,7,0,4,175,40,-1,-1,2,29,32,46,14,3,21,28,122,54,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,-2.0,-11.0,-11.0,9.0,-3.0,1.0,12.0,5.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,13M,3,17,32,42,16,22,1,0,39,1,0,1,3,4,17,16,0,66,0,39,0,21,0,4,0,1,172,40,-1,-1,1,27,31,45,14,3,20,31,107,65,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,2.0,-10.0,1.0,-3.0,2.0,-2.0,2.0,8.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,14M,3,24,28,45,17,25,1,1,46,2,2,2,3,7,9,62,2,29,1,39,0,19,1,6,0,8,190,40,-1,-1,2,30,34,49,15,3,23,34,116,74,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,1.0,-6.0,-6.0,-4.0,2.0,-1.0,2.0,12.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,15M,3,34,33,57,16,28,0,2,24,2,1,2,5,11,6,85,1,31,1,31,3,12,0,6,0,1,197,40,-1,-1,2,34,36,53,16,3,23,30,142,54,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,1.0,0.0,-3.0,4.0,0.0,-1.0,5.0,-6.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,16M,1,33,22,48,14,17,1,1,13,2,1,4,6,11,79,21,2,9,2,8,0,4,0,3,0,0,150,40,-1,-1,1,30,28,42,12,2,17,18,133,17,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,0.0,3.0,-6.0,6.0,2.0,0.0,0.0,-5.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,1M,3,16,18,43,11,15,0,3,23,3,0,2,10,10,3,1,1,1,1,21,0,50,2,24,1,4,132,40,-1,-1,2,12,23,31,10,2,16,36,28,103,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,1.0,4.0,-5.0,12.0,1.0,1.0,-1.0,-13.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,20,1,33,29,36,12,11,0,1,13,1,4,0,66,9,41,3,1,1,0,3,3,2,1,2,0,0,136,40,-1,-1,1,28,25,38,11,2,16,15,125,11,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,0.0,5.0,4.0,-2.0,1.0,-1.0,-5.0,-2.0
DEL MAULE,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,21,0,36,41,41,11,10,1,1,8,2,0,1,79,15,11,9,7,7,7,5,2,3,1,2,0,0,149,40,-1,-1,1,29,28,41,12,2,18,18,129,20,0.0062217875438223425,0.21547429826877015,0.18926850257079608,0.28467365903466796,0.08088264544583132,0.015445445316706417,0.11653568267971684,0.09149797913968863,0.014121552813507935,0.06054699819167011,0.16677923549864757,0.22053052713273283,0.07762832807335049,0.016374847268433954,0.12205171604642306,0.32196679497523395,-1.0,7.0,13.0,0.0,-1.0,0.0,-8.0,-10.0
