REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,TALCA,ESCUELA BASICA,112M,2,20,37,38,8,23,2,0,23,2,0,0,10,8,13,0,3,2,2,42,0,44,1,19,0,9,153,532,-1,-1,1,16,31,44,11,2,23,25,36,117,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,1.0,4.0,6.0,-6.0,-3.0,0.0,0.0,-2.0
DEL MAULE,TALCA,ESCUELA BASICA,113M,0,31,26,54,11,31,0,4,21,4,3,1,9,10,31,4,4,2,1,42,1,45,0,21,0,4,178,532,-1,-1,1,22,38,51,12,2,26,26,64,114,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,-1.0,9.0,-12.0,3.0,-1.0,2.0,5.0,-5.0
DEL MAULE,TALCA,ESCUELA BASICA,114M,1,19,41,50,14,28,0,1,17,1,2,2,8,7,27,3,4,2,2,44,0,39,0,22,0,9,171,532,-1,-1,1,20,36,49,12,2,25,26,55,116,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,0.0,-1.0,5.0,1.0,2.0,-1.0,3.0,-9.0
DEL MAULE,TALCA,ESCUELA BASICA,115M,2,25,45,48,9,34,1,2,22,3,4,2,12,8,19,0,5,3,0,46,0,57,2,22,0,9,188,532,-1,-1,2,21,39,54,13,2,28,29,53,136,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,0.0,4.0,6.0,-6.0,-4.0,1.0,6.0,-7.0
DEL MAULE,TALCA,ESCUELA BASICA,116M,0,26,33,54,12,26,0,1,18,1,0,0,8,8,24,2,1,2,2,56,1,37,0,19,0,10,170,532,-1,-1,1,19,35,49,12,2,25,27,45,125,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,-1.0,7.0,-2.0,5.0,0.0,-1.0,1.0,-9.0
DEL MAULE,TALCA,ESCUELA BASICA,117M,2,28,37,43,16,25,1,0,22,1,2,2,4,9,36,0,5,1,0,59,1,35,0,12,0,8,174,532,-1,-1,1,21,37,50,12,2,25,26,59,115,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,1.0,7.0,0.0,-7.0,4.0,-1.0,0.0,-4.0
DEL MAULE,TALCA,ESCUELA BASICA,118M,0,22,34,47,17,24,1,6,18,7,2,4,8,8,25,1,0,0,3,50,2,36,2,19,0,9,169,532,-1,-1,1,19,35,49,12,2,25,26,48,121,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,-1.0,3.0,-1.0,-2.0,5.0,5.0,-1.0,-8.0
DEL MAULE,TALCA,ESCUELA BASICA,119M,1,30,43,50,13,24,1,0,28,1,0,2,5,11,54,1,1,3,0,46,0,42,0,19,1,5,190,532,-1,-1,2,24,42,54,13,2,27,26,77,113,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,-1.0,6.0,1.0,-4.0,0.0,-1.0,-3.0,2.0
DEL MAULE,TALCA,ESCUELA BASICA,120M,0,29,34,60,10,36,1,3,20,4,1,1,7,9,43,1,1,0,1,43,0,59,0,19,1,7,193,532,-1,-1,2,23,41,55,13,2,28,29,63,130,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,-2.0,6.0,-7.0,5.0,-3.0,2.0,8.0,-9.0
DEL MAULE,TALCA,ESCUELA BASICA,121M,2,23,42,55,16,28,0,0,20,0,1,2,11,12,34,2,4,3,2,52,1,34,1,22,0,5,186,532,-1,-1,1,23,40,53,13,2,27,27,69,117,0.013201624664577239,0.19970205400418356,0.29591389268551077,0.2510333997224467,0.04933187935787551,0.008167502981895112,0.12445748911053973,0.05819215747297098,0.0061371999425405815,0.07750003483794245,0.1698128299182519,0.30264739531515744,0.07954424261426747,0.013217177734075039,0.15703752265785337,0.1941035969799119,1.0,0.0,2.0,2.0,3.0,-2.0,1.0,-7.0
