REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,TENO,ESCUELA TENO,10M,2,11,20,40,11,21,0,0,13,0,0,1,8,1,1,1,27,1,3,27,1,35,0,11,0,1,118,73,-1,-1,1,13,18,38,10,2,18,18,40,78,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,1.0,-2.0,2.0,2.0,1.0,-2.0,3.0,-5.0
DEL MAULE,TENO,ESCUELA TENO,11M,0,14,18,40,14,18,0,0,20,0,1,0,7,4,2,1,31,2,2,28,1,27,0,15,0,3,124,73,-1,-1,1,15,19,40,11,2,18,18,48,76,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,-1.0,-1.0,-1.0,0.0,3.0,-2.0,0.0,2.0
DEL MAULE,TENO,ESCUELA TENO,12M,1,21,25,37,7,22,2,1,17,3,1,0,5,12,3,2,29,1,0,40,1,24,0,12,0,3,133,73,-1,-1,1,16,21,43,11,3,19,19,53,80,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,0.0,5.0,4.0,-6.0,-4.0,0.0,3.0,-2.0
DEL MAULE,TENO,ESCUELA TENO,13M,0,11,23,49,13,22,0,2,11,2,0,0,2,6,3,2,25,1,1,43,2,29,1,11,0,5,131,73,-1,-1,1,13,19,42,12,3,20,21,39,92,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,-1.0,-2.0,4.0,7.0,1.0,-1.0,2.0,-10.0
DEL MAULE,TENO,ESCUELA TENO,14M,0,15,24,40,10,20,3,3,17,6,1,0,3,2,0,1,8,0,0,23,2,19,1,4,0,1,132,73,-1,-1,1,12,19,43,12,3,20,22,15,50,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,-1.0,3.0,5.0,-3.0,-2.0,3.0,0.0,-5.0
DEL MAULE,TENO,ESCUELA TENO,15M,0,25,25,53,7,14,2,2,20,4,0,2,3,6,7,2,24,1,4,53,2,30,1,10,0,3,148,73,-1,-1,1,15,22,48,13,3,23,23,45,103,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,-1.0,10.0,3.0,5.0,-6.0,1.0,-9.0,-3.0
DEL MAULE,TENO,ESCUELA TENO,16M,1,12,16,28,14,18,1,1,19,2,0,0,4,6,2,0,21,2,3,35,0,25,0,11,0,1,110,73,-1,-1,1,12,16,35,10,2,17,17,35,75,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,0.0,0.0,0.0,-7.0,4.0,0.0,1.0,2.0
DEL MAULE,TENO,ESCUELA TENO,17M,1,14,25,43,10,24,0,5,13,5,0,0,1,11,2,2,28,1,0,47,0,26,0,14,0,3,135,73,-1,-1,1,15,20,43,12,3,20,21,45,90,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,0.0,-1.0,5.0,0.0,-2.0,2.0,4.0,-8.0
DEL MAULE,TENO,ESCUELA TENO,18M,1,18,26,53,18,24,1,1,16,2,1,0,7,6,10,5,14,33,0,49,0,21,1,9,0,2,158,73,-1,-1,2,21,26,50,13,3,22,21,76,82,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,-1.0,-3.0,0.0,3.0,5.0,-1.0,2.0,-5.0
DEL MAULE,TENO,ESCUELA TENO,19M,2,14,26,49,16,28,4,1,24,5,0,2,3,5,29,4,0,56,2,35,1,18,0,5,0,4,164,73,-1,-1,2,26,29,51,12,3,22,19,99,65,0.013011194257383524,0.22923733550218636,0.21183134348362048,0.3014150966844856,0.05839417165242443,0.012293058632600948,0.11391391323252473,0.05990388655477385,0.007883735569855605,0.04628209215547869,0.11998061211276873,0.33218556712736996,0.10166894634819677,0.025281734070325343,0.16805390502038559,0.19866340759561915,0.0,-12.0,-3.0,-2.0,4.0,2.0,6.0,5.0
