REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,1M,0,8,11,26,4,39,1,0,25,1,0,1,4,4,2,3,11,2,5,29,5,25,1,15,2,5,114,14,-1,-1,1,8,15,32,5,2,33,18,27,87,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,-1.0,0.0,-4.0,-6.0,-1.0,-1.0,6.0,7.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,1V,2,9,13,25,4,33,0,1,13,1,0,0,2,4,3,17,3,16,9,2,21,2,16,1,4,0,100,14,-1,-1,1,7,15,29,4,2,27,15,45,55,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,1.0,2.0,-2.0,-4.0,0.0,-1.0,6.0,-2.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,2M,0,13,20,29,4,42,3,0,19,3,0,0,9,4,34,1,1,1,4,26,4,25,4,13,0,4,130,14,-1,-1,1,9,19,37,6,2,36,20,50,80,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,-1.0,4.0,1.0,-8.0,-2.0,1.0,6.0,-1.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,2V,2,11,26,36,4,29,2,3,21,5,1,1,7,37,2,10,3,0,20,1,28,2,17,0,5,0,134,14,-1,-1,1,10,20,39,6,2,36,20,61,73,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,1.0,1.0,6.0,-3.0,-2.0,3.0,-7.0,1.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,3M,0,9,27,46,7,40,2,3,15,5,0,1,25,5,5,3,2,19,7,41,8,13,4,12,0,4,149,14,-1,-1,1,11,21,43,7,3,41,22,60,89,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,-1.0,-2.0,6.0,3.0,0.0,2.0,-1.0,-7.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,3V,0,4,13,49,10,22,1,1,17,2,3,1,9,11,3,0,1,1,34,4,21,2,10,1,5,1,117,14,-1,-1,1,8,16,33,5,2,33,19,29,78,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,-1.0,-4.0,-3.0,16.0,5.0,0.0,-11.0,-2.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,4M,3,10,15,27,10,41,0,0,24,0,2,0,5,6,5,5,6,52,5,17,5,17,2,3,0,0,130,14,-1,-1,1,10,21,39,6,1,34,18,81,49,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,2.0,0.0,-6.0,-12.0,4.0,-1.0,7.0,6.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,4V,2,6,25,25,3,21,0,2,12,2,1,1,8,9,3,2,25,5,20,1,15,0,5,1,1,0,96,14,-1,-1,1,8,15,28,4,1,25,14,54,43,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,1.0,-2.0,10.0,-3.0,-1.0,1.0,-4.0,-2.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,5M,1,13,16,36,4,32,0,0,18,0,1,2,9,7,6,34,4,11,1,19,1,13,3,8,0,1,120,14,-1,-1,1,9,20,36,5,1,31,17,74,46,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,0.0,4.0,-4.0,0.0,-1.0,-1.0,1.0,1.0
DEL MAULE,VICHUQUEN,LICEO NUEVO HORIZONTE,5V,1,8,8,36,8,36,0,1,22,1,2,1,10,9,7,5,36,4,17,5,15,0,6,2,1,0,120,14,-1,-1,1,9,20,36,5,1,31,17,74,46,0.01762950320472208,0.08788136380392576,0.1962789104533803,0.31292731629670034,0.04464923120306636,3.0586558594112537e-06,0.22852090329062177,0.112109713091724,5.679685605616937e-06,0.06252390587754698,0.10833359911666197,0.27191329983421064,0.04627371385436922,0.028302998634026175,0.3056688635994234,0.17697793939815593,0.0,-1.0,-12.0,0.0,3.0,0.0,5.0,5.0
