REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,11V,0,17,22,36,10,12,3,1,21,4,1,3,2,31,2,3,3,3,35,2,20,0,13,1,2,1,122,41,-1,-1,1,13,17,41,10,3,15,22,48,74,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,4.0,5.0,-5.0,0.0,1.0,-3.0,-1.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,12V,3,17,18,46,9,14,0,0,24,0,2,1,2,29,6,8,27,4,28,1,11,1,6,1,2,1,131,41,-1,-1,2,16,21,45,10,3,14,20,79,51,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,1.0,1.0,-3.0,1.0,-1.0,-3.0,0.0,4.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,13V,0,17,13,39,9,15,4,2,18,6,2,2,13,5,4,9,28,2,23,3,12,3,8,1,1,0,117,41,-1,-1,1,14,18,40,9,3,13,19,65,51,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,3.0,-5.0,-1.0,0.0,3.0,2.0,-1.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,14V,1,17,22,38,13,6,1,2,20,3,3,4,12,18,5,5,32,5,13,2,6,4,6,3,1,0,120,41,-1,-1,2,15,21,41,9,3,12,17,84,35,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,2.0,1.0,-3.0,4.0,0.0,-6.0,3.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,15V,1,21,23,43,8,10,1,2,14,3,5,1,18,26,6,2,26,5,12,2,13,2,3,0,1,1,123,41,-1,-1,2,16,21,42,10,3,12,17,89,34,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,5.0,2.0,1.0,-2.0,0.0,-2.0,-3.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,16V,2,14,19,34,10,15,0,3,21,3,3,1,7,13,1,1,42,0,18,2,18,1,8,0,4,0,118,41,-1,-1,1,14,19,40,9,3,13,19,68,51,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,1.0,0.0,0.0,-6.0,1.0,0.0,2.0,2.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,17V,2,21,19,58,9,14,1,1,13,2,3,1,12,16,16,7,26,4,19,3,16,3,6,3,2,0,138,41,-1,-1,2,17,23,47,11,3,14,21,85,52,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,0.0,4.0,-4.0,11.0,-2.0,-1.0,0.0,-8.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,18V,1,14,26,43,16,8,0,2,21,2,2,1,12,11,16,3,28,1,22,2,20,1,9,3,0,0,131,41,-1,-1,2,15,21,45,10,3,14,21,74,57,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,-1.0,5.0,-2.0,6.0,-1.0,-6.0,0.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,19V,3,18,32,44,6,14,0,4,21,4,2,5,9,15,36,1,26,2,20,3,11,1,8,0,4,0,142,41,-1,-1,2,18,24,49,11,3,14,21,96,47,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,1.0,0.0,8.0,-5.0,-5.0,1.0,0.0,0.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,20V,1,20,19,56,11,10,0,3,20,3,1,5,8,8,35,3,25,4,25,4,12,2,7,0,3,0,140,41,-1,-1,2,17,23,48,11,3,15,21,89,53,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,3.0,-4.0,8.0,0.0,0.0,-5.0,-1.0
DEL MAULE,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,21V,3,24,29,61,11,16,2,2,20,4,5,2,36,25,20,12,14,11,16,9,8,4,3,2,0,0,168,41,-1,-1,2,22,30,58,13,4,16,23,125,42,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,1.0,2.0,-1.0,3.0,-2.0,0.0,0.0,-3.0
DEL MAULE,YERBAS BUENAS,ESCUELA AGRICOLA MARTA MARTINEZ CRUZ,10V,0,15,22,47,13,10,1,0,20,1,1,1,6,44,2,8,1,2,33,0,20,0,7,0,3,0,128,41,-1,-1,1,15,19,44,10,3,15,21,65,63,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,0.0,3.0,3.0,3.0,-2.0,-5.0,-1.0
DEL MAULE,YERBAS BUENAS,ESCUELA AGRICOLA MARTA MARTINEZ CRUZ,1V,0,7,14,30,3,12,1,4,20,5,0,3,6,3,0,1,1,6,18,8,16,2,18,2,7,0,91,41,-1,-1,1,8,11,31,7,3,12,18,20,71,0.018150376810875855,0.15284107988971135,0.20216358046791663,0.3520182140125415,0.07983209148104385,0.015866085101941624,0.07641181740703833,0.10271675482893092,0.0035086112104937483,0.07111344071919268,0.09944305169206599,0.3308798658528675,0.07760824969434078,0.03509664143880786,0.15146891362474882,0.2308812257674826,-1.0,-1.0,3.0,-1.0,-4.0,2.0,0.0,2.0
