REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,10,3,17,28,14,5,19,0,1,15,1,2,0,11,11,25,29,3,3,1,2,7,3,2,2,0,1,102,21,-1,-1,1,18,28,19,6,1,11,18,84,18,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,2.0,-1.0,0.0,-5.0,-1.0,0.0,8.0,-3.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,11,1,19,29,17,4,10,0,1,16,1,5,2,8,9,29,21,0,2,2,3,7,5,1,1,2,0,97,21,-1,-1,1,17,26,18,6,1,11,17,76,21,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,0.0,2.0,3.0,-1.0,-2.0,0.0,-1.0,-1.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,12,0,29,31,19,6,11,0,0,16,0,3,3,24,24,20,24,6,1,1,1,2,1,0,1,1,0,112,21,-1,-1,1,22,32,20,7,0,12,18,105,7,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,-1.0,7.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,13,0,16,33,12,5,9,0,1,17,1,2,2,24,38,6,4,4,3,1,2,3,2,2,0,0,0,93,21,-1,-1,1,18,26,17,5,0,10,16,83,10,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,-1.0,-2.0,7.0,-5.0,0.0,1.0,-1.0,1.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,14,1,14,34,17,6,12,0,0,24,0,3,2,11,15,9,14,8,11,5,8,10,4,2,3,0,2,108,21,-1,-1,1,17,29,20,6,1,13,21,73,34,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,0.0,-3.0,5.0,-3.0,0.0,-1.0,-1.0,3.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,15,5,19,39,27,11,7,1,1,17,2,3,2,17,18,11,13,7,16,13,8,5,7,2,2,1,1,127,21,-1,-1,1,21,34,23,8,1,15,24,87,39,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,4.0,-2.0,5.0,4.0,3.0,1.0,-8.0,-7.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1M,2,12,27,18,8,22,0,1,25,1,1,3,3,6,0,1,3,0,1,24,5,40,4,18,0,6,115,21,-1,-1,1,10,26,22,7,3,17,29,17,98,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,1.0,2.0,1.0,-4.0,1.0,-2.0,5.0,-4.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1V,1,6,26,14,5,16,1,2,31,3,1,1,6,5,0,5,0,6,17,2,30,1,18,0,10,0,102,21,-1,-1,1,10,24,19,6,2,15,25,24,78,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,0.0,-4.0,2.0,-5.0,-1.0,1.0,1.0,6.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,2M,3,12,32,26,11,23,2,1,35,3,1,0,5,6,6,6,3,4,1,51,5,35,0,16,0,7,145,21,-1,-1,2,14,33,28,9,3,21,35,31,115,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,1.0,-2.0,-1.0,-2.0,2.0,0.0,2.0,0.0
METROPOLITANA DE SANTIAGO,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,2V,2,15,32,28,9,11,5,2,28,7,0,1,8,10,3,5,2,8,25,4,35,2,18,1,10,0,132,21,-1,-1,2,14,31,25,8,3,18,31,37,95,0.010104594256709764,0.20617825830892075,0.2876868175977535,0.18080747382986062,0.05704192219550791,0.0006773118645555024,0.10214060892286315,0.1553630130238288,0.01487757604572228,0.06382359859928498,0.21333897461957965,0.19175508702666594,0.06367741647224351,0.02940260875260451,0.15645044247152637,0.26667429601237275,0.0,1.0,1.0,3.0,1.0,4.0,-7.0,-3.0
