REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,1,1,14,31,70,14,16,0,1,25,1,1,1,0,1,26,33,0,4,10,8,33,23,17,15,0,0,172,26,-1,-1,2,21,37,54,13,3,20,22,66,106,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,-1.0,-7.0,-6.0,16.0,1.0,-2.0,-4.0,3.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,10,3,27,43,41,16,16,0,2,19,2,0,1,11,17,10,7,13,27,19,57,1,4,0,0,0,0,167,26,-1,-1,3,23,39,49,13,2,19,19,86,81,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,0.0,4.0,4.0,-8.0,3.0,0.0,-3.0,0.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,11,2,17,29,37,12,16,1,1,22,2,7,10,6,9,7,3,17,16,6,3,13,13,12,12,2,2,137,26,-1,-1,2,19,33,40,10,2,16,15,75,63,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,0.0,-2.0,-4.0,-3.0,2.0,0.0,0.0,7.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,12,1,15,38,55,12,20,0,2,19,2,2,1,10,9,2,1,6,6,34,46,9,11,6,6,6,8,162,26,-1,-1,2,16,30,55,13,3,19,24,37,126,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,-1.0,-1.0,8.0,0.0,-1.0,-1.0,1.0,-5.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,13,3,27,39,37,18,16,1,7,20,8,1,0,5,10,16,33,6,5,24,22,18,28,0,0,0,0,168,26,-1,-1,2,22,38,51,13,2,19,21,76,92,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,1.0,5.0,1.0,-14.0,5.0,6.0,-3.0,-1.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,2,4,30,41,36,13,15,2,2,13,4,0,0,3,7,21,20,4,5,23,40,15,15,0,0,2,1,156,26,-1,-1,2,19,33,49,12,3,18,20,60,96,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,2.0,11.0,8.0,-13.0,1.0,1.0,-3.0,-7.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,3,3,26,36,43,9,17,0,1,19,1,3,3,17,14,11,9,8,4,28,34,2,12,0,1,1,7,154,26,-1,-1,2,20,34,47,12,2,18,19,69,85,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,1.0,6.0,2.0,-4.0,-3.0,-1.0,-1.0,0.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,4,1,13,32,54,12,23,3,1,18,4,1,2,0,1,13,15,0,2,6,6,28,26,30,24,1,2,157,26,-1,-1,2,16,29,54,12,3,18,23,34,123,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,-1.0,-3.0,3.0,0.0,0.0,1.0,5.0,-5.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,5,4,21,34,48,7,20,0,1,18,1,1,2,9,9,7,9,12,13,12,13,12,17,5,5,16,11,153,26,-1,-1,2,19,33,48,12,2,18,19,62,91,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,2.0,2.0,1.0,0.0,-5.0,-1.0,2.0,-1.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,6,3,23,36,52,12,13,0,0,26,0,1,1,9,7,13,9,2,2,40,36,26,17,2,0,0,0,165,26,-1,-1,2,17,32,55,13,3,19,24,44,121,0.019109783198740817,0.20159133603010143,0.3129641911031399,0.2204608171485132,0.06795093943843696,0.007781985547214383,0.11118983899832087,0.05895110853553238,0.010506323145301033,0.07233690569511211,0.15036810719794463,0.3743085666021744,0.0813058784668024,0.018846301431247443,0.11847585875577453,0.17385205870564338,1.0,6.0,4.0,-3.0,-1.0,-3.0,-6.0,2.0
