REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,68,4,28,18,18,12,5,0,0,2,0,1,1,8,9,29,28,3,2,1,2,0,1,1,0,0,1,87,78,-1,-1,3,18,28,11,13,1,7,6,81,6,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,1.0,10.0,-10.0,7.0,-1.0,-1.0,-2.0,-4.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,69,1,21,22,12,20,5,0,2,7,2,0,2,8,8,24,23,7,1,1,14,0,0,1,0,0,1,90,78,-1,-1,3,17,28,12,15,1,7,7,73,17,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,-2.0,4.0,-6.0,0.0,5.0,1.0,-2.0,0.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,70,0,17,20,14,13,5,0,0,8,0,0,1,11,9,14,14,7,19,0,0,1,1,0,0,0,0,77,78,-1,-1,2,16,26,10,11,1,6,5,75,2,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,-2.0,1.0,-6.0,4.0,2.0,-1.0,-1.0,3.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,71,2,13,34,14,13,6,0,2,5,2,11,10,2,10,2,6,9,24,2,9,1,1,1,1,0,0,89,78,-1,-1,3,17,28,12,14,1,7,7,74,15,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,-1.0,-4.0,6.0,2.0,-1.0,1.0,-1.0,-2.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,72,4,26,41,12,13,11,0,1,11,1,26,49,3,7,3,6,3,2,2,12,1,4,0,0,1,0,119,78,-1,-1,3,23,37,16,19,2,10,9,99,20,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,1.0,3.0,4.0,-4.0,-6.0,-1.0,1.0,2.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,73,5,16,36,16,15,11,0,0,9,0,39,54,0,0,4,5,0,2,1,1,1,1,0,0,0,0,108,78,-1,-1,3,22,36,14,16,2,8,7,104,4,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,2.0,-6.0,0.0,2.0,-1.0,-2.0,3.0,2.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,74,3,27,66,28,28,20,4,2,21,6,7,4,0,0,15,27,18,26,20,30,15,25,3,7,1,0,199,78,-1,-1,5,29,54,28,37,4,18,24,97,101,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,-2.0,-2.0,12.0,0.0,-9.0,2.0,2.0,-3.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,75,6,29,66,14,34,15,1,0,23,1,7,9,26,38,18,20,6,3,14,25,9,9,2,3,0,0,188,78,-1,-1,5,32,55,26,33,3,16,18,127,62,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,1.0,-3.0,11.0,-12.0,1.0,-2.0,-1.0,5.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,77,6,45,68,32,30,22,3,1,23,4,2,2,20,21,16,30,20,21,16,40,16,19,4,3,0,0,230,78,-1,-1,6,36,65,32,42,4,20,25,132,98,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,0.0,9.0,3.0,0.0,-12.0,0.0,2.0,-2.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,78,4,34,66,26,44,19,1,0,26,1,2,1,18,15,15,25,27,23,21,31,11,24,3,3,0,0,220,78,-1,-1,5,35,62,31,40,4,19,24,126,93,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,-1.0,-1.0,4.0,-5.0,4.0,-3.0,0.0,2.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,79,2,32,57,21,46,18,0,2,25,2,0,0,11,21,14,26,21,20,26,27,14,14,5,1,0,2,203,78,-1,-1,5,31,57,28,37,4,18,23,113,89,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,-3.0,1.0,0.0,-7.0,9.0,-2.0,0.0,2.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE MEDIA,55,7,18,57,17,17,3,2,9,10,11,1,0,58,61,2,2,1,2,4,5,2,1,1,0,0,0,140,78,-1,-1,4,28,45,18,22,2,11,10,127,13,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,3.0,-10.0,12.0,-1.0,-5.0,9.0,-8.0,0.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE MEDIA,56,4,28,61,12,17,11,1,0,6,1,2,2,54,53,6,5,5,2,5,3,2,0,1,0,0,0,140,78,-1,-1,4,28,46,18,21,2,11,10,129,11,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,0.0,0.0,15.0,-6.0,-4.0,-1.0,0.0,-4.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE MEDIA,57,4,23,53,15,14,15,1,0,11,1,0,0,40,40,5,11,2,5,9,10,6,4,0,1,2,0,136,78,-1,-1,4,25,42,18,22,2,11,12,103,32,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,0.0,-2.0,11.0,-3.0,-8.0,-1.0,4.0,-1.0
METROPOLITANA DE SANTIAGO,BAJOS DE MENA,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE MEDIA,58,7,25,41,17,15,7,0,1,7,1,4,0,42,49,2,3,1,2,3,7,0,3,1,2,0,0,120,78,-1,-1,4,23,38,16,19,2,9,9,103,16,0.03133096029732543,0.21127828913863714,0.33678548157532756,0.12878626903915458,0.1460117637061381,0.014919870030808153,0.07389903202002253,0.05698833419258654,0.015470109704025846,0.08422673114385354,0.20617722921232223,0.15272975363832256,0.22838797081819442,0.022029503899391314,0.1079023605414018,0.18307634104248846,3.0,2.0,3.0,1.0,-4.0,-1.0,-2.0,-2.0
